facility_name,facility_type_id,facility_type_name,county,street_address,city,state_code,zip_code,interior_sq_ft,territory_id
AUSTIN - BLUEBONNET STATION,1,Post Office,TRAVIS,1822 W BRAKER LN,AUSTIN,TX,78758,27083,
AUSTIN - LAKE TRAVIS BRANCH,1,Post Office,TRAVIS,2110 RANCH ROAD 620 S,LAKEWAY,TX,78734,21487,
AUSTIN - CENTRAL PARK STATION,1,Post Office,TRAVIS,3507 N LAMAR BLVD,AUSTIN,TX,78705,18900,
AUSTIN - CHIMNEY CORNERS STATION,1,Post Office,TRAVIS,3575 FAR WEST BLVD,AUSTIN,TX,78731,27815,
AUSTIN - S CONGRESS STATION,1,Post Office,TRAVIS,3903 S CONGRESS AVE,AUSTIN,TX,78704,24335,
AUSTIN - SOUTHEAST STATION,1,Post Office,TRAVIS,4516 BURLESON RD,AUSTIN,TX,78744,19804,
AUSTIN - OAK HILL STATION,1,Post Office,TRAVIS,6104 OLD FREDERICKSBURG RD,AUSTIN,TX,78749,18299,
AUSTIN - MOCKINGBIRD STATION,1,Post Office,TRAVIS,7310 MENCHACA RD,AUSTIN,TX,78745,26104,
AUSTIN - NORTHCROSS STATION,1,Post Office,TRAVIS,7700 NORTHCROSS DR,AUSTIN,TX,78757,24722,
AUSTIN - NORTHEAST STATION; NORTHEAST VMF,2,Vehicle Maintenance,TRAVIS,900 BLACKSON AVE,AUSTIN,TX,78752,14875,
AZLE - MAIN OFFICE,1,Post Office,TARRANT,409 COMMERCE ST,AZLE,TX,76020,16793,
BAILEY - MO/MODULAR BLDG,1,Post Office,FANNIN,107 N MAIN ST,BAILEY,TX,75413,728,
BALLINGER - MAIN OFFICE,1,Post Office,RUNNELS,116 S 8TH ST,BALLINGER,TX,76821,5525,
BARSTOW - MPO/MODULAR BLDG,1,Post Office,WARD,211 MACKEY AVE,BARSTOW,TX,79719,736,
BAY CITY - MAIN OFFICE,1,Post Office,MATAGORDA,1309 BAYWOOD DR,BAY CITY,TX,77414,24220,
BAYTOWN - STATION A,1,Post Office,HARRIS,3508 MARKET ST,BAYTOWN,TX,77520,8669,
BAYTOWN - MAIN OFFICE,1,Post Office,HARRIS,601 W BAKER RD,BAYTOWN,TX,77521,22149,
BEAUMONT - SOUTH END STATION,1,Post Office,JEFFERSON,3501 AVENUE A,BEAUMONT,TX,77705,20624,
BEAUMONT - TOBE HAHN STATION,1,Post Office,JEFFERSON,3910 N DOWLEN RD,BEAUMONT,TX,77706,33142,
BEAUMONT - BEAUMONT TX LPC; VMF,5,Mail Processing,JEFFERSON,5815 WALDEN RD,BEAUMONT,TX,77707,148347,
BEDFORD - MAIN OFFICE,1,Post Office,TARRANT,1300 HARWOOD RD,BEDFORD,TX,76021,23075,
BEDFORD - CENTRAL STATION,3,Administrative Office,TARRANT,2124 L DON DODSON DR,BEDFORD,TX,76021,8362,
BEEVILLE - MAIN OFFICE,1,Post Office,BEE,111 N SAINT MARYS ST,BEEVILLE,TX,78102,14723,
BELLAIRE - MAIN OFFICE,1,Post Office,HARRIS,5350 BELLAIRE BLVD,BELLAIRE,TX,77401,21815,
BELTON - MAIN OFFICE,1,Post Office,BELL,111 N WALL ST,BELTON,TX,76513,9477,
BIG SPRING - MAIN OFFICE,1,Post Office,HOWARD,501 S MAIN ST,BIG SPRING,TX,79720,39036,
BLEDSOE - MO/MODULAR BLDG,1,Post Office,COCHRAN,512 4TH ST,BLEDSOE,TX,79314,736,
BOERNE - CARRIER ANNEX,1,Post Office,KENDALL,6 UPPER BALCONES RD,BOERNE,TX,78006,7828,
BOERNE - MAIN OFFICE,1,Post Office,KENDALL,607 E BLANCO RD,BOERNE,TX,78006,6119,
BONHAM - MAIN OFFICE,1,Post Office,FANNIN,300 N CENTER ST,BONHAM,TX,75418,13459,
BORGER - MAIN OFFICE,1,Post Office,HUTCHINSON,500 S MCGEE ST,BORGER,TX,79007,9280,
BOWIE - MAIN OFFICE,1,Post Office,MONTAGUE,113 N MASON ST,BOWIE,TX,76230,9902,
BRADY - MAIN OFFICE,1,Post Office,MCCULLOCH,229 S BLACKBURN ST,BRADY,TX,76825,9754,
BRAZORIA - MAIN OFFICE,1,Post Office,BRAZORIA,111 GAINES ST,BRAZORIA,TX,77422,13814,
BRECKENRIDGE - MAIN OFFICE,1,Post Office,STEPHENS,123 W WILLIAMS ST,BRECKENRIDGE,TX,76424,9395,
BREMOND - MAIN OFFICE,1,Post Office,ROBERTSON,400 S MAIN ST,BREMOND,TX,76629,2992,
BRIDGE CITY - MAIN OFFICE,1,Post Office,ORANGE,900 TEXAS AVE,BRIDGE CITY,TX,77611,8373,
BROWNSVILLE - MAIN OFFICE,1,Post Office,CAMERON,1535 E LOS EBANOS BLVD,BROWNSVILLE,TX,78520,22802,
BROWNWOOD - MAIN OFFICE,1,Post Office,BROWN,600 CENTER AVE,BROWNWOOD,TX,76801,20926,
BRYAN - DOWNTOWN STA,1,Post Office,BRAZOS,210 W WM J BRYAN PKWY,BRYAN,TX,77803,11218,
BRYAN - P&DC-MAIN OFFICE-SHF,5,Mail Processing,BRAZOS,2121 E WM J BRYAN PKWY,BRYAN,TX,77801,119702,
BUDA - MPO,1,Post Office,HAYS,1320 CABELAS DR,BUDA,TX,78610,6471,
BUFFALO - MAIN OFFICE,1,Post Office,LEON,208 CENTER ST,BUFFALO,TX,75831,3825,
BURKBURNETT - MAIN OFFICE,1,Post Office,WICHITA,501 COUNTY RD,BURKBURNETT,TX,76354,8379,
BURLESON - MAIN OFFICE,1,Post Office,JOHNSON,232 SW JOHNSON AVE,BURLESON,TX,76028,21653,
CALDWELL - MAIN OFFICE,1,Post Office,BURLESON,201 N MAIN ST,CALDWELL,TX,77836,4614,
CAMDEN - MAIN OFFICE BUILDING,1,Post Office,POLK,242 POST OFFICE RD,CAMDEN,TX,75934,768,
CAMERON - MAIN OFFICE,1,Post Office,MILAM,202 W 2ND ST,CAMERON,TX,76520,6359,
CANYON - MAIN OFFICE,1,Post Office,RANDALL,1304 4TH AVE,CANYON,TX,79015,7781,
CARLTON - MPO/MODULAR BLDG,1,Post Office,HAMILTON,139 S FM 1744,CARLTON,TX,76436,736,
CARRIZO SPRINGS - MAIN OFFICE,1,Post Office,DIMMIT,401 N 5TH ST,CARRIZO SPRINGS,TX,78834,6573,
CARROLLTON - MAIN OFFICE,1,Post Office,DALLAS,2030 E JACKSON RD,CARROLLTON,TX,75006,29518,
CARROLLTON - ROSEMEADE STATION,1,Post Office,DALLAS,3755 N JOSEY LN,CARROLLTON,TX,75007,23710,
CARTHAGE - MAIN OFFICE,1,Post Office,PANOLA,109 W WELLINGTON ST,CARTHAGE,TX,75633,10635,
CATARINA - MO/MODULAR BLDG,1,Post Office,DIMMIT,19929 S US HIGHWAY 83,CATARINA,TX,78836,874,
CEDAR HILL - MAIN OFFICE,1,Post Office,DALLAS,475 E FM 1382,CEDAR HILL,TX,75104,24251,
CEDAR PARK - MAIN OFFICE,1,Post Office,WILLIAMSON,500 E WHITESTONE BLVD,CEDAR PARK,TX,78613,20000,
CHANNELVIEW - MAIN OFFICE,1,Post Office,HARRIS,531 SHELDON RD,CHANNELVIEW,TX,77530,10304,
CHAPMAN RANCH - MAIN OFFICE,1,Post Office,NUECES,1004 COUNTY ROAD 8A,CHAPMAN RANCH,TX,78347,450,
CHILDRESS - MAIN OFFICE,1,Post Office,CHILDRESS,507 AVENUE F NW,CHILDRESS,TX,79201,9130,
CHILTON - MO/MODULAR BLDG,1,Post Office,FALLS,2581 STATE HIGHWAY 7,CHILTON,TX,76632,736,
CIBOLO - MAIN OFFICE,1,Post Office,GUADALUPE,725 FM 1103,CIBOLO,TX,78108,7465,
CISCO - MAIN OFFICE,1,Post Office,EASTLAND,206 W 6TH ST,CISCO,TX,76437,17613,
CLARKSVILLE - MAIN OFFICE,1,Post Office,RED RIVER,403 N WALNUT ST,CLARKSVILLE,TX,75426,9854,
CLEBURNE - MAIN OFFICE,1,Post Office,JOHNSON,201 FAIRCREST DR,CLEBURNE,TX,76033,27820,
CLEVELAND - MAIN OFFICE,1,Post Office,LIBERTY,1213 E HOUSTON ST,CLEVELAND,TX,77327,9160,
CLIFTON - MAIN OFFICE,1,Post Office,BOSQUE,407 W 5TH ST,CLIFTON,TX,76634,6172,
CLUTE - MAIN OFFICE,1,Post Office,BRAZORIA,530 E MAIN ST,CLUTE,TX,77531,11125,
COLEMAN - MAIN OFFICE,1,Post Office,COLEMAN,201 W PECAN ST,COLEMAN,TX,76834,13609,
COLLEGE STATION - MAIN OFFICE,1,Post Office,BRAZOS,2130 HARVEY MITCHELL PKWY S,COLLEGE STATION,TX,77840,26279,
COLLEYVILLE - MAIN OFFICE,1,Post Office,TARRANT,1501 HALL JOHNSON RD,COLLEYVILLE,TX,76034,17333,
COLORADO CITY - MAIN OFFICE,1,Post Office,MITCHELL,116 W 3RD ST,COLORADO CITY,TX,79512,6339,
COMSTOCK - MPO/MODULAR BLDG,1,Post Office,VAL VERDE,32108 W US HIGHWAY 90,COMSTOCK,TX,78837,736,
CONCEPCION - MPO/MODULAR BLDG.,1,Post Office,DUVAL,2239 FM 716,CONCEPCION,TX,78349,700,
CONROE - MAIN OFFICE,1,Post Office,MONTGOMERY,809 W DALLAS ST,CONROE,TX,77301,39276,
CONVERSE - MAIN OFFICE,1,Post Office,BEXAR,9155 SCHAEFER RD,CONVERSE,TX,78109,11912,
COOPER - MAIN OFFICE,1,Post Office,DELTA,150 E DALLAS AVE,COOPER,TX,75432,7333,
COPPELL - MAIN OFFICE,1,Post Office,DALLAS,450 S DENTON TAP RD,COPPELL,TX,75019,17630,
COPPERAS COVE - MAIN OFFICE,1,Post Office,CORYELL,802 E AVENUE D,COPPERAS COVE,TX,76522,9679,
CORPUS CHRISTI - FLOUR BLUFF STATION,1,Post Office,NUECES,10139 SECURITY DR,CORPUS CHRISTI,TX,78418,6827,
CORPUS CHRISTI - PORTAIRS STATION,1,Post Office,NUECES,4213 S PORT AVE,CORPUS CHRISTI,TX,78415,15175,
CORPUS CHRISTI - LAMAR PARK STATION,1,Post Office,NUECES,4801 EVERHART RD,CORPUS CHRISTI,TX,78411,17933,
CORPUS CHRISTI - SOUTHSIDE STATION,1,Post Office,NUECES,6742 WEBER RD,CORPUS CHRISTI,TX,78413,8609,
CORPUS CHRISTI - SIX POINTS STATION,1,Post Office,NUECES,902 AYERS ST,CORPUS CHRISTI,TX,78404,6794,
CORSICANA - MAIN OFFICE,1,Post Office,NAVARRO,116 S MAIN ST,CORSICANA,TX,75110,25428,
COTTON CENTER - MPO/MODULAR BUILDING,1,Post Office,HALE,2359 FM 179,COTTON CENTER,TX,79021,700,
CRANE - MAIN OFFICE,1,Post Office,CRANE,509 S ALFORD ST,CRANE,TX,79731,4284,
CROCKETT - MAIN OFFICE,1,Post Office,HOUSTON,600 E GOLIAD AVE,CROCKETT,TX,75835,9584,
CROSBY - MAIN OFFICE,1,Post Office,HARRIS,133 HARE RD,CROSBY,TX,77532,12874,
CROWLEY - MAIN OFFICE,1,Post Office,TARRANT,200 S CROWLEY RD,CROWLEY,TX,76036,7100,
CUERO - MAIN OFFICE,1,Post Office,DE WITT,301 E MAIN ST,CUERO,TX,77954,6027,
CUNEY - MPO/MODULAR BLDG,1,Post Office,CHEROKEE,9455 US HIGHWAY 175 W,CUNEY,TX,75759,1464,
CUNNINGHAM - MPO/MODULAR BLDG,1,Post Office,LAMAR,12810 FM 196,CUNNINGHAM,TX,75434,1500,
CYPRESS - MAIN OFFICE,1,Post Office,HARRIS,16635 SPRING CYPRESS RD,CYPRESS,TX,77429,25741,
DAINGERFIELD - MAIN OFFICE,1,Post Office,MORRIS,214 W SCURRY ST,DAINGERFIELD,TX,75638,8495,
DALLAS HAMILTON PARK - (R0BERT PRICE) STATION,1,Post Office,DALLAS,8135 FOREST LN,DALLAS,TX,75230,13466,
DALLAS - LAKE HIGHLANDS STA,1,Post Office,DALLAS,10502 MARKISON RD,DALLAS,TX,75238,11218,
DALLAS - WHITE ROCK STATION,1,Post Office,DALLAS,1351 N BUCKNER BLVD,DALLAS,TX,75218,11040,
DALLAS - SPRING VALLEY STATION,1,Post Office,DALLAS,13770 NOEL RD,DALLAS,TX,75240,43494,
DALLAS - FARMERS BRANCH BRANCH,1,Post Office,DALLAS,13904 JOSEY LN,DALLAS,TX,75234,16869,
DALLAS - DR CAESAR CLARK STATION,1,Post Office,DALLAS,1502 E KIEST BLVD,DALLAS,TX,75216,16739,
DALLAS - SEAGOVILLE MAIN OFFICE,1,Post Office,DALLAS,15300 SEAGOVILLE RD,DALLAS,TX,75253,13495,
DALLAS - BEVERLY HILLS STA,1,Post Office,DALLAS,2202 S COCKRELL HILL RD,DALLAS,TX,75211,24721,
DALLAS - NORTHWEST STATION,1,Post Office,DALLAS,2341 W NORTHWEST HWY,DALLAS,TX,75220,23009,
DALLAS - NORTHAVEN STA,1,Post Office,DALLAS,2736 ROYAL LN,DALLAS,TX,75229,14412,
DALLAS - OAK LAWN STATION,1,Post Office,DALLAS,2825 OAK LAWN AVE,DALLAS,TX,75219,18232,
DALLAS - JUANITA CRAFT STATION,1,Post Office,DALLAS,3055 AL LIPSCOMB WAY,DALLAS,TX,75215,25448,
DALLAS - PLEASANT GROVE STA,1,Post Office,DALLAS,350 S BUCKNER BLVD,DALLAS,TX,75217,19541,
DALLAS - HIGHLAND HILLS STA,1,Post Office,DALLAS,3655 SIMPSON STUART RD,DALLAS,TX,75241,8361,
DALLAS - DOWNTOWN STATION,1,Post Office,DALLAS,400 N ERVAY ST,DALLAS,TX,75201,26076,
DALLAS - SPRING VALLEY VMF,2,Vehicle Maintenance,DALLAS,4460 ALPHA RD,DALLAS,TX,75244,8940,
DALLAS - BENT TREE STATION,1,Post Office,DALLAS,4475 TRINITY MILLS RD,DALLAS,TX,75287,16921,
DALLAS - BROOKHOLLOW STATION,1,Post Office,DALLAS,5055 NORWOOD RD,DALLAS,TX,75247,29246,
DALLAS - JOE POOL STATION,1,Post Office,DALLAS,5521 S HAMPTON RD,DALLAS,TX,75232,22988,
DALLAS - UNIVERSITY STATION,1,Post Office,DALLAS,5606 SMU BLVD,DALLAS,TX,75206,20674,
DALLAS - PRESTONWOOD STATION,1,Post Office,DALLAS,5995 SUMMERSIDE DR,DALLAS,TX,75248,26979,
DALLAS - LAKEWOOD STATION,1,Post Office,DALLAS,6120 SWISS AVE,DALLAS,TX,75214,9083,
DALLAS - VICKERY STATION,1,Post Office,DALLAS,6640 ABRAMS RD,DALLAS,TX,75231,24923,
DALLAS - PARKDALE STATION,1,Post Office,DALLAS,7720 MILITARY PKWY,DALLAS,TX,75227,12194,
DALLAS - PRESTON STATION,1,Post Office,DALLAS,8604 TURTLE CREEK BLVD,DALLAS,TX,75225,9672,
DALLAS - MEDRANO STATION,1,Post Office,DALLAS,8624 FERGUSON RD,DALLAS,TX,75228,31540,
DALLAS - RICHLAND STATION,3,Administrative Office,DALLAS,9130 MARKVILLE DR,DALLAS,TX,75243,53394,
DANEVANG - MPO/MODULAR BLDG,1,Post Office,WHARTON,11294 S STATE HIGHWAY 71,DANEVANG,TX,77432,697,
DAYTON - MAIN OFFICE,1,Post Office,LIBERTY,110 S MAIN ST,DAYTON,TX,77535,13210,
DEANVILLE - MPO/MODULAR BLDG,1,Post Office,BURLESON,6625 FM 111,DEANVILLE,TX,77852,700,
DECATUR - MAIN OFFICE,1,Post Office,WISE,206 E WALNUT ST,DECATUR,TX,76234,8280,
DEER PARK - MAIN OFFICE,1,Post Office,HARRIS,200 E SAN AUGUSTINE ST,DEER PARK,TX,77536,17455,
DEL RIO - MAIN OFFICE,1,Post Office,VAL VERDE,2001 N BEDELL AVE,DEL RIO,TX,78840,12044,
DENISON - MAIN OFFICE,1,Post Office,GRAYSON,231 W WOODARD ST,DENISON,TX,75020,33752,
DENTON - MAIN OFFICE,1,Post Office,DENTON,101 E MCKINNEY ST,DENTON,TX,76201,88788,
DESOTO - MAIN OFFICE,1,Post Office,DALLAS,229 S HAMPTON RD,DESOTO,TX,75115,29428,
DEVINE - MAIN OFFICE,1,Post Office,MEDINA,111 W COLLEGE AVE,DEVINE,TX,78016,3836,
DIBOLL - MAIN OFFICE,1,Post Office,ANGELINA,302 N HENDRIX AVE,DIBOLL,TX,75941,4012,
DIMEBOX - MAIN OFFICE,1,Post Office,LEE,1017 STEPHEN F AUSTIN BLVD,DIME BOX,TX,77853,996,
DRIPPING SPRINGS - MAIN OFFICE,1,Post Office,HAYS,1450 W HIGHWAY 290,DRIPPING SPRINGS,TX,78620,10087,
DUMAS - MAIN OFFICE,1,Post Office,MOORE,315 S BLISS AVE,DUMAS,TX,79029,8527,
DUNCANVILLE - MAIN OFFICE,1,Post Office,DALLAS,711 S CEDAR RIDGE DR,DUNCANVILLE,TX,75137,15159,
EAGLE PASS - MAIN OFFICE,1,Post Office,MAVERICK,410 S BIBB AVE,EAGLE PASS,TX,78852,23017,
EASTLAND - MAIN OFFICE,1,Post Office,EASTLAND,411 W MAIN ST,EASTLAND,TX,76448,7885,
EDINBURG - MAIN OFFICE,1,Post Office,HIDALGO,410 S JACKSON RD,EDINBURG,TX,78539,28519,
EL CAMPO - MAIN OFFICE,1,Post Office,WHARTON,110 S MECHANIC ST,EL CAMPO,TX,77437,12975,
EL INDIO - MPO/MODULAR BLDG,1,Post Office,MAVERICK,18496 FM 1021,EL INDIO,TX,78860,1472,
EL PASO WASHINGTON - PARK STATION,1,Post Office,EL PASO,4400 E PAISANO DR,EL PASO,TX,79905,16072,
EL PASO - SANDY CREEK STATION,1,Post Office,EL PASO,2100 GEORGE DIETER DR,EL PASO,TX,79936,20249,
EL PASO - DOWNTOWN STATION,1,Post Office,EL PASO,219 E MILLS AVE,EL PASO,TX,79901,31498,
EL PASO - PEBBLE HILLS STATION,1,Post Office,EL PASO,3100 N YARBROUGH DR,EL PASO,TX,79925,22751,
EL PASO - SUNRISE STATION,1,Post Office,EL PASO,4100 HERCULES AVE,EL PASO,TX,79904,9534,
EL PASO - CORONADO STATION,1,Post Office,EL PASO,7383 REMCON CIR,EL PASO,TX,79912,32433,
EL PASO - YSLETA STATION,1,Post Office,EL PASO,880 N ZARAGOZA RD,EL PASO,TX,79907,19988,
ELECTRA - MAIN OFFICE,1,Post Office,WICHITA,200 W CLEVELAND AVE,ELECTRA,TX,76360,8380,
ELGIN - MAIN OFFICE,1,Post Office,BASTROP,21 N AVENUE C,ELGIN,TX,78621,6936,
ELSA - MPO,1,Post Office,HIDALGO,706 E Edinburg Ave,ELSA,TX,78543,3936,
ENERGY - MAIN OFFICE MODULAR,1,Post Office,COMANCHE,6950 FM 1702 S,ENERGY,TX,76452,736,
ENNIS - MAIN OFFICE,1,Post Office,ELLIS,205 N MCKINNEY ST,ENNIS,TX,75119,16949,
ERA - MPO/MODULAR BLDG,1,Post Office,COOKE,7210 W FM 922,ERA,TX,76238,736,
ESTELLINE - MPO/MODULAR BLDG,1,Post Office,HALL,710 CLEVELAND ST,ESTELLINE,TX,79233,1472,
EULESS - MAIN OFFICE,1,Post Office,TARRANT,210 N ECTOR DR,EULESS,TX,76039,12647,
FARMERSVILLE - MAIN OFFICE,1,Post Office,COLLIN,213 MCKINNEY ST,FARMERSVILLE,TX,75442,6550,
FISCHER - MPO/MODULAR BLDG,1,Post Office,COMAL,4050 FM 484,FISCHER,TX,78623,736,
FLORESVILLE - MAIN OFFICE,1,Post Office,WILSON,141 PALOMA DR,FLORESVILLE,TX,78114,0,
FORNEY - MAIN OFFICE,1,Post Office,KAUFMAN,102 E BROAD ST,FORNEY,TX,75126,17617,
FORT WORTH - SEMINARY HILL STA,1,Post Office,TARRANT,1001 ALTAMESA BLVD,FORT WORTH,TX,76134,16206,
FORT WORTH - OAKS BRANCH,1,Post Office,TARRANT,1008 ROBERTS CUT OFF RD,RIVER OAKS,TX,76114,8019,
FORT WORTH - DOWNTOWN STATION,3,Administrative Office,TARRANT,251 W LANCASTER AVE,FORT WORTH,TX,76102,206856,
FORT WORTH - 8TH AVENUE STATION,1,Post Office,TARRANT,2600 8TH AVE,FORT WORTH,TX,76110,22199,
FORT WORTH - WHITE SETTLEMENT BR,1,Post Office,TARRANT,301 N LAS VEGAS TRL,FORT WORTH,TX,76108,18233,
FORT WORTH - RIDGLEA STATION,1,Post Office,TARRANT,3020 CHERRY LN,FORT WORTH,TX,76116,19016,
FORT WORTH - ARLINGTON HGTS,1,Post Office,TARRANT,3101 W 6TH ST,FORT WORTH,TX,76107,5007,
FORT WORTH - LAKE WORTH BRANCH,1,Post Office,TARRANT,3930 TELEPHONE RD,FORT WORTH,TX,76135,11463,
FORT WORTH - TRINITY RIVER STATION,1,Post Office,TARRANT,4450 OAK PARK LN,FORT WORTH,TX,76109,23477,
FORT WORTH - POLYTEC STATION; POLYTECH STATION STORAGE,1,Post Office,TARRANT,4650 E ROSEDALE ST,FORT WORTH,TX,76105,19382,
FORT WORTH - GLENCREST STATION,1,Post Office,TARRANT,5125 WICHITA ST,FORT WORTH,TX,76119,12179,
FORT WORTH - HALTOM CITY BRANCH,1,Post Office,TARRANT,5709 BROADWAY AVE,HALTOM CITY,TX,76117,11421,
FORT WORTH - NO RICHLAND HILLS BR,1,Post Office,TARRANT,6051 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,26302,
FORT WORTH - CITY VIEW STATION,1,Post Office,TARRANT,7101 BRYANT IRVIN RD,FORT WORTH,TX,76132,17819,
FRANCITAS - MPO/MODULAR BLDG,1,Post Office,JACKSON,66 BRYAN ST,FRANCITAS,TX,77961,736,
FREDERICKSBURG - MAIN OFFICE,1,Post Office,GILLESPIE,1150 N US HIGHWAY 87,FREDERICKSBURG,TX,78624,22504,
FRED - MAIN OFFICE,1,Post Office,TYLER,20239 FM 92 S,FRED,TX,77616,1400,
FREEPORT - MAIN OFFICE,1,Post Office,BRAZORIA,924 N AVENUE F,FREEPORT,TX,77541,8995,
FRESNO - MAIN OFFICE,1,Post Office,FORT BEND,4725 TEAL BEND BLVD,FRESNO,TX,77545,6309,
FRIENDSWOOD - MAIN OFFICE,1,Post Office,GALVESTON,310 MORNINGSIDE DR,FRIENDSWOOD,TX,77546,12016,
FRISCO - EAST FRISCO CARRIER ANNEX,1,Post Office,COLLIN,12580 ROLATER RD,FRISCO,TX,75035,9649,
FRISCO - MAIN OFFICE,1,Post Office,COLLIN,8700 STONEBROOK PKWY,FRISCO,TX,75034,19193,
GAINESVILLE - MAIN OFFICE,1,Post Office,COOKE,321 E CALIFORNIA ST,GAINESVILLE,TX,76240,23736,
GALVESTON - BOB LYONS STA,1,Post Office,GALVESTON,5826 BROADWAY ST,GALVESTON,TX,77551,21613,
GARLAND - MAIN OFFICE,1,Post Office,DALLAS,1000 W WALNUT ST,GARLAND,TX,75040,37085,
GARLAND - NORTH STATION,1,Post Office,DALLAS,2346 BELT LINE RD,GARLAND,TX,75044,25387,
GARLAND - SOUTH STATION,1,Post Office,DALLAS,501 E OATES RD,GARLAND,TX,75043,24374,
GARLAND - DALLAS AUX VMF,2,Vehicle Maintenance,DALLAS,936 W WALNUT ST,GARLAND,TX,75040,11921,
GATESVILLE - MAIN OFFICE,1,Post Office,CORYELL,802 E LEON ST,GATESVILLE,TX,76528,9567,
GEORGETOWN - MAIN OFFICE,1,Post Office,WILLIAMSON,2300 SCENIC DR,GEORGETOWN,TX,78626,25889,
GIDDINGS - MAIN OFFICE,1,Post Office,LEE,279 E AUSTIN ST,GIDDINGS,TX,78942,6297,
GILMER - MAIN OFFICE,1,Post Office,UPSHUR,405 N CYPRESS ST,GILMER,TX,75644,15171,
GIRARD - MPO/MODULAR BLDG,1,Post Office,KENT,1485 STATE HIGHWAY 70,GIRARD,TX,79518,750,
GLADEWATER - MAIN OFFICE,1,Post Office,GREGG,101 N DEAN ST,GLADEWATER,TX,75647,9432,
GODLEY - MAIN OFFICE,1,Post Office,JOHNSON,100 S MAIN ST,GODLEY,TX,76044,1902,
GONZALES - MAIN OFFICE,1,Post Office,GONZALES,920 N SAINT JOSEPH ST STE 105,GONZALES,TX,78629,11288,
GRAHAM - MAIN OFFICE,1,Post Office,YOUNG,100 TENNESSEE ST,GRAHAM,TX,76450,17074,
GRANBURY - MAIN OFFICE,1,Post Office,HOOD,530 N CROCKETT ST,GRANBURY,TX,76048,8048,
GRANBURY - ACTON BRANCH,1,Post Office,HOOD,5561 N GATE RD,GRANBURY,TX,76049,17116,
GRAND PRAIRIE - WESTCHESTER STATION,1,Post Office,DALLAS,765 W WESTCHESTER PKWY,GRAND PRAIRIE,TX,75052,25279,
