Owned Facility Inventory Report,,,,,,,,,,,,
,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,
(Ownership = Owned) And ({Property Status} = Active) And (ST = TX) And ({Building Ownership Description} <> Building Data on another record,,,,,,,,,,,,
,,,,,,,,,,,,
District,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Ownership,FDB Facility Type (All),FDB Facility Subtype (All),Bldg Occu Date,Int Sq Ft
TEXAS 3,BALLINGER,MAIN OFFICE,116 S 8TH ST,RUNNELS,BALLINGER,TX,76821-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"5,525"
TEXAS 3,BARSTOW,MPO/MODULAR BLDG,211 MACKEY AVE,WARD,BARSTOW,TX,79719-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1996,736
TEXAS 2,BAY CITY,MAIN OFFICE,1309 BAYWOOD DR,MATAGORDA,BAY CITY,TX,77414-9998,Owned,Post Office,Administrative Post Office (APO),11/1/1989,"24,220"
TEXAS 2,BAYTOWN,MAIN OFFICE,601 W BAKER RD,HARRIS,BAYTOWN,TX,77521-9998,Owned,Post Office,Main Post Office,7/1/1985,"22,149"
TEXAS 2,BAYTOWN,STATION A,3508 MARKET ST,HARRIS,BAYTOWN,TX,77520-9998,Owned,Post Office,Finance Station,6/1/1936,"8,669"
TEXAS 2,BEAUMONT,BEAUMONT TX LPC,5815 WALDEN RD,JEFFERSON,BEAUMONT,TX,77707-9998,Owned,Post Office,Main Post Office,11/1/1987,"148,347"
TEXAS 2,BEAUMONT,BEAUMONT TX LPC,5815 WALDEN RD,JEFFERSON,BEAUMONT,TX,77707-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),11/1/1987,"148,347"
TEXAS 2,BEAUMONT,BEAUMONT TX LPC,5815 WALDEN RD,JEFFERSON,BEAUMONT,TX,77707-9998,Owned,Post Office,Service Hub Facility (SHF),11/1/1987,"148,347"
TEXAS 2,BEAUMONT,BEAUMONT TX LPC,5815 WALDEN RD,JEFFERSON,BEAUMONT,TX,77707-9998,Owned,Network Facilities,Logistics (LOG),11/1/1987,"148,347"
TEXAS 2,BEAUMONT,SOUTH END STATION,3501 AVENUE A,JEFFERSON,BEAUMONT,TX,77705-9996,Owned,Post Office,Station,,"20,624"
TEXAS 2,BEAUMONT,TOBE HAHN STATION,3910 N DOWLEN RD,JEFFERSON,BEAUMONT,TX,77706-9998,Owned,Post Office,Station,1/1/1998,"33,142"
TEXAS 2,BEAUMONT,VMF,5815 WALDEN RD,JEFFERSON,BEAUMONT,TX,77707-9998,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),11/1/1987,"11,302"
TEXAS 1,BEDFORD,CENTRAL STATION,2124 L DON DODSON DR,TARRANT,BEDFORD,TX,76021-9997,Owned,Post Office,Finance Station,10/1/1976,"8,362"
TEXAS 1,BEDFORD,CENTRAL STATION,2124 L DON DODSON DR,TARRANT,BEDFORD,TX,76021-9997,Owned,Administrative Office,Postal Inspection Service Field Division (USPIS),10/1/1976,"8,362"
TEXAS 1,BEDFORD,MAIN OFFICE,1300 HARWOOD RD,TARRANT,BEDFORD,TX,76021-4516,Owned,Post Office,Main Post Office,6/1/1987,"23,075"
TEXAS 3,BEEVILLE,MAIN OFFICE,111 N SAINT MARYS ST,BEE,BEEVILLE,TX,78102-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1918,"14,723"
TEXAS 2,BELLAIRE,MAIN OFFICE,5350 BELLAIRE BLVD,HARRIS,BELLAIRE,TX,77401-9998,Owned,Post Office,Main Post Office,11/1/1988,"21,815"
TEXAS 3,BELTON,MAIN OFFICE,111 N WALL ST,BELL,BELTON,TX,76513-9998,Owned,Post Office,Main Post Office,10/1/1984,"9,477"
TEXAS 3,BIG SPRING,MAIN OFFICE,501 S MAIN ST,HOWARD,BIG SPRING,TX,79720-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1969,"39,036"
TEXAS 3,BLEDSOE,MO/MODULAR BLDG,512 4TH ST,COCHRAN,BLEDSOE,TX,79314-3000,Owned,Post Office,Remotely Managed Post Office (RMPO),6/1/1998,736
TEXAS 1,BLUEGROVE,MPO/MODULAR BUILDING,1720 FM 172,CLAY,BLUEGROVE,TX,76352-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1996,736
TEXAS 3,BOERNE,CARRIER ANNEX,6 UPPER BALCONES RD,KENDALL,BOERNE,TX,78006-9996,Owned,Post Office,Carrier Annex (ANX),11/15/2009,"7,828"
TEXAS 3,BOERNE,MAIN OFFICE,607 E BLANCO RD,KENDALL,BOERNE,TX,78006-9998,Owned,Post Office,Main Post Office,7/1/1984,"6,119"
TEXAS 1,BONHAM,MAIN OFFICE,300 N CENTER ST,FANNIN,BONHAM,TX,75418-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1914,"13,459"
TEXAS 3,BORGER,MAIN OFFICE,500 S MCGEE ST,HUTCHINSON,BORGER,TX,79007-9998,Owned,Post Office,Main Post Office,7/1/1978,"9,280"
TEXAS 1,BOWIE,MAIN OFFICE,113 N MASON ST,MONTAGUE,BOWIE,TX,76230-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1935,"9,902"
TEXAS 3,BRADY,MAIN OFFICE,229 S BLACKBURN ST,MCCULLOCH,BRADY,TX,76825-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"9,754"
TEXAS 2,BRAZORIA,MAIN OFFICE,111 GAINES ST,BRAZORIA,BRAZORIA,TX,77422-9998,Owned,Post Office,Administrative Post Office (APO),5/1/1991,"13,814"
TEXAS 1,BRECKENRIDGE,MAIN OFFICE,123 W WILLIAMS ST,STEPHENS,BRECKENRIDGE,TX,76424-9998,Owned,Post Office,Administrative Post Office (APO),1/1/1935,"9,395"
TEXAS 1,BREMOND,MAIN OFFICE,400 S MAIN ST,ROBERTSON,BREMOND,TX,76629-9998,Owned,Post Office,Administrative Post Office (APO),8/1/1961,"2,992"
TEXAS 2,BRIDGE CITY,MAIN OFFICE,900 TEXAS AVE,ORANGE,BRIDGE CITY,TX,77611-9998,Owned,Post Office,Main Post Office,9/1/1985,"8,373"
TEXAS 2,BROWNSVILLE,MAIN OFFICE,1535 E LOS EBANOS BLVD,CAMERON,BROWNSVILLE,TX,78520-9998,Owned,Post Office,Main Post Office,4/1/1972,"22,802"
TEXAS 3,BROWNWOOD,MAIN OFFICE,600 CENTER AVE,BROWN,BROWNWOOD,TX,76801-2800,Owned,Post Office,Administrative Post Office (APO),6/1/1914,"20,926"
TEXAS 2,BRYAN,DOWNTOWN STA,210 W WM J BRYAN PKWY,BRAZOS,BRYAN,TX,77803-9998,Owned,Post Office,Finance Station,5/1/1975,"11,218"
TEXAS 2,BRYAN,P&DC-MAIN OFFICE-SHF,2121 E WM J BRYAN PKWY,BRAZOS,BRYAN,TX,77801-9998,Owned,Post Office,Main Post Office,11/1/1990,"119,702"
TEXAS 2,BRYAN,P&DC-MAIN OFFICE-SHF,2121 E WM J BRYAN PKWY,BRAZOS,BRYAN,TX,77801-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),11/1/1990,"119,702"
TEXAS 2,BRYAN,P&DC-MAIN OFFICE-SHF,2121 E WM J BRYAN PKWY,BRAZOS,BRYAN,TX,77801-9998,Owned,Post Office,Service Hub Facility (SHF),11/1/1990,"119,702"
TEXAS 2,BRYAN,P&DC-MAIN OFFICE-SHF,2121 E WM J BRYAN PKWY,BRAZOS,BRYAN,TX,77801-9998,Owned,Post Office,Sorting and Delivery Center (SDC),11/1/1990,"119,702"
TEXAS 3,BUDA,MPO,1320 CABELAS DR,HAYS,BUDA,TX,78610-9998,Owned,Post Office,Main Post Office,9/12/2009,"6,471"
TEXAS 1,BUFFALO,MAIN OFFICE,208 CENTER ST,LEON,BUFFALO,TX,75831-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1965,"3,825"
TEXAS 1,BURKBURNETT,MAIN OFFICE,501 COUNTY RD,WICHITA,BURKBURNETT,TX,76354-2673,Owned,Post Office,Main Post Office,9/1/1985,"8,379"
TEXAS 1,BURLESON,MAIN OFFICE,232 SW JOHNSON AVE,JOHNSON,BURLESON,TX,76028-9998,Owned,Post Office,Main Post Office,4/1/1982,"21,653"
TEXAS 2,CALDWELL,MAIN OFFICE,201 N MAIN ST,BURLESON,CALDWELL,TX,77836-9998,Owned,Post Office,Administrative Post Office (APO),7/1/1986,"4,614"
TEXAS 1,CAMDEN,MAIN OFFICE BUILDING,242 POST OFFICE RD,POLK,CAMDEN,TX,75934-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),,768
TEXAS 3,CAMERON,MAIN OFFICE,202 W 2ND ST,MILAM,CAMERON,TX,76520-9998,Owned,Post Office,Main Post Office,3/1/1918,"6,359"
TEXAS 3,CANYON,MAIN OFFICE,1304 4TH AVE,RANDALL,CANYON,TX,79015-3739,Owned,Post Office,Administrative Post Office (APO),8/1/1978,"7,781"
TEXAS 1,CARLTON,MPO/MODULAR BLDG,139 S FM 1744,HAMILTON,CARLTON,TX,76436-9802,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1995,736
TEXAS 3,CARRIZO SPRINGS,MAIN OFFICE,401 N 5TH ST,DIMMIT,CARRIZO SPRINGS,TX,78834-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1985,"6,573"
TEXAS 1,CARROLLTON,MAIN OFFICE,2030 E JACKSON RD,DALLAS,CARROLLTON,TX,75006-9998,Owned,Post Office,Main Post Office,11/1/1987,"29,518"
TEXAS 1,CARROLLTON,ROSEMEADE STATION,3755 N JOSEY LN,DALLAS,CARROLLTON,TX,75007-9998,Owned,Post Office,Station,7/1/1985,"23,710"
TEXAS 1,CARTHAGE,MAIN OFFICE,109 W WELLINGTON ST,PANOLA,CARTHAGE,TX,75633-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1966,"10,635"
TEXAS 3,CATARINA,MO/MODULAR BLDG,19929 S US HIGHWAY 83,DIMMIT,CATARINA,TX,78836-9800,Owned,Post Office,Non Personnel Unit (NPU),11/1/1994,874
TEXAS 1,CEDAR HILL,MAIN OFFICE,475 E FM 1382,DALLAS,CEDAR HILL,TX,75104-9998,Owned,Post Office,Main Post Office,11/1/1992,"24,251"
TEXAS 3,CEDAR PARK,MAIN OFFICE,500 E WHITESTONE BLVD,WILLIAMSON,CEDAR PARK,TX,78613-9998,Owned,Post Office,Main Post Office,1/1/1999,"20,000"
TEXAS 2,CHANNELVIEW,MAIN OFFICE,531 SHELDON RD,HARRIS,CHANNELVIEW,TX,77530-9998,Owned,Post Office,Main Post Office,9/1/1986,"10,304"
TEXAS 2,CHAPMAN RANCH,MAIN OFFICE,1004 COUNTY ROAD 8A,NUECES,CHAPMAN RANCH,TX,78347-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),,450
TEXAS 3,CHILDRESS,MAIN OFFICE,507 AVENUE F NW,CHILDRESS,CHILDRESS,TX,79201-9998,Owned,Post Office,Administrative Post Office (APO),7/1/1980,"9,130"
TEXAS 3,CHILDRESS,MAIN OFFICE,507 AVENUE F NW,CHILDRESS,CHILDRESS,TX,79201-9998,Owned,Post Office,Service Hub Facility (SHF),7/1/1980,"9,130"
TEXAS 1,CHILTON,MO/MODULAR BLDG,2581 STATE HIGHWAY 7,FALLS,CHILTON,TX,76632-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),3/1/1996,736
TEXAS 2,CHRIESMAN,MPO/MODULAR BLDG,136 PRAIRIE ST,BURLESON,CHRIESMAN,TX,77838-5000,Owned,Post Office,Remotely Managed Post Office (RMPO),10/1/1998,732
TEXAS 3,CIBOLO,MAIN OFFICE,725 FM 1103,GUADALUPE,CIBOLO,TX,78108-9998,Owned,Post Office,Main Post Office,2/1/1990,"7,465"
TEXAS 1,CISCO,MAIN OFFICE,206 W 6TH ST,EASTLAND,CISCO,TX,76437-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1932,"17,613"
TEXAS 1,CLARKSVILLE,MAIN OFFICE,403 N WALNUT ST,RED RIVER,CLARKSVILLE,TX,75426-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1915,"9,854"
TEXAS 1,CLAYTON,MPO/MODULAR BLDG,4535 W HIGHWAY 315,PANOLA,CLAYTON,TX,75637-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1996,736
TEXAS 1,CLEBURNE,MAIN OFFICE,201 FAIRCREST DR,JOHNSON,CLEBURNE,TX,76033-4649,Owned,Post Office,Main Post Office,4/1/1991,"27,820"
TEXAS 2,CLEVELAND,MAIN OFFICE,1213 E HOUSTON ST,LIBERTY,CLEVELAND,TX,77327-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1976,"9,160"
TEXAS 1,CLIFTON,MAIN OFFICE,407 W 5TH ST,BOSQUE,CLIFTON,TX,76634-9998,Owned,Post Office,Administrative Post Office (APO),10/1/1940,"6,172"
TEXAS 2,CLUTE,MAIN OFFICE,530 E MAIN ST,BRAZORIA,CLUTE,TX,77531-9998,Owned,Post Office,Main Post Office,7/1/1986,"11,125"
TEXAS 3,COLEMAN,MAIN OFFICE,201 W PECAN ST,COLEMAN,COLEMAN,TX,76834-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1932,"13,609"
TEXAS 2,COLLEGE STATION,MAIN OFFICE,2130 HARVEY MITCHELL PKWY S,BRAZOS,COLLEGE STATION,TX,77840-9998,Owned,Post Office,Main Post Office,4/1/1988,"26,279"
TEXAS 2,COLLEGE STATION,NORTHGATE STATION,104 N HOUSTON ST,BRAZOS,COLLEGE STATION,TX,77841-9800,Owned,Post Office,Finance Station,6/1/1937,"22,642"
TEXAS 1,COLLEYVILLE,MAIN OFFICE,1501 HALL JOHNSON RD,TARRANT,COLLEYVILLE,TX,76034-9998,Owned,Post Office,Main Post Office,4/1/1998,"17,333"
TEXAS 3,COLORADO CITY,MAIN OFFICE,116 W 3RD ST,MITCHELL,COLORADO CITY,TX,79512-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1935,"6,339"
TEXAS 3,COMSTOCK,MPO/MODULAR BLDG,32108 W US HIGHWAY 90,VAL VERDE,COMSTOCK,TX,78837-9998,Owned,Post Office,Part Time Post Office (PTPO),3/1/1996,736
TEXAS 2,CONCEPCION,MPO/MODULAR BLDG.,2239 FM 716,DUVAL,CONCEPCION,TX,78349-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/2005,700
TEXAS 2,CONROE,MAIN OFFICE,809 W DALLAS ST,MONTGOMERY,CONROE,TX,77301-9998,Owned,Post Office,Main Post Office,7/1/1981,"39,276"
TEXAS 3,CONVERSE,MAIN OFFICE,9155 SCHAEFER RD,BEXAR,CONVERSE,TX,78109-9998,Owned,Post Office,Main Post Office,9/1/1990,"11,912"
TEXAS 1,COOPER,MAIN OFFICE,150 E DALLAS AVE,DELTA,COOPER,TX,75432-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"7,333"
TEXAS 1,COPPELL,MAIN OFFICE,450 S DENTON TAP RD,DALLAS,COPPELL,TX,75019-9998,Owned,Post Office,Main Post Office,9/1/1987,"17,630"
TEXAS 3,COPPERAS COVE,MAIN OFFICE,802 E AVENUE D,CORYELL,COPPERAS COVE,TX,76522-9998,Owned,Post Office,Main Post Office,11/1/1983,"9,679"
TEXAS 2,CORPUS CHRISTI,FLOUR BLUFF STATION,10139 SECURITY DR,NUECES,CORPUS CHRISTI,TX,78418-9998,Owned,Post Office,Station,10/1/1984,"6,827"
TEXAS 2,CORPUS CHRISTI,LAMAR PARK STATION,4801 EVERHART RD,NUECES,CORPUS CHRISTI,TX,78411-9998,Owned,Post Office,Station,10/1/2003,"17,933"
TEXAS 2,CORPUS CHRISTI,P&DC,809 NUECES BAY BLVD,NUECES,CORPUS CHRISTI,TX,78469-9998,Owned,Post Office,Main Post Office,12/1/1969,"113,333"
TEXAS 2,CORPUS CHRISTI,P&DC,809 NUECES BAY BLVD,NUECES,CORPUS CHRISTI,TX,78469-9998,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),12/1/1969,"113,333"
TEXAS 2,CORPUS CHRISTI,P&DC,809 NUECES BAY BLVD,NUECES,CORPUS CHRISTI,TX,78469-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),12/1/1969,"113,333"
TEXAS 2,CORPUS CHRISTI,P&DC,809 NUECES BAY BLVD,NUECES,CORPUS CHRISTI,TX,78469-9998,Owned,Post Office,Finance Station,12/1/1969,"113,333"
TEXAS 2,CORPUS CHRISTI,P&DC,809 NUECES BAY BLVD,NUECES,CORPUS CHRISTI,TX,78469-9998,Owned,Network Facilities,Logistics (LOG),12/1/1969,"113,333"
TEXAS 2,CORPUS CHRISTI,PORTAIRS STATION,4213 S PORT AVE,NUECES,CORPUS CHRISTI,TX,78415-9998,Owned,Post Office,Station,12/1/1986,"15,175"
TEXAS 2,CORPUS CHRISTI,SIX POINTS STATION,902 AYERS ST,NUECES,CORPUS CHRISTI,TX,78404-9998,Owned,Post Office,Station,12/1/1975,"6,794"
TEXAS 2,CORPUS CHRISTI,SOUTHSIDE STATION,6742 WEBER RD,NUECES,CORPUS CHRISTI,TX,78413-9998,Owned,Post Office,Station,4/1/1985,"8,609"
TEXAS 1,CORSICANA,MAIN OFFICE,116 S MAIN ST,NAVARRO,CORSICANA,TX,75110-9998,Owned,Post Office,Administrative Post Office (APO),3/1/1911,"25,428"
TEXAS 3,COTTON CENTER,MPO/MODULAR BUILDING,2359 FM 179,HALE,COTTON CENTER,TX,79021-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),9/1/1999,700
TEXAS 3,CRANE,MAIN OFFICE,509 S ALFORD ST,CRANE,CRANE,TX,79731-9998,Owned,Post Office,Main Post Office,12/1/1959,"4,284"
TEXAS 1,CROCKETT,MAIN OFFICE,600 E GOLIAD AVE,HOUSTON,CROCKETT,TX,75835-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1932,"9,584"
TEXAS 2,CROSBY,MAIN OFFICE,133 HARE RD,HARRIS,CROSBY,TX,77532-9998,Owned,Post Office,Main Post Office,2/1/1986,"12,874"
TEXAS 1,CROWLEY,MAIN OFFICE,200 S CROWLEY RD,TARRANT,CROWLEY,TX,76036-9998,Owned,Post Office,Main Post Office,3/1/1986,"7,100"
