zcta,state_fips,puma_geoid,puma_code,puma_name,zcta_name,zcta_land_area,puma_land_area,overlap_land_area,overlap_water_area,zcta_to_puma_weight,puma_to_zcta_weight,overlap_rank_for_zcta,is_primary_puma_for_zcta,source_year,source_file,GEOID_PUMA5_20,NAMELSAD_PUMA5_20,AREALAND_PUMA5_20,AREAWATER_PUMA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,AREALAND_PART,AREAWATER_PART
75020,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75020,158057348,6989074470,158057348,12679987,1.0,0.022615,1,1,2020,tab20_puma520_zcta520_natl.txt,4800800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",6989074470,202241294,75020,ZCTA5 75020,158057348,12679987,158057348,12679987
75021,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75021,151246825,6989074470,151246825,157711,1.0,0.02164,1,1,2020,tab20_puma520_zcta520_natl.txt,4800800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",6989074470,202241294,75021,ZCTA5 75021,151246825,157711,151246825,157711
75022,48,4802003,02003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,ZCTA5 75022,50624086,301246754,48155964,5254159,0.951246,0.159856,1,1,2020,tab20_puma520_zcta520_natl.txt,4802003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,301246754,18685491,75022,ZCTA5 75022,50624086,7044645,48155964,5254159
75022,48,4802501,02501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",ZCTA5 75022,50624086,189549604,2468122,1790486,0.048754,0.013021,2,0,2020,tab20_puma520_zcta520_natl.txt,4802501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",189549604,12779174,75022,ZCTA5 75022,50624086,7044645,2468122,1790486
75023,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75023,23824659,59257051,20667780,15985,0.867495,0.348782,1,1,2020,tab20_puma520_zcta520_natl.txt,4801903,Collin County (Southwest)--Plano City (Central) PUMA,59257051,163436,75023,ZCTA5 75023,23824659,15985,20667780,15985
75023,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75023,23824659,70430896,3156879,0,0.132505,0.044822,2,0,2020,tab20_puma520_zcta520_natl.txt,4801902,Collin County (Southwest)--Plano City (West) PUMA,70430896,498533,75023,ZCTA5 75023,23824659,15985,3156879,0
75024,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75024,33548905,70430896,29355069,257082,0.874993,0.416792,1,1,2020,tab20_puma520_zcta520_natl.txt,4801902,Collin County (Southwest)--Plano City (West) PUMA,70430896,498533,75024,ZCTA5 75024,33548905,299035,29355069,257082
75024,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75024,33548905,74151190,4193836,41953,0.125007,0.056558,2,0,2020,tab20_puma520_zcta520_natl.txt,4802001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,74151190,588101,75024,ZCTA5 75024,33548905,299035,4193836,41953
75025,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75025,24744024,70430896,15692498,23386,0.634193,0.222807,1,1,2020,tab20_puma520_zcta520_natl.txt,4801902,Collin County (Southwest)--Plano City (West) PUMA,70430896,498533,75025,ZCTA5 75025,24744024,130945,15692498,23386
75025,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75025,24744024,59257051,9051526,107559,0.365807,0.15275,2,0,2020,tab20_puma520_zcta520_natl.txt,4801903,Collin County (Southwest)--Plano City (Central) PUMA,59257051,163436,75025,ZCTA5 75025,24744024,130945,9051526,107559
75028,48,4802003,02003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,ZCTA5 75028,40295948,301246754,37996379,198962,0.942933,0.12613,1,1,2020,tab20_puma520_zcta520_natl.txt,4802003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,301246754,18685491,75028,ZCTA5 75028,40295948,200045,37996379,198962
75028,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75028,40295948,98973319,1367353,0,0.033933,0.013815,2,0,2020,tab20_puma520_zcta520_natl.txt,4802002,Denton County (Southeast)--Lewisville City PUMA,98973319,11231876,75028,ZCTA5 75028,40295948,200045,1367353,0
75028,48,4802501,02501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",ZCTA5 75028,40295948,189549604,932216,1083,0.023134,0.004918,3,0,2020,tab20_puma520_zcta520_natl.txt,4802501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",189549604,12779174,75028,ZCTA5 75028,40295948,200045,932216,1083
75032,48,4800900,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",ZCTA5 75032,124641560,2506128078,124641560,21280163,1.0,0.049735,1,1,2020,tab20_puma520_zcta520_natl.txt,4800900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",2506128078,164034191,75032,ZCTA5 75032,124641560,21280163,124641560,21280163
75033,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75033,56782769,145404994,31117919,155004,0.548017,0.214009,1,1,2020,tab20_puma520_zcta520_natl.txt,4802004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",145404994,28934276,75033,ZCTA5 75033,56782769,528660,31117919,155004
75033,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75033,56782769,330653982,16548705,345895,0.291439,0.050048,2,0,2020,tab20_puma520_zcta520_natl.txt,4801908,Collin County (Northwest)--Celina City & Prosper Town PUMA,330653982,4120983,75033,ZCTA5 75033,56782769,528660,16548705,345895
75033,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75033,56782769,82840744,9116145,27761,0.160544,0.110044,3,0,2020,tab20_puma520_zcta520_natl.txt,4801909,Collin County (Northwest)--Frisco City (East) PUMA,82840744,264322,75033,ZCTA5 75033,56782769,528660,9116145,27761
75034,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75034,41294400,82840744,23312510,42341,0.564544,0.281414,1,1,2020,tab20_puma520_zcta520_natl.txt,4801909,Collin County (Northwest)--Frisco City (East) PUMA,82840744,264322,75034,ZCTA5 75034,41294400,483852,23312510,42341
75034,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75034,41294400,145404994,17981890,441511,0.435456,0.123668,2,0,2020,tab20_puma520_zcta520_natl.txt,4802004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",145404994,28934276,75034,ZCTA5 75034,41294400,483852,17981890,441511
75035,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75035,64494015,82840744,48120964,194220,0.746131,0.580885,1,1,2020,tab20_puma520_zcta520_natl.txt,4801909,Collin County (Northwest)--Frisco City (East) PUMA,82840744,264322,75035,ZCTA5 75035,64494015,226387,48120964,194220
75035,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75035,64494015,330653982,16373051,32167,0.253869,0.049517,2,0,2020,tab20_puma520_zcta520_natl.txt,4801908,Collin County (Northwest)--Celina City & Prosper Town PUMA,330653982,4120983,75035,ZCTA5 75035,64494015,226387,16373051,32167
75036,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75036,28071673,145404994,28071673,8750232,1.0,0.193059,1,1,2020,tab20_puma520_zcta520_natl.txt,4802004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",145404994,28934276,75036,ZCTA5 75036,28071673,8750232,28071673,8750232
75038,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75038,19782729,105339361,19782729,104199,1.0,0.1878,1,1,2020,tab20_puma520_zcta520_natl.txt,4802321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,105339361,1695634,75038,ZCTA5 75038,19782729,104199,19782729,104199
75039,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75039,14721183,117102039,10322240,587602,0.701183,0.088147,1,1,2020,tab20_puma520_zcta520_natl.txt,4802322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",117102039,4367792,75039,ZCTA5 75039,14721183,947646,10322240,587602
75039,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75039,14721183,105339361,4398943,360044,0.298817,0.04176,2,0,2020,tab20_puma520_zcta520_natl.txt,4802321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,105339361,1695634,75039,ZCTA5 75039,14721183,947646,4398943,360044
75040,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75040,40655122,104084865,24393025,0,0.599999,0.234357,1,1,2020,tab20_puma520_zcta520_natl.txt,4802301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,104084865,10570481,75040,ZCTA5 75040,40655122,17014,24393025,0
75040,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75040,40655122,64925324,13668934,17014,0.336217,0.210533,2,0,2020,tab20_puma520_zcta520_natl.txt,4802308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,64925324,211816,75040,ZCTA5 75040,40655122,17014,13668934,17014
75040,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75040,40655122,66709534,2593163,0,0.063784,0.038872,3,0,2020,tab20_puma520_zcta520_natl.txt,4802302,Dallas County (Northeast)--Garland City (South) PUMA,66709534,2109283,75040,ZCTA5 75040,40655122,17014,2593163,0
75041,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75041,20523160,66709534,20493037,4329,0.998532,0.307198,1,1,2020,tab20_puma520_zcta520_natl.txt,4802302,Dallas County (Northeast)--Garland City (South) PUMA,66709534,2109283,75041,ZCTA5 75041,20523160,4329,20493037,4329
75041,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75041,20523160,104084865,30123,0,0.001468,0.000289,2,0,2020,tab20_puma520_zcta520_natl.txt,4802301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,104084865,10570481,75041,ZCTA5 75041,20523160,4329,30123,0
75042,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75042,19767292,64925324,10106647,0,0.511281,0.155666,1,1,2020,tab20_puma520_zcta520_natl.txt,4802308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,64925324,211816,75042,ZCTA5 75042,19767292,2357,10106647,0
75042,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75042,19767292,66709534,9660645,2357,0.488719,0.144817,2,0,2020,tab20_puma520_zcta520_natl.txt,4802302,Dallas County (Northeast)--Garland City (South) PUMA,66709534,2109283,75042,ZCTA5 75042,19767292,2357,9660645,2357
75043,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75043,37986932,66709534,25468028,2096462,0.670442,0.381775,1,1,2020,tab20_puma520_zcta520_natl.txt,4802302,Dallas County (Northeast)--Garland City (South) PUMA,66709534,2109283,75043,ZCTA5 75043,37986932,13429042,25468028,2096462
75043,48,4802303,02303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,ZCTA5 75043,37986932,142247625,10010578,9386665,0.263527,0.070374,2,0,2020,tab20_puma520_zcta520_natl.txt,4802303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,142247625,15668938,75043,ZCTA5 75043,37986932,13429042,10010578,9386665
75043,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75043,37986932,104084865,2508326,1945915,0.066031,0.024099,3,0,2020,tab20_puma520_zcta520_natl.txt,4802301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,104084865,10570481,75043,ZCTA5 75043,37986932,13429042,2508326,1945915
75044,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75044,27340474,64925324,27227586,175910,0.995871,0.419368,1,1,2020,tab20_puma520_zcta520_natl.txt,4802308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,64925324,211816,75044,ZCTA5 75044,27340474,175910,27227586,175910
75044,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75044,27340474,85849521,112888,0,0.004129,0.001315,2,0,2020,tab20_puma520_zcta520_natl.txt,4801901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",85849521,325151,75044,ZCTA5 75044,27340474,175910,112888,0
75048,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75048,25204658,104084865,17619191,233990,0.699045,0.169277,1,1,2020,tab20_puma520_zcta520_natl.txt,4802301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,104084865,10570481,75048,ZCTA5 75048,25204658,246037,17619191,233990
75048,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75048,25204658,134295530,3482700,9046,0.138177,0.025933,2,0,2020,tab20_puma520_zcta520_natl.txt,4801904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",134295530,1104736,75048,ZCTA5 75048,25204658,246037,3482700,9046
75048,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75048,25204658,64925324,2706316,0,0.107374,0.041684,3,0,2020,tab20_puma520_zcta520_natl.txt,4802308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,64925324,211816,75048,ZCTA5 75048,25204658,246037,2706316,0
75048,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75048,25204658,1287411103,1396451,3001,0.055404,0.001085,4,0,2020,tab20_puma520_zcta520_natl.txt,4801907,Collin County (East) PUMA,1287411103,107844397,75048,ZCTA5 75048,25204658,246037,1396451,3001
75050,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75050,66893283,88729091,42355801,321973,0.633185,0.477361,1,1,2020,tab20_puma520_zcta520_natl.txt,4802320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,88729091,1104128,75050,ZCTA5 75050,66893283,653492,42355801,321973
75050,48,4802502,02502,Tarrant County (East)--Euless (South & West) & Arlington (North) Cities PUMA,ZCTA5 75050,66893283,98094187,12978315,141549,0.194015,0.132305,2,0,2020,tab20_puma520_zcta520_natl.txt,4802502,Tarrant County (East)--Euless (South & West) & Arlington (North) Cities PUMA,98094187,1232456,75050,ZCTA5 75050,66893283,653492,12978315,141549
75050,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75050,66893283,123596032,10402185,189970,0.155504,0.084163,3,0,2020,tab20_puma520_zcta520_natl.txt,4802319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,123596032,11720552,75050,ZCTA5 75050,66893283,653492,10402185,189970
75050,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75050,66893283,78571362,1156982,0,0.017296,0.014725,4,0,2020,tab20_puma520_zcta520_natl.txt,4802503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,78571362,102121,75050,ZCTA5 75050,66893283,653492,1156982,0
75051,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75051,32700206,123596032,28409289,7117960,0.86878,0.229856,1,1,2020,tab20_puma520_zcta520_natl.txt,4802319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,123596032,11720552,75051,ZCTA5 75051,32700206,7117960,28409289,7117960
75051,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75051,32700206,78571362,4263232,0,0.130373,0.054259,2,0,2020,tab20_puma520_zcta520_natl.txt,4802503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,78571362,102121,75051,ZCTA5 75051,32700206,7117960,4263232,0
75051,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75051,32700206,88729091,27685,0,0.000847,0.000312,3,0,2020,tab20_puma520_zcta520_natl.txt,4802320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,88729091,1104128,75051,ZCTA5 75051,32700206,7117960,27685,0
75052,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75052,68492014,123596032,34841764,1048100,0.508698,0.2819,1,1,2020,tab20_puma520_zcta520_natl.txt,4802319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,123596032,11720552,75052,ZCTA5 75052,68492014,3512800,34841764,1048100
75052,48,4802504,02504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA,ZCTA5 75052,68492014,70699267,19313464,2454333,0.281981,0.273178,2,0,2020,tab20_puma520_zcta520_natl.txt,4802504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA,70699267,2503186,75052,ZCTA5 75052,68492014,3512800,19313464,2454333
75052,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75052,68492014,78571362,8541857,0,0.124713,0.108715,3,0,2020,tab20_puma520_zcta520_natl.txt,4802503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,78571362,102121,75052,ZCTA5 75052,68492014,3512800,8541857,0
75052,48,4802318,02318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,ZCTA5 75052,68492014,141991935,5794929,10367,0.084607,0.040812,4,0,2020,tab20_puma520_zcta520_natl.txt,4802318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,141991935,18517730,75052,ZCTA5 75052,68492014,3512800,5794929,10367
75054,48,4802505,02505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA,ZCTA5 75054,15324803,112999517,9984574,4225023,0.65153,0.088359,1,1,2020,tab20_puma520_zcta520_natl.txt,4802505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA,112999517,4367716,75054,ZCTA5 75054,15324803,15177178,9984574,4225023
75054,48,4802318,02318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,ZCTA5 75054,15324803,141991935,5340229,10952155,0.34847,0.037609,2,0,2020,tab20_puma520_zcta520_natl.txt,4802318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,141991935,18517730,75054,ZCTA5 75054,15324803,15177178,5340229,10952155
75056,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75056,61201261,145404994,28417013,12385982,0.464321,0.195434,1,1,2020,tab20_puma520_zcta520_natl.txt,4802004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",145404994,28934276,75056,ZCTA5 75056,61201261,16183771,28417013,12385982
75056,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75056,61201261,74151190,18359811,112000,0.299991,0.2476,2,0,2020,tab20_puma520_zcta520_natl.txt,4802001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,74151190,588101,75056,ZCTA5 75056,61201261,16183771,18359811,112000
75056,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75056,61201261,98973319,14424437,3685789,0.235689,0.145741,3,0,2020,tab20_puma520_zcta520_natl.txt,4802002,Denton County (Southeast)--Lewisville City PUMA,98973319,11231876,75056,ZCTA5 75056,61201261,16183771,14424437,3685789
75057,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75057,34511803,98973319,34511803,6239802,1.0,0.348698,1,1,2020,tab20_puma520_zcta520_natl.txt,4802002,Denton County (Southeast)--Lewisville City PUMA,98973319,11231876,75057,ZCTA5 75057,34511803,6239802,34511803,6239802
