zcta,state_fips,puma_geoid,puma_code,puma_name,zcta_name,zcta_land_area,puma_land_area,overlap_land_area,overlap_water_area,zcta_to_puma_weight,puma_to_zcta_weight,overlap_rank_for_zcta,is_primary_puma_for_zcta,source_year,source_file
75009,48,4802006,02006,Denton County (North & West)--Denton City (Outer) PUMA,ZCTA5 75009,255671157,1536218064,17686800,136529,0.069178,0.011513,3,0,2020,tab20_puma520_zcta520_natl.txt
75010,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75010,17643760,74151190,14151799,84842,0.802085,0.190851,1,1,2020,tab20_puma520_zcta520_natl.txt
75010,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75010,17643760,98973319,3491961,46905,0.197915,0.035282,2,0,2020,tab20_puma520_zcta520_natl.txt
75013,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75013,38962173,134295530,38962173,159239,1.0,0.290123,1,1,2020,tab20_puma520_zcta520_natl.txt
75019,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75019,44512916,117102039,43638414,2605834,0.980354,0.372653,1,1,2020,tab20_puma520_zcta520_natl.txt
75019,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75019,44512916,98973319,874502,0,0.019646,0.008836,2,0,2020,tab20_puma520_zcta520_natl.txt
75020,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75020,158057348,6989074470,158057348,12679987,1.0,0.022615,1,1,2020,tab20_puma520_zcta520_natl.txt
75021,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75021,151246825,6989074470,151246825,157711,1.0,0.02164,1,1,2020,tab20_puma520_zcta520_natl.txt
75022,48,4802003,02003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,ZCTA5 75022,50624086,301246754,48155964,5254159,0.951246,0.159856,1,1,2020,tab20_puma520_zcta520_natl.txt
75022,48,4802501,02501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",ZCTA5 75022,50624086,189549604,2468122,1790486,0.048754,0.013021,2,0,2020,tab20_puma520_zcta520_natl.txt
75023,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75023,23824659,59257051,20667780,15985,0.867495,0.348782,1,1,2020,tab20_puma520_zcta520_natl.txt
75023,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75023,23824659,70430896,3156879,0,0.132505,0.044822,2,0,2020,tab20_puma520_zcta520_natl.txt
75024,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75024,33548905,70430896,29355069,257082,0.874993,0.416792,1,1,2020,tab20_puma520_zcta520_natl.txt
75024,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75024,33548905,74151190,4193836,41953,0.125007,0.056558,2,0,2020,tab20_puma520_zcta520_natl.txt
75025,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75025,24744024,70430896,15692498,23386,0.634193,0.222807,1,1,2020,tab20_puma520_zcta520_natl.txt
75025,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75025,24744024,59257051,9051526,107559,0.365807,0.15275,2,0,2020,tab20_puma520_zcta520_natl.txt
75028,48,4802003,02003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,ZCTA5 75028,40295948,301246754,37996379,198962,0.942933,0.12613,1,1,2020,tab20_puma520_zcta520_natl.txt
75028,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75028,40295948,98973319,1367353,0,0.033933,0.013815,2,0,2020,tab20_puma520_zcta520_natl.txt
75028,48,4802501,02501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",ZCTA5 75028,40295948,189549604,932216,1083,0.023134,0.004918,3,0,2020,tab20_puma520_zcta520_natl.txt
75032,48,4800900,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",ZCTA5 75032,124641560,2506128078,124641560,21280163,1.0,0.049735,1,1,2020,tab20_puma520_zcta520_natl.txt
75033,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75033,56782769,145404994,31117919,155004,0.548017,0.214009,1,1,2020,tab20_puma520_zcta520_natl.txt
75033,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75033,56782769,330653982,16548705,345895,0.291439,0.050048,2,0,2020,tab20_puma520_zcta520_natl.txt
75033,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75033,56782769,82840744,9116145,27761,0.160544,0.110044,3,0,2020,tab20_puma520_zcta520_natl.txt
75034,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75034,41294400,82840744,23312510,42341,0.564544,0.281414,1,1,2020,tab20_puma520_zcta520_natl.txt
75034,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75034,41294400,145404994,17981890,441511,0.435456,0.123668,2,0,2020,tab20_puma520_zcta520_natl.txt
75035,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75035,64494015,82840744,48120964,194220,0.746131,0.580885,1,1,2020,tab20_puma520_zcta520_natl.txt
75035,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75035,64494015,330653982,16373051,32167,0.253869,0.049517,2,0,2020,tab20_puma520_zcta520_natl.txt
75036,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75036,28071673,145404994,28071673,8750232,1.0,0.193059,1,1,2020,tab20_puma520_zcta520_natl.txt
75038,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75038,19782729,105339361,19782729,104199,1.0,0.1878,1,1,2020,tab20_puma520_zcta520_natl.txt
75039,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75039,14721183,117102039,10322240,587602,0.701183,0.088147,1,1,2020,tab20_puma520_zcta520_natl.txt
75039,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75039,14721183,105339361,4398943,360044,0.298817,0.04176,2,0,2020,tab20_puma520_zcta520_natl.txt
75040,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75040,40655122,104084865,24393025,0,0.599999,0.234357,1,1,2020,tab20_puma520_zcta520_natl.txt
75040,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75040,40655122,64925324,13668934,17014,0.336217,0.210533,2,0,2020,tab20_puma520_zcta520_natl.txt
75040,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75040,40655122,66709534,2593163,0,0.063784,0.038872,3,0,2020,tab20_puma520_zcta520_natl.txt
75041,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75041,20523160,66709534,20493037,4329,0.998532,0.307198,1,1,2020,tab20_puma520_zcta520_natl.txt
75041,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75041,20523160,104084865,30123,0,0.001468,0.000289,2,0,2020,tab20_puma520_zcta520_natl.txt
75042,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75042,19767292,64925324,10106647,0,0.511281,0.155666,1,1,2020,tab20_puma520_zcta520_natl.txt
75042,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75042,19767292,66709534,9660645,2357,0.488719,0.144817,2,0,2020,tab20_puma520_zcta520_natl.txt
75043,48,4802302,02302,Dallas County (Northeast)--Garland City (South) PUMA,ZCTA5 75043,37986932,66709534,25468028,2096462,0.670442,0.381775,1,1,2020,tab20_puma520_zcta520_natl.txt
75043,48,4802303,02303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,ZCTA5 75043,37986932,142247625,10010578,9386665,0.263527,0.070374,2,0,2020,tab20_puma520_zcta520_natl.txt
75043,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75043,37986932,104084865,2508326,1945915,0.066031,0.024099,3,0,2020,tab20_puma520_zcta520_natl.txt
75044,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75044,27340474,64925324,27227586,175910,0.995871,0.419368,1,1,2020,tab20_puma520_zcta520_natl.txt
75044,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75044,27340474,85849521,112888,0,0.004129,0.001315,2,0,2020,tab20_puma520_zcta520_natl.txt
75048,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75048,25204658,104084865,17619191,233990,0.699045,0.169277,1,1,2020,tab20_puma520_zcta520_natl.txt
75048,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75048,25204658,134295530,3482700,9046,0.138177,0.025933,2,0,2020,tab20_puma520_zcta520_natl.txt
75048,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75048,25204658,64925324,2706316,0,0.107374,0.041684,3,0,2020,tab20_puma520_zcta520_natl.txt
75048,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75048,25204658,1287411103,1396451,3001,0.055404,0.001085,4,0,2020,tab20_puma520_zcta520_natl.txt
75050,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75050,66893283,88729091,42355801,321973,0.633185,0.477361,1,1,2020,tab20_puma520_zcta520_natl.txt
75050,48,4802502,02502,Tarrant County (East)--Euless (South & West) & Arlington (North) Cities PUMA,ZCTA5 75050,66893283,98094187,12978315,141549,0.194015,0.132305,2,0,2020,tab20_puma520_zcta520_natl.txt
75050,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75050,66893283,123596032,10402185,189970,0.155504,0.084163,3,0,2020,tab20_puma520_zcta520_natl.txt
75050,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75050,66893283,78571362,1156982,0,0.017296,0.014725,4,0,2020,tab20_puma520_zcta520_natl.txt
75051,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75051,32700206,123596032,28409289,7117960,0.86878,0.229856,1,1,2020,tab20_puma520_zcta520_natl.txt
75051,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75051,32700206,78571362,4263232,0,0.130373,0.054259,2,0,2020,tab20_puma520_zcta520_natl.txt
75051,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75051,32700206,88729091,27685,0,0.000847,0.000312,3,0,2020,tab20_puma520_zcta520_natl.txt
75052,48,4802319,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,ZCTA5 75052,68492014,123596032,34841764,1048100,0.508698,0.2819,1,1,2020,tab20_puma520_zcta520_natl.txt
75052,48,4802504,02504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA,ZCTA5 75052,68492014,70699267,19313464,2454333,0.281981,0.273178,2,0,2020,tab20_puma520_zcta520_natl.txt
75052,48,4802503,02503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,ZCTA5 75052,68492014,78571362,8541857,0,0.124713,0.108715,3,0,2020,tab20_puma520_zcta520_natl.txt
75052,48,4802318,02318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,ZCTA5 75052,68492014,141991935,5794929,10367,0.084607,0.040812,4,0,2020,tab20_puma520_zcta520_natl.txt
75054,48,4802505,02505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA,ZCTA5 75054,15324803,112999517,9984574,4225023,0.65153,0.088359,1,1,2020,tab20_puma520_zcta520_natl.txt
75054,48,4802318,02318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,ZCTA5 75054,15324803,141991935,5340229,10952155,0.34847,0.037609,2,0,2020,tab20_puma520_zcta520_natl.txt
75056,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75056,61201261,145404994,28417013,12385982,0.464321,0.195434,1,1,2020,tab20_puma520_zcta520_natl.txt
75056,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75056,61201261,74151190,18359811,112000,0.299991,0.2476,2,0,2020,tab20_puma520_zcta520_natl.txt
75056,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75056,61201261,98973319,14424437,3685789,0.235689,0.145741,3,0,2020,tab20_puma520_zcta520_natl.txt
75057,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75057,34511803,98973319,34511803,6239802,1.0,0.348698,1,1,2020,tab20_puma520_zcta520_natl.txt
75058,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75058,139444577,6989074470,139444577,1461917,1.0,0.019952,1,1,2020,tab20_puma520_zcta520_natl.txt
75060,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75060,31303125,88729091,26982910,755296,0.861988,0.304104,1,1,2020,tab20_puma520_zcta520_natl.txt
75060,48,4802312,02312,"Dallas (West Central), University Park Cities & Highland Park Town PUMA",ZCTA5 75060,31303125,92004419,4320215,31533,0.138012,0.046957,2,0,2020,tab20_puma520_zcta520_natl.txt
75061,48,4802320,02320,Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA,ZCTA5 75061,30075224,88729091,19362695,26859,0.643809,0.218223,1,1,2020,tab20_puma520_zcta520_natl.txt
75061,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75061,30075224,105339361,6217317,3225,0.206726,0.059022,2,0,2020,tab20_puma520_zcta520_natl.txt
75061,48,4802312,02312,"Dallas (West Central), University Park Cities & Highland Park Town PUMA",ZCTA5 75061,30075224,92004419,4495212,52577,0.149466,0.048859,3,0,2020,tab20_puma520_zcta520_natl.txt
75062,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75062,27432010,105339361,23364767,138099,0.851734,0.221805,1,1,2020,tab20_puma520_zcta520_natl.txt
75062,48,4802312,02312,"Dallas (West Central), University Park Cities & Highland Park Town PUMA",ZCTA5 75062,27432010,92004419,4067243,92463,0.148266,0.044207,2,0,2020,tab20_puma520_zcta520_natl.txt
75063,48,4802321,02321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,ZCTA5 75063,52393276,105339361,28211474,0,0.538456,0.267815,1,1,2020,tab20_puma520_zcta520_natl.txt
75063,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75063,52393276,117102039,24181802,329301,0.461544,0.206502,2,0,2020,tab20_puma520_zcta520_natl.txt
75065,48,4802006,02006,Denton County (North & West)--Denton City (Outer) PUMA,ZCTA5 75065,21419364,1536218064,21419364,20210194,1.0,0.013943,1,1,2020,tab20_puma520_zcta520_natl.txt
75067,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75067,34940227,98973319,33598500,178650,0.961599,0.33947,1,1,2020,tab20_puma520_zcta520_natl.txt
75067,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75067,34940227,117102039,1341727,1891,0.038401,0.011458,2,0,2020,tab20_puma520_zcta520_natl.txt
75068,48,4802004,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",ZCTA5 75068,72173382,145404994,36840278,7187188,0.510441,0.253363,1,1,2020,tab20_puma520_zcta520_natl.txt
75068,48,4802006,02006,Denton County (North & West)--Denton City (Outer) PUMA,ZCTA5 75068,72173382,1536218064,35333104,13130744,0.489559,0.023,2,0,2020,tab20_puma520_zcta520_natl.txt
75069,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75069,87220181,1287411103,48772071,568676,0.559183,0.037884,1,1,2020,tab20_puma520_zcta520_natl.txt
75069,48,4801905,01905,Collin County (Central)--McKinney City PUMA,ZCTA5 75069,87220181,128100320,38448110,203379,0.440817,0.300141,2,0,2020,tab20_puma520_zcta520_natl.txt
75070,48,4801905,01905,Collin County (Central)--McKinney City PUMA,ZCTA5 75070,29222315,128100320,29222315,36624,1.0,0.228121,1,1,2020,tab20_puma520_zcta520_natl.txt
75071,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75071,192028779,1287411103,93125485,941814,0.484956,0.072335,1,1,2020,tab20_puma520_zcta520_natl.txt
75071,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75071,192028779,330653982,62591945,935809,0.325951,0.189297,2,0,2020,tab20_puma520_zcta520_natl.txt
75071,48,4801905,01905,Collin County (Central)--McKinney City PUMA,ZCTA5 75071,192028779,128100320,36311349,381948,0.189093,0.28346,3,0,2020,tab20_puma520_zcta520_natl.txt
75072,48,4801905,01905,Collin County (Central)--McKinney City PUMA,ZCTA5 75072,31232181,128100320,24118546,607219,0.772234,0.188279,1,1,2020,tab20_puma520_zcta520_natl.txt
75072,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75072,31232181,330653982,4822510,0,0.154408,0.014585,2,0,2020,tab20_puma520_zcta520_natl.txt
75072,48,4801909,01909,Collin County (Northwest)--Frisco City (East) PUMA,ZCTA5 75072,31232181,82840744,2291125,0,0.073358,0.027657,3,0,2020,tab20_puma520_zcta520_natl.txt
75074,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75074,41371350,59257051,20235493,38097,0.489119,0.341487,1,1,2020,tab20_puma520_zcta520_natl.txt
75074,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75074,41371350,134295530,11281906,95431,0.272699,0.084008,2,0,2020,tab20_puma520_zcta520_natl.txt
75074,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75074,41371350,85849521,9853951,0,0.238183,0.114782,3,0,2020,tab20_puma520_zcta520_natl.txt
75075,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75075,25123415,85849521,15707516,14757,0.625214,0.182966,1,1,2020,tab20_puma520_zcta520_natl.txt
75075,48,4801903,01903,Collin County (Southwest)--Plano City (Central) PUMA,ZCTA5 75075,25123415,59257051,9302252,1795,0.370262,0.156981,2,0,2020,tab20_puma520_zcta520_natl.txt
75075,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75075,25123415,70430896,113647,0,0.004524,0.001614,3,0,2020,tab20_puma520_zcta520_natl.txt
75076,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75076,130395371,6989074470,130395371,25278506,1.0,0.018657,1,1,2020,tab20_puma520_zcta520_natl.txt
75077,48,4802003,02003,Denton County (South Central)--Flower Mound Town & Highland Village City PUMA,ZCTA5 75077,36507569,301246754,25802806,2424448,0.70678,0.085653,1,1,2020,tab20_puma520_zcta520_natl.txt
75077,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75077,36507569,98973319,10704763,1080730,0.29322,0.108158,2,0,2020,tab20_puma520_zcta520_natl.txt
75078,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75078,81768154,330653982,57331427,555473,0.701146,0.173388,1,1,2020,tab20_puma520_zcta520_natl.txt
75078,48,4802006,02006,Denton County (North & West)--Denton City (Outer) PUMA,ZCTA5 75078,81768154,1536218064,24436727,55691,0.298854,0.015907,2,0,2020,tab20_puma520_zcta520_natl.txt
75080,48,4802309,02309,Dallas (Far North) & Richardson (Southwest) Cities PUMA,ZCTA5 75080,29298195,65423417,20764059,39990,0.708715,0.31738,1,1,2020,tab20_puma520_zcta520_natl.txt
75080,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75080,29298195,85849521,8534136,5534,0.291285,0.099408,2,0,2020,tab20_puma520_zcta520_natl.txt
75081,48,4802309,02309,Dallas (Far North) & Richardson (Southwest) Cities PUMA,ZCTA5 75081,23344715,65423417,15667963,1149,0.671157,0.239486,1,1,2020,tab20_puma520_zcta520_natl.txt
75081,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75081,23344715,64925324,7676752,9595,0.328843,0.11824,2,0,2020,tab20_puma520_zcta520_natl.txt
75082,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75082,21235102,85849521,17958846,168688,0.845715,0.20919,1,1,2020,tab20_puma520_zcta520_natl.txt
75082,48,4802308,02308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,ZCTA5 75082,21235102,64925324,2067810,9297,0.097377,0.031849,2,0,2020,tab20_puma520_zcta520_natl.txt
75082,48,4802309,02309,Dallas (Far North) & Richardson (Southwest) Cities PUMA,ZCTA5 75082,21235102,65423417,1208446,0,0.056908,0.018471,3,0,2020,tab20_puma520_zcta520_natl.txt
75087,48,4800900,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",ZCTA5 75087,76266265,2506128078,71487356,15577213,0.937339,0.028525,1,1,2020,tab20_puma520_zcta520_natl.txt
75087,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75087,76266265,1287411103,4778909,175413,0.062661,0.003712,2,0,2020,tab20_puma520_zcta520_natl.txt
75088,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75088,24024255,104084865,20716741,7266414,0.862326,0.199037,1,1,2020,tab20_puma520_zcta520_natl.txt
75088,48,4800900,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",ZCTA5 75088,24024255,2506128078,3052449,7825984,0.127057,0.001218,2,0,2020,tab20_puma520_zcta520_natl.txt
75088,48,4802303,02303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,ZCTA5 75088,24024255,142247625,255065,0,0.010617,0.001793,3,0,2020,tab20_puma520_zcta520_natl.txt
75089,48,4802301,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,ZCTA5 75089,31343340,104084865,30191137,1121127,0.963239,0.290063,1,1,2020,tab20_puma520_zcta520_natl.txt
75089,48,4800900,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",ZCTA5 75089,31343340,2506128078,1152203,3862281,0.036761,0.00046,2,0,2020,tab20_puma520_zcta520_natl.txt
75090,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75090,203405285,6989074470,203405285,80751,1.0,0.029103,1,1,2020,tab20_puma520_zcta520_natl.txt
75092,48,4800800,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",ZCTA5 75092,295108630,6989074470,295108630,1830155,1.0,0.042224,1,1,2020,tab20_puma520_zcta520_natl.txt
75093,48,4801902,01902,Collin County (Southwest)--Plano City (West) PUMA,ZCTA5 75093,36991116,70430896,22112803,218065,0.597787,0.313965,1,1,2020,tab20_puma520_zcta520_natl.txt
75093,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75093,36991116,85849521,11254331,60863,0.304244,0.131094,2,0,2020,tab20_puma520_zcta520_natl.txt
75093,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75093,36991116,74151190,3623982,34996,0.097969,0.048873,3,0,2020,tab20_puma520_zcta520_natl.txt
75094,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75094,18562811,134295530,17180624,37434,0.92554,0.127931,1,1,2020,tab20_puma520_zcta520_natl.txt
