zip,latitude,longitude,city,state,primary_county_geoid,primary_county_name,centroid_source
77068,30.006280,-95.486940,HOUSTON,TX,48201,Harris,uszips
77069,29.986310,-95.523980,HOUSTON,TX,48201,Harris,uszips
77070,29.977830,-95.573770,HOUSTON,TX,48201,Harris,uszips
77071,29.652650,-95.520460,HOUSTON,TX,48201,Harris,uszips
77072,29.700060,-95.585390,HOUSTON,TX,48201,Harris,uszips
77073,29.998490,-95.398040,HOUSTON,TX,48201,Harris,uszips
77074,29.688210,-95.516330,HOUSTON,TX,48201,Harris,uszips
77075,29.621190,-95.267490,HOUSTON,TX,48201,Harris,uszips
77076,29.860020,-95.383280,HOUSTON,TX,48201,Harris,uszips
77077,29.753750,-95.641890,HOUSTON,TX,48201,Harris,uszips
77078,29.852900,-95.250890,HOUSTON,TX,48201,Harris,uszips
77079,29.776320,-95.603700,HOUSTON,TX,48201,Harris,uszips
77080,29.816620,-95.523750,HOUSTON,TX,48201,Harris,uszips
77081,29.712190,-95.480260,HOUSTON,TX,48201,Harris,uszips
77082,29.723830,-95.641400,HOUSTON,TX,48201,Harris,uszips
77083,29.693160,-95.648580,HOUSTON,TX,48201,Harris,uszips
77084,29.826980,-95.661200,HOUSTON,TX,48201,Harris,uszips
77085,29.624650,-95.484110,HOUSTON,TX,48201,Harris,uszips
77086,29.918600,-95.490640,HOUSTON,TX,48201,Harris,uszips
77087,29.686310,-95.303400,HOUSTON,TX,48201,Harris,uszips
77088,29.881480,-95.453160,HOUSTON,TX,48201,Harris,uszips
77089,29.586980,-95.225700,HOUSTON,TX,48201,Harris,uszips
77090,30.008450,-95.443170,HOUSTON,TX,48201,Harris,uszips
77091,29.853820,-95.439690,HOUSTON,TX,48201,Harris,uszips
77092,29.831530,-95.475210,HOUSTON,TX,48201,Harris,uszips
77093,29.862300,-95.340970,HOUSTON,TX,48201,Harris,uszips
77094,29.773800,-95.699550,HOUSTON,TX,48201,Harris,uszips
77095,29.908340,-95.654920,HOUSTON,TX,48201,Harris,uszips
77096,29.674640,-95.479650,HOUSTON,TX,48201,Harris,uszips
77098,29.734820,-95.415260,HOUSTON,TX,48201,Harris,uszips
77099,29.670670,-95.584850,HOUSTON,TX,48201,Harris,uszips
77204,29.721680,-95.343560,HOUSTON,TX,48201,Harris,uszips
77205,30.011713,-95.317379,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77206,29.831330,-95.405205,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77207,29.669396,-95.269952,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77208,29.762100,-95.365215,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77210,29.761859,-95.365112,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77215,29.723176,-95.543271,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77217,29.670481,-95.250654,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77218,29.787968,-95.666694,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77219,29.756739,-95.403711,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77220,29.770595,-95.303185,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77221,29.704477,-95.335946,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77222,29.872142,-95.419105,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77223,29.730243,-95.310742,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77224,29.776070,-95.552943,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77225,29.690858,-95.421919,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77226,29.794383,-95.345089,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77227,29.738167,-95.438503,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77228,29.865247,-95.246181,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77230,29.694525,-95.383176,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77231,29.649914,-95.472824,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77233,29.652609,-95.362378,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77234,29.627481,-95.213118,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77235,29.649914,-95.472824,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77236,29.709211,-95.502666,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77237,29.734574,-95.498280,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77238,29.872142,-95.419105,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77240,29.872595,-95.537139,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77241,29.872595,-95.537139,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77242,29.731709,-95.561982,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77243,29.815965,-95.513939,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77244,29.741797,-95.611192,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77245,29.613069,-95.432967,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77248,29.808428,-95.426654,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77249,29.803011,-95.377042,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77251,29.762100,-95.365215,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77252,29.762100,-95.365215,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77253,29.762100,-95.365215,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77254,29.734693,-95.414691,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77255,29.806804,-95.487031,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77256,29.738167,-95.438503,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77257,29.734574,-95.498280,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77258,29.546179,-95.082785,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77259,29.575863,-95.131252,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77261,29.730243,-95.310742,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77262,29.719286,-95.274981,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77263,29.733348,-95.517431,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77265,29.726433,-95.438023,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77266,29.732951,-95.399342,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77267,29.952517,-95.445464,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77268,29.987126,-95.487705,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77269,29.961679,-95.556656,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77270,29.808282,-95.426517,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77271,29.660884,-95.532177,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77272,29.683784,-95.576590,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77273,30.023902,-95.450895,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77274,29.709211,-95.502666,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77275,29.615508,-95.245288,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77277,29.726433,-95.438023,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77279,29.776070,-95.552943,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77280,29.815965,-95.513939,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77282,29.741797,-95.611192,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77284,29.846457,-95.643085,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77287,29.670481,-95.250654,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77288,29.726781,-95.378449,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77289,29.575863,-95.131252,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77290,30.023902,-95.450895,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77291,29.872142,-95.419105,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77292,29.824875,-95.437744,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77293,29.876120,-95.319860,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77301,30.308970,-95.432810,CONROE,TX,48339,Montgomery,uszips
77302,30.226260,-95.360140,CONROE,TX,48339,Montgomery,uszips
77303,30.375690,-95.379370,CONROE,TX,48339,Montgomery,uszips
77304,30.330970,-95.515380,CONROE,TX,48339,Montgomery,uszips
77305,30.317959,-95.465096,CONROE,TX,48339,Montgomery,hud_zip_tract_weighted
77306,30.279900,-95.313370,CONROE,TX,48339,Montgomery,uszips
77315,29.925283,-95.323220,NORTH HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77316,30.309740,-95.685280,MONTGOMERY,TX,48339,Montgomery,uszips
77318,30.447090,-95.543640,WILLIS,TX,48339,Montgomery,uszips
77325,30.056098,-95.199799,KINGWOOD,TX,48201,Harris,hud_zip_tract_weighted
77327,30.326200,-94.918260,CLEVELAND,TX,48291,Liberty,uszips
77328,30.407670,-95.188880,CLEVELAND,TX,48339,Montgomery,uszips
77333,30.283866,-95.761828,DOBBIN,TX,48339,Montgomery,hud_zip_tract_weighted
77336,30.068420,-95.103060,HUFFMAN,TX,48201,Harris,uszips
77338,30.008580,-95.283510,HUMBLE,TX,48201,Harris,uszips
77339,30.047880,-95.221390,KINGWOOD,TX,48201,Harris,uszips
77345,30.053920,-95.158840,KINGWOOD,TX,48201,Harris,uszips
77346,29.990270,-95.177770,HUMBLE,TX,48201,Harris,uszips
77347,29.989207,-95.235908,HUMBLE,TX,48201,Harris,hud_zip_tract_weighted
77353,30.185629,-95.760111,MAGNOLIA,TX,48339,Montgomery,hud_zip_tract_weighted
77354,30.211130,-95.650030,MAGNOLIA,TX,48339,Montgomery,uszips
77355,30.157900,-95.750140,MAGNOLIA,TX,48339,Montgomery,uszips
77356,30.448070,-95.703580,MONTGOMERY,TX,48339,Montgomery,uszips
77357,30.156940,-95.181730,NEW CANEY,TX,48339,Montgomery,uszips
77358,30.550610,-95.454190,NEW WAVERLY,TX,48339,Montgomery,uszips
77362,30.160030,-95.672370,PINEHURST,TX,48339,Montgomery,uszips
77363,30.326700,-95.857320,PLANTERSVILLE,TX,48473,Waller,uszips
77365,30.116380,-95.274700,PORTER,TX,48339,Montgomery,uszips
77368,30.451140,-94.840700,ROMAYOR,TX,48291,Liberty,uszips
77369,30.442960,-94.750840,RYE,TX,48291,Liberty,uszips
77371,30.493760,-94.981460,SHEPHERD,TX,48291,Liberty,uszips
77372,30.244720,-95.182810,SPLENDORA,TX,48339,Montgomery,uszips
77373,30.061430,-95.384230,SPRING,TX,48201,Harris,uszips
77375,30.093930,-95.590950,TOMBALL,TX,48201,Harris,uszips
77377,30.061410,-95.676080,TOMBALL,TX,48201,Harris,uszips
77378,30.458730,-95.374540,WILLIS,TX,48339,Montgomery,uszips
77379,30.039660,-95.533050,SPRING,TX,48201,Harris,uszips
77380,30.136500,-95.468630,SPRING,TX,48339,Montgomery,uszips
77381,30.177910,-95.502660,SPRING,TX,48339,Montgomery,uszips
77382,30.199610,-95.545500,SPRING,TX,48339,Montgomery,uszips
77383,30.084909,-95.424932,SPRING,TX,48201,Harris,hud_zip_tract_weighted
77384,30.234530,-95.496750,CONROE,TX,48339,Montgomery,uszips
77385,30.189400,-95.422640,CONROE,TX,48339,Montgomery,uszips
77386,30.101530,-95.356100,SPRING,TX,48339,Montgomery,uszips
77387,30.165327,-95.464535,SPRING,TX,48339,Montgomery,hud_zip_tract_weighted
77388,30.059570,-95.467640,SPRING,TX,48201,Harris,uszips
77389,30.115090,-95.507520,SPRING,TX,48201,Harris,uszips
77391,30.009913,-95.525828,SPRING,TX,48201,Harris,hud_zip_tract_weighted
77393,30.165744,-95.520986,SPRING,TX,48339,Montgomery,hud_zip_tract_weighted
77396,29.947780,-95.261290,HUMBLE,TX,48201,Harris,uszips
77401,29.703980,-95.461920,BELLAIRE,TX,48201,Harris,uszips
77402,29.713242,-95.465430,BELLAIRE,TX,48201,Harris,hud_zip_tract_weighted
77406,29.645710,-95.791840,RICHMOND,TX,48157,Fort Bend,uszips
77407,29.676580,-95.714550,RICHMOND,TX,48157,Fort Bend,uszips
77410,29.971175,-95.670446,CYPRESS,TX,48201,Harris,hud_zip_tract_weighted
77411,29.683784,-95.576590,ALIEF,TX,48201,Harris,hud_zip_tract_weighted
77413,29.844335,-95.804111,BARKER,TX,48201,Harris,hud_zip_tract_weighted
77417,29.466330,-95.962100,BEASLEY,TX,48157,Fort Bend,uszips
77418,29.979220,-96.250630,BELLVILLE,TX,48015,Austin,uszips
77420,29.234040,-95.919080,BOLING,TX,48157,Fort Bend,uszips
77422,28.964920,-95.572680,BRAZORIA,TX,48039,Brazoria,uszips
77423,29.833860,-95.982190,BROOKSHIRE,TX,48473,Waller,uszips
77426,30.116330,-96.247210,CHAPPELL HILL,TX,48015,Austin,uszips
77429,29.990680,-95.658080,CYPRESS,TX,48201,Harris,uszips
77430,29.264870,-95.656160,DAMON,TX,48039,Brazoria,uszips
77431,29.132390,-95.823090,DANCIGER,TX,48039,Brazoria,uszips
77433,29.949200,-95.739790,CYPRESS,TX,48201,Harris,uszips
77435,29.511110,-96.123950,EAST BERNARD,TX,48157,Fort Bend,uszips
77441,29.695500,-95.908960,FULSHEAR,TX,48157,Fort Bend,uszips
77444,29.296410,-95.777940,GUY,TX,48157,Fort Bend,uszips
77445,30.095620,-96.062470,HEMPSTEAD,TX,48473,Waller,uszips
77446,30.087100,-95.989500,PRAIRIE VIEW,TX,48473,Waller,uszips
77447,30.051780,-95.828680,HOCKLEY,TX,48201,Harris,uszips
77449,29.836740,-95.735470,KATY,TX,48201,Harris,uszips
77450,29.747530,-95.736960,KATY,TX,48201,Harris,uszips
77451,29.461730,-96.026880,KENDLETON,TX,48157,Fort Bend,uszips
77452,30.029496,-96.283023,KENNEY,TX,48015,Austin,hud_zip_tract_weighted
77459,29.526910,-95.534070,MISSOURI CITY,TX,48157,Fort Bend,uszips
77461,29.391590,-95.773450,NEEDVILLE,TX,48157,Fort Bend,uszips
77463,29.139274,-95.782334,OLD OCEAN,TX,48039,Brazoria,hud_zip_tract_weighted
77464,29.618070,-95.941480,ORCHARD,TX,48157,Fort Bend,uszips
77466,29.800030,-96.010850,PATTISON,TX,48473,Waller,uszips
77469,29.492290,-95.705710,RICHMOND,TX,48157,Fort Bend,uszips
77471,29.551590,-95.867850,ROSENBERG,TX,48157,Fort Bend,uszips
77473,29.794590,-96.103800,SAN FELIPE,TX,48015,Austin,uszips
77474,29.775830,-96.185180,SEALY,TX,48015,Austin,uszips
77476,29.675510,-95.971050,SIMONTON,TX,48157,Fort Bend,uszips
77477,29.626250,-95.567180,STAFFORD,TX,48157,Fort Bend,uszips
77478,29.618960,-95.607700,SUGAR LAND,TX,48157,Fort Bend,uszips
77479,29.565030,-95.634600,SUGAR LAND,TX,48157,Fort Bend,uszips
77480,29.093880,-95.766920,SWEENY,TX,48039,Brazoria,uszips
77481,29.470530,-95.569750,THOMPSONS,TX,48157,Fort Bend,uszips
77484,30.079240,-95.928120,WALLER,TX,48473,Waller,uszips
77485,29.641180,-96.062360,WALLIS,TX,48015,Austin,uszips
77486,29.154950,-95.680500,WEST COLUMBIA,TX,48039,Brazoria,uszips
77487,29.613612,-95.623268,SUGAR LAND,TX,48157,Fort Bend,hud_zip_tract_weighted
77489,29.600680,-95.516050,MISSOURI CITY,TX,48157,Fort Bend,uszips
77491,29.795392,-95.724528,KATY,TX,48201,Harris,hud_zip_tract_weighted
77492,29.793177,-95.814354,KATY,TX,48201,Harris,hud_zip_tract_weighted
77493,29.851930,-95.830250,KATY,TX,48201,Harris,uszips
77494,29.745660,-95.823020,KATY,TX,48157,Fort Bend,uszips
77496,29.589316,-95.618238,SUGAR LAND,TX,48157,Fort Bend,hud_zip_tract_weighted
77497,29.629829,-95.558373,STAFFORD,TX,48157,Fort Bend,hud_zip_tract_weighted
77498,29.642240,-95.652440,SUGAR LAND,TX,48157,Fort Bend,uszips
77501,29.687169,-95.201120,PASADENA,TX,48201,Harris,hud_zip_tract_weighted
77502,29.679840,-95.199530,PASADENA,TX,48201,Harris,uszips
77503,29.690780,-95.157810,PASADENA,TX,48201,Harris,uszips
77504,29.647660,-95.190070,PASADENA,TX,48201,Harris,uszips
77505,29.648950,-95.142840,PASADENA,TX,48201,Harris,uszips
77506,29.717860,-95.190180,PASADENA,TX,48201,Harris,uszips
77507,29.623320,-95.065820,PASADENA,TX,48201,Harris,uszips
77508,29.656978,-95.142099,PASADENA,TX,48201,Harris,hud_zip_tract_weighted
77510,29.347880,-95.090890,SANTA FE,TX,48167,Galveston,uszips
77511,29.386380,-95.237690,ALVIN,TX,48039,Brazoria,uszips
77512,29.415103,-95.237839,ALVIN,TX,48039,Brazoria,hud_zip_tract_weighted
77514,29.690960,-94.625980,ANAHUAC,TX,48071,Chambers,uszips
77515,29.176040,-95.449550,ANGLETON,TX,48039,Brazoria,uszips
77516,29.175454,-95.422945,ANGLETON,TX,48039,Brazoria,hud_zip_tract_weighted
77517,29.362530,-95.136900,SANTA FE,TX,48167,Galveston,uszips
77518,29.505440,-94.986640,BACLIFF,TX,48167,Galveston,uszips
77520,29.745990,-95.003880,BAYTOWN,TX,48201,Harris,uszips
77521,29.812980,-94.962330,BAYTOWN,TX,48201,Harris,uszips
77522,29.759352,-94.981561,BAYTOWN,TX,48201,Harris,hud_zip_tract_weighted
77523,29.775980,-94.863200,BAYTOWN,TX,48071,Chambers,uszips
77530,29.789480,-95.111590,CHANNELVIEW,TX,48201,Harris,uszips
77531,29.038950,-95.400710,CLUTE,TX,48039,Brazoria,uszips
77532,29.931770,-95.056020,CROSBY,TX,48201,Harris,uszips
77533,30.091390,-94.594880,DAISETTA,TX,48291,Liberty,uszips
77534,29.213350,-95.303870,DANBURY,TX,48039,Brazoria,uszips
77535,30.051290,-94.915690,DAYTON,TX,48291,Liberty,uszips
77536,29.690210,-95.118910,DEER PARK,TX,48201,Harris,uszips
77538,29.992170,-94.539760,DEVERS,TX,48291,Liberty,uszips
77539,29.455780,-95.027230,DICKINSON,TX,48167,Galveston,uszips
77541,29.014960,-95.326670,FREEPORT,TX,48039,Brazoria,uszips
77542,28.968148,-95.363774,FREEPORT,TX,48039,Brazoria,hud_zip_tract_weighted
77545,29.537290,-95.472420,FRESNO,TX,48157,Fort Bend,uszips
77546,29.513200,-95.193520,FRIENDSWOOD,TX,48167,Galveston,uszips
77547,29.740180,-95.238360,GALENA PARK,TX,48201,Harris,uszips
77549,29.514189,-95.182306,FRIENDSWOOD,TX,48167,Galveston,hud_zip_tract_weighted
77550,29.310210,-94.777060,GALVESTON,TX,48167,Galveston,uszips
77551,29.279030,-94.835020,GALVESTON,TX,48167,Galveston,uszips
77552,29.325127,-94.827362,GALVESTON,TX,48167,Galveston,hud_zip_tract_weighted
77553,29.303751,-94.794520,GALVESTON,TX,48167,Galveston,hud_zip_tract_weighted
77554,29.231870,-94.925440,GALVESTON,TX,48167,Galveston,uszips
77555,29.310820,-94.776410,GALVESTON,TX,48167,Galveston,uszips
77560,29.863990,-94.596430,HANKAMER,TX,48071,Chambers,uszips
77561,30.134590,-94.735510,HARDIN,TX,48291,Liberty,uszips
77562,29.829170,-95.054730,HIGHLANDS,TX,48201,Harris,uszips
77563,29.311230,-95.018220,HITCHCOCK,TX,48167,Galveston,uszips
77564,30.218110,-94.659890,HULL,TX,48291,Liberty,uszips
77565,29.539250,-95.032290,KEMAH,TX,48167,Galveston,uszips
77566,29.049710,-95.475110,LAKE JACKSON,TX,48039,Brazoria,uszips
77568,29.366530,-94.987730,LA MARQUE,TX,48167,Galveston,uszips
77571,29.692870,-95.060120,LA PORTE,TX,48201,Harris,uszips
77572,29.637726,-95.060555,LA PORTE,TX,48201,Harris,hud_zip_tract_weighted
77573,29.502130,-95.086360,LEAGUE CITY,TX,48167,Galveston,uszips
77574,29.498714,-95.087457,LEAGUE CITY,TX,48167,Galveston,hud_zip_tract_weighted
77575,30.077380,-94.736660,LIBERTY,TX,48291,Liberty,uszips
77577,29.259660,-95.267310,LIVERPOOL,TX,48039,Brazoria,uszips
77578,29.477940,-95.367570,MANVEL,TX,48039,Brazoria,uszips
77580,29.857060,-94.880810,MONT BELVIEU,TX,48071,Chambers,uszips
77581,29.562400,-95.279820,PEARLAND,TX,48039,Brazoria,uszips
77582,30.013710,-94.654970,RAYWOOD,TX,48291,Liberty,uszips
77583,29.377630,-95.458500,ROSHARON,TX,48039,Brazoria,uszips
77584,29.545770,-95.350130,PEARLAND,TX,48039,Brazoria,uszips
77586,29.582670,-95.033910,SEABROOK,TX,48201,Harris,uszips
77587,29.661170,-95.228650,SOUTH HOUSTON,TX,48201,Harris,uszips
77588,29.554068,-95.272273,PEARLAND,TX,48039,Brazoria,hud_zip_tract_weighted
77590,29.380400,-94.917590,TEXAS CITY,TX,48167,Galveston,uszips
77591,29.399710,-95.000740,TEXAS CITY,TX,48167,Galveston,uszips
77592,29.390119,-94.924060,TEXAS CITY,TX,48167,Galveston,hud_zip_tract_weighted
77597,29.828110,-94.695210,WALLISVILLE,TX,48071,Chambers,uszips
77598,29.537660,-95.137140,WEBSTER,TX,48201,Harris,uszips
77617,29.511280,-94.510520,GILCHRIST,TX,48167,Galveston,uszips
77623,29.559570,-94.416210,HIGH ISLAND,TX,48167,Galveston,uszips
77650,29.429950,-94.680960,PORT BOLIVAR,TX,48167,Galveston,uszips
77661,29.780210,-94.368610,STOWELL,TX,48071,Chambers,uszips
77665,29.786970,-94.409690,WINNIE,TX,48071,Chambers,uszips
77833,30.208420,-96.407970,BRENHAM,TX,48015,Austin,uszips
77835,30.194390,-96.592570,BURTON,TX,48015,Austin,uszips
77868,30.369540,-96.058150,NAVASOTA,TX,48473,Waller,uszips
77873,30.574890,-95.799340,RICHARDS,TX,48339,Montgomery,uszips
78931,30.031170,-96.442910,BLEIBLERVILLE,TX,48015,Austin,uszips
78933,29.772090,-96.338290,CAT SPRING,TX,48015,Austin,uszips
78940,29.931390,-96.667010,FAYETTEVILLE,TX,48015,Austin,uszips
78944,30.004010,-96.489450,INDUSTRY,TX,48015,Austin,uszips
78950,29.907350,-96.485180,NEW ULM,TX,48015,Austin,uszips
78954,30.045070,-96.697740,ROUND TOP,TX,48015,Austin,uszips
