NAME,B11001_001E,B11001_002E,B11001_003E,zip code tabulation area
ZCTA5 01040,15618,9001,4437,01040
ZCTA5 01050,964,694,545,01050
ZCTA5 01053,880,495,268,01053
ZCTA5 01054,712,408,352,01054
ZCTA5 01056,8504,6050,4624,01056
ZCTA5 01057,3265,2235,1738,01057
ZCTA5 01060,7972,3752,2530,01060
ZCTA5 01062,4518,2476,1920,01062
ZCTA5 01063,59,58,5,01063
ZCTA5 01066,38,38,6,01066
ZCTA5 01068,628,428,338,01068
ZCTA5 01069,3963,2069,1290,01069
ZCTA5 01070,227,144,114,01070
ZCTA5 01071,502,310,250,01071
ZCTA5 01072,612,426,320,01072
ZCTA5 01073,2289,1825,1591,01073
ZCTA5 01074,161,78,25,01074
ZCTA5 01075,7210,4337,3444,01075
ZCTA5 01077,3815,2494,2090,01077
ZCTA5 01079,208,126,114,01079
ZCTA5 01080,991,576,441,01080
ZCTA5 01081,699,463,359,01081
ZCTA5 01082,4592,2931,2088,01082
ZCTA5 01083,1094,591,260,01083
ZCTA5 01084,54,13,13,01084
ZCTA5 01085,16112,10294,7710,01085
ZCTA5 01088,325,240,125,01088
ZCTA5 01089,12732,7041,5217,01089
ZCTA5 01092,587,262,262,01092
ZCTA5 01093,126,73,70,01093
ZCTA5 01094,13,13,9,01094
ZCTA5 01095,5302,3849,3243,01095
ZCTA5 01096,1037,770,646,01096
ZCTA5 01097,55,39,30,01097
ZCTA5 01098,475,332,273,01098
ZCTA5 01103,1664,305,98,01103
ZCTA5 01104,9043,5717,2759,01104
ZCTA5 01105,4973,2188,792,01105
ZCTA5 01106,5748,4246,3746,01106
ZCTA5 01107,4171,2552,1189,01107
ZCTA5 01108,10459,6125,2882,01108
ZCTA5 01109,9542,6615,2754,01109
ZCTA5 01118,5563,3938,2493,01118
ZCTA5 01119,5120,3229,1799,01119
ZCTA5 01128,1022,751,509,01128
ZCTA5 01129,2548,1413,1043,01129
ZCTA5 01144,0,0,0,01144
ZCTA5 01151,3601,2282,1049,01151
ZCTA5 01201,20143,11188,7538,01201
ZCTA5 01220,4046,2088,1340,01220
ZCTA5 01222,285,224,197,01222
ZCTA5 01223,1132,683,548,01223
ZCTA5 01224,89,77,22,01224
ZCTA5 01225,1515,932,751,01225
ZCTA5 01226,2907,1739,1379,01226
ZCTA5 01229,106,57,34,01229
ZCTA5 01230,3690,2021,1771,01230
ZCTA5 01235,1115,763,549,01235
ZCTA5 01236,596,411,326,01236
ZCTA5 01237,1029,674,551,01237
ZCTA5 01238,2883,1416,1070,01238
ZCTA5 01240,2450,1390,987,01240
ZCTA5 01242,0,0,0,01242
ZCTA5 01243,76,55,36,01243
ZCTA5 01244,124,106,102,01244
ZCTA5 01245,281,223,180,01245
ZCTA5 01247,6893,3362,2338,01247
ZCTA5 01253,401,258,231,01253
ZCTA5 01254,443,320,285,01254
ZCTA5 01255,358,245,189,01255
ZCTA5 01256,373,206,175,01256
ZCTA5 01257,906,625,426,01257
ZCTA5 01258,78,50,43,01258
ZCTA5 01259,228,192,156,01259
ZCTA5 01260,9,9,9,01260
ZCTA5 01262,693,523,471,01262
ZCTA5 01264,94,62,53,01264
ZCTA5 01266,489,261,226,01266
ZCTA5 01267,3425,1931,1575,01267
ZCTA5 01270,432,333,257,01270
ZCTA5 01301,8271,4404,2870,01301
ZCTA5 01330,855,497,433,01330
ZCTA5 01331,5396,3470,2454,01331
ZCTA5 01337,1101,734,624,01337
ZCTA5 01338,61,31,31,01338
ZCTA5 01339,593,382,320,01339
ZCTA5 01340,794,510,432,01340
ZCTA5 01341,717,510,426,01341
ZCTA5 01342,447,289,226,01342
ZCTA5 01343,75,52,47,01343
ZCTA5 01344,715,483,352,01344
ZCTA5 01346,220,109,68,01346
ZCTA5 01347,97,31,15,01347
ZCTA5 01349,359,163,146,01349
ZCTA5 01350,58,29,23,01350
ZCTA5 01351,1007,568,454,01351
ZCTA5 01354,649,449,368,01354
ZCTA5 01355,383,287,234,01355
ZCTA5 01360,1313,952,640,01360
ZCTA5 01364,3082,1742,1235,01364
ZCTA5 01366,467,335,281,01366
ZCTA5 01367,229,164,129,01367
ZCTA5 01368,520,398,337,01368
ZCTA5 01370,1736,1025,810,01370
ZCTA5 01373,2342,1368,1096,01373
ZCTA5 01375,1695,809,645,01375
ZCTA5 01376,2340,1296,927,01376
ZCTA5 01378,362,241,211,01378
ZCTA5 01379,334,183,128,01379
ZCTA5 01380,17,0,0,01380
ZCTA5 01420,16709,9854,5444,01420
ZCTA5 01430,2331,1872,1434,01430
ZCTA5 01431,1261,869,784,01431
ZCTA5 01432,3567,1885,1387,01432
ZCTA5 01434,260,140,140,01434
ZCTA5 01436,1327,934,632,01436
ZCTA5 01438,121,78,55,01438
ZCTA5 01440,9007,5326,3423,01440
ZCTA5 01450,3697,2878,2525,01450
ZCTA5 01451,1900,1442,1341,01451
ZCTA5 01452,1686,1234,978,01452
ZCTA5 01453,18425,11285,7948,01453
ZCTA5 01460,3804,2916,2380,01460
ZCTA5 01462,4752,3475,2789,01462
ZCTA5 01463,4342,3127,2491,01463
ZCTA5 01464,2277,1522,1222,01464
ZCTA5 01468,1732,1275,942,01468
ZCTA5 01469,2583,1928,1514,01469
ZCTA5 01473,3295,2538,2289,01473
ZCTA5 01474,756,585,554,01474
ZCTA5 01475,3760,2720,2062,01475
ZCTA5 01501,6788,4458,3199,01501
ZCTA5 01503,1447,893,694,01503
ZCTA5 01504,3904,2443,1828,01504
ZCTA5 01505,1966,1474,1234,01505
ZCTA5 01506,1504,893,788,01506
ZCTA5 01507,5007,3741,2898,01507
ZCTA5 01510,6758,3555,2558,01510
ZCTA5 01515,918,689,505,01515
ZCTA5 01516,3350,2643,2292,01516
ZCTA5 01518,1196,728,516,01518
ZCTA5 01519,2815,2291,1991,01519
ZCTA5 01520,5978,4712,3749,01520
ZCTA5 01521,1187,752,598,01521
ZCTA5 01522,1180,842,763,01522
ZCTA5 01523,2960,2117,1806,01523
ZCTA5 01524,2225,1660,1308,01524
ZCTA5 01525,0,0,0,01525
ZCTA5 01527,5572,3951,3050,01527
ZCTA5 01529,1188,963,835,01529
ZCTA5 01531,382,289,217,01531
ZCTA5 01532,5929,4348,3860,01532
ZCTA5 01534,2446,1889,1524,01534
ZCTA5 01535,1869,1249,905,01535
ZCTA5 01536,2874,1799,1501,01536
ZCTA5 01537,877,563,405,01537
ZCTA5 01540,4039,2891,2204,01540
ZCTA5 01541,1330,1044,931,01541
ZCTA5 01542,1082,782,561,01542
ZCTA5 01543,3185,2452,2082,01543
ZCTA5 01545,14708,10452,8582,01545
ZCTA5 01550,7260,4628,2399,01550
ZCTA5 01560,1967,1349,1124,01560
ZCTA5 01561,0,0,0,01561
ZCTA5 01562,5201,3265,2546,01562
ZCTA5 01564,3282,2302,1898,01564
ZCTA5 01566,2876,2311,1991,01566
ZCTA5 01568,2924,2255,1833,01568
ZCTA5 01569,5477,3794,3024,01569
ZCTA5 01570,7677,4367,2700,01570
ZCTA5 01571,4375,2851,2031,01571
ZCTA5 01581,7964,5673,4974,01581
ZCTA5 01583,2924,1847,1571,01583
ZCTA5 01585,2170,1327,1190,01585
ZCTA5 01588,4279,2671,1806,01588
ZCTA5 01590,3396,2645,2140,01590
ZCTA5 01602,10303,6663,4742,01602
ZCTA5 01603,8010,4640,2405,01603
ZCTA5 01604,16853,9526,5733,01604
ZCTA5 01605,11722,7126,3403,01605
ZCTA5 01606,9192,5162,3907,01606
ZCTA5 01607,3549,2301,1371,01607
ZCTA5 01608,2336,685,172,01608
ZCTA5 01609,7891,3452,2487,01609
ZCTA5 01610,9744,5674,2609,01610
ZCTA5 01611,812,719,572,01611
ZCTA5 01612,1720,1318,991,01612
ZCTA5 01701,12522,9146,7495,01701
ZCTA5 01702,14289,8959,5915,01702
ZCTA5 01718,236,105,105,01718
ZCTA5 01719,2279,1487,1267,01719
ZCTA5 01720,9098,6486,5612,01720
ZCTA5 01721,7643,5357,4344,01721
ZCTA5 01730,5869,4160,3500,01730
ZCTA5 01731,680,534,420,01731
ZCTA5 01740,1976,1714,1640,01740
ZCTA5 01741,1776,1500,1400,01741
ZCTA5 01742,6665,4693,4105,01742
ZCTA5 01745,217,154,116,01745
ZCTA5 01746,5684,4377,3560,01746
ZCTA5 01747,2194,1597,1329,01747
ZCTA5 01748,6660,5395,4816,01748
ZCTA5 01749,8362,5368,4318,01749
ZCTA5 01752,16665,10491,7729,01752
ZCTA5 01754,4821,2999,2498,01754
ZCTA5 01756,2118,1792,1473,01756
ZCTA5 01757,11313,7809,5732,01757
ZCTA5 01760,15249,10049,8534,01760
ZCTA5 01770,1532,1280,1248,01770
ZCTA5 01772,3560,2804,2464,01772
ZCTA5 01773,2030,1409,1248,01773
ZCTA5 01775,2773,2192,1796,01775
ZCTA5 01776,6279,5364,4742,01776
ZCTA5 01778,5110,4033,3581,01778
ZCTA5 01801,16432,10747,7926,01801
ZCTA5 01803,9974,7299,6079,01803
ZCTA5 01810,13298,10147,8680,01810
ZCTA5 01821,11312,8177,6407,01821
ZCTA5 01824,9877,7206,6057,01824
ZCTA5 01826,12270,8617,6335,01826
ZCTA5 01827,1117,997,854,01827
ZCTA5 01830,10650,6226,4317,01830
ZCTA5 01832,10327,6836,4476,01832
ZCTA5 01833,3206,2336,2092,01833
ZCTA5 01834,2639,1950,1716,01834
ZCTA5 01835,5568,3876,2595,01835
ZCTA5 01840,3608,1789,608,01840
ZCTA5 01841,17027,12416,5123,01841
ZCTA5 01843,10507,6777,3097,01843
ZCTA5 01844,18673,13566,9515,01844
ZCTA5 01845,11546,7629,6069,01845
ZCTA5 01850,6089,4270,2051,01850
ZCTA5 01851,11421,7426,4850,01851
ZCTA5 01852,15071,8743,5350,01852
ZCTA5 01854,10602,5455,3076,01854
ZCTA5 01860,2815,1872,1381,01860
ZCTA5 01862,4364,3120,2161,01862
ZCTA5 01863,3573,2430,1814,01863
ZCTA5 01864,5825,4309,3507,01864
ZCTA5 01867,9740,6974,5928,01867
ZCTA5 01876,11535,7990,6656,01876
ZCTA5 01879,4232,3283,2598,01879
ZCTA5 01880,11270,7224,6058,01880
ZCTA5 01886,8795,7188,6161,01886
ZCTA5 01887,7926,6411,5460,01887
ZCTA5 01890,8340,6275,5413,01890
ZCTA5 01901,1502,395,155,01901
ZCTA5 01902,18657,11764,6387,01902
ZCTA5 01904,7169,5179,3638,01904
ZCTA5 01905,9086,6401,3579,01905
ZCTA5 01906,10958,7526,5990,01906
ZCTA5 01907,6155,4350,3639,01907
ZCTA5 01908,1589,934,802,01908
ZCTA5 01913,7586,4564,3353,01913
ZCTA5 01915,16652,9837,7535,01915
ZCTA5 01921,2783,2299,2112,01921
ZCTA5 01922,1295,981,857,01922
ZCTA5 01923,11005,7420,5866,01923
ZCTA5 01929,1337,949,799,01929
ZCTA5 01930,13444,7798,5930,01930
ZCTA5 01937,0,0,0,01937
ZCTA5 01938,5709,3801,3244,01938
ZCTA5 01940,4650,3657,3167,01940
ZCTA5 01944,2156,1621,1267,01944
ZCTA5 01945,8334,5845,5272,01945
ZCTA5 01949,3172,2310,2073,01949
ZCTA5 01950,8107,4915,4206,01950
ZCTA5 01951,1479,1081,1028,01951
ZCTA5 01952,4148,2409,1915,01952
ZCTA5 01960,22242,13965,10183,01960
ZCTA5 01965,328,294,294,01965
ZCTA5 01966,3238,2151,1733,01966
ZCTA5 01969,2447,1932,1471,01969
ZCTA5 01970,20222,10441,6794,01970
ZCTA5 01982,2666,2293,1993,01982
ZCTA5 01983,2186,1829,1646,01983
ZCTA5 01984,1279,1018,846,01984
ZCTA5 01985,1684,1415,1288,01985
ZCTA5 02019,6346,4431,3301,02019
ZCTA5 02021,9630,6792,5398,02021
ZCTA5 02025,3037,2250,2013,02025
ZCTA5 02026,10530,6574,4730,02026
ZCTA5 02030,1917,1696,1560,02030
ZCTA5 02032,1600,1217,1111,02032
ZCTA5 02035,7134,5037,3799,02035
ZCTA5 02038,12370,9088,7483,02038
ZCTA5 02043,9689,6516,6045,02043
ZCTA5 02045,4709,2693,2268,02045
ZCTA5 02047,76,64,42,02047
ZCTA5 02048,9146,6554,4997,02048
ZCTA5 02050,10446,7471,5836,02050
ZCTA5 02052,4680,3680,3244,02052
ZCTA5 02053,4744,3563,3159,02053
ZCTA5 02054,3309,2467,2109,02054
ZCTA5 02056,3453,2793,2660,02056
ZCTA5 02061,3685,3127,2676,02061
ZCTA5 02062,13259,8447,6277,02062
ZCTA5 02066,7599,5180,4382,02066
ZCTA5 02067,6375,5391,4828,02067
ZCTA5 02071,582,547,544,02071
ZCTA5 02072,11302,7832,5775,02072
ZCTA5 02081,7208,5211,4307,02081
ZCTA5 02090,5592,4401,3889,02090
ZCTA5 02093,4339,3386,2723,02093
ZCTA5 02108,1973,543,355,02108
ZCTA5 02109,2085,605,564,02109
ZCTA5 02110,1322,670,569,02110
ZCTA5 02111,3711,1670,1263,02111
ZCTA5 02113,4112,444,330,02113
ZCTA5 02114,8396,2625,2330,02114
ZCTA5 02115,9873,2191,1334,02115
ZCTA5 02116,11513,3625,3014,02116
ZCTA5 02118,14497,5362,3712,02118
ZCTA5 02119,11920,5627,2403,02119
ZCTA5 02120,4625,1774,759,02120
ZCTA5 02121,10760,7177,2628,02121
ZCTA5 02122,9299,5336,3037,02122
ZCTA5 02124,20287,14193,6511,02124
ZCTA5 02125,14246,6852,3531,02125
ZCTA5 02126,9284,6412,2457,02126
ZCTA5 02127,18066,6675,4661,02127
ZCTA5 02128,17736,8231,5195,02128
ZCTA5 02129,9606,4647,3239,02129
ZCTA5 02130,18237,8075,6143,02130
ZCTA5 02131,12694,7738,5062,02131
ZCTA5 02132,11107,6955,5543,02132
ZCTA5 02133,13,13,13,02133
ZCTA5 02134,8217,2304,1533,02134
ZCTA5 02135,21143,6603,4531,02135
ZCTA5 02136,13719,9247,4563,02136
ZCTA5 02138,14169,5853,4937,02138
ZCTA5 02139,16012,6343,4593,02139
ZCTA5 02140,9944,4351,3527,02140
ZCTA5 02141,7270,2435,1661,02141
ZCTA5 02142,2153,809,602,02142
ZCTA5 02143,12283,3994,3144,02143
ZCTA5 02144,11357,4030,3424,02144
ZCTA5 02145,11940,5269,4005,02145
ZCTA5 02148,26042,16055,11675,02148
ZCTA5 02149,17466,11819,7276,02149
ZCTA5 02150,13716,8030,4621,02150
ZCTA5 02151,22178,13527,8650,02151
ZCTA5 02152,7899,4459,3142,02152
ZCTA5 02155,24370,13461,9940,02155
ZCTA5 02163,410,199,199,02163
ZCTA5 02169,28707,14758,10951,02169
ZCTA5 02170,7665,4051,2999,02170
ZCTA5 02171,8886,4687,3186,02171
ZCTA5 02176,12401,7929,6454,02176
ZCTA5 02180,9749,6176,4925,02180
ZCTA5 02184,14432,9760,7536,02184
ZCTA5 02186,9121,7046,5739,02186
ZCTA5 02188,7127,4132,3276,02188
ZCTA5 02189,6392,3589,2601,02189
ZCTA5 02190,8598,5008,4104,02190
ZCTA5 02191,3642,2143,1692,02191
ZCTA5 02199,775,298,190,02199
ZCTA5 02203,0,0,0,02203
ZCTA5 02205,0,0,0,02205
ZCTA5 02210,4588,1305,1203,02210
ZCTA5 02215,8016,1361,1096,02215
ZCTA5 02301,23726,16465,8472,02301
ZCTA5 02302,12316,9640,5745,02302
ZCTA5 02322,1717,1102,678,02322
ZCTA5 02324,9107,6863,5246,02324
ZCTA5 02325,6,6,6,02325
ZCTA5 02330,4704,3245,2637,02330
ZCTA5 02332,6130,4641,4077,02332
ZCTA5 02333,5168,4155,3021,02333
ZCTA5 02338,2955,2102,1687,02338
ZCTA5 02339,5015,3778,3272,02339
ZCTA5 02341,3812,2655,2187,02341
ZCTA5 02343,4367,2970,2071,02343
ZCTA5 02346,9860,6653,4978,02346
ZCTA5 02347,4215,3215,2644,02347
ZCTA5 02350,36,36,36,02350
ZCTA5 02351,6388,4102,3062,02351
ZCTA5 02356,4715,3443,2916,02356
ZCTA5 02357,0,0,0,02357
ZCTA5 02359,6900,4871,4271,02359
ZCTA5 02360,26563,17501,14457,02360
ZCTA5 02364,5687,3697,3239,02364
ZCTA5 02366,0,0,0,02366
ZCTA5 02367,1065,888,754,02367
ZCTA5 02368,12764,8896,5374,02368
ZCTA5 02370,6897,4709,3625,02370
ZCTA5 02375,4607,3089,2076,02375
ZCTA5 02379,2947,2121,1752,02379
ZCTA5 02382,5742,4113,2984,02382
ZCTA5 02420,5653,4653,4269,02420
ZCTA5 02421,6824,5282,4610,02421
ZCTA5 02445,9818,4760,3936,02445
ZCTA5 02446,14622,6562,5589,02446
ZCTA5 02451,7481,4370,3310,02451
ZCTA5 02452,5362,2854,2154,02452
ZCTA5 02453,12610,6192,4854,02453
ZCTA5 02457,0,0,0,02457
ZCTA5 02458,5149,3276,2698,02458
ZCTA5 02459,6483,5132,4705,02459
ZCTA5 02460,3957,2619,2275,02460
ZCTA5 02461,2630,2054,1731,02461
ZCTA5 02462,515,347,301,02462
ZCTA5 02464,1496,949,849,02464
ZCTA5 02465,4412,3132,2632,02465
ZCTA5 02466,3043,1949,1777,02466
ZCTA5 02467,6852,4243,3648,02467
ZCTA5 02468,1948,1746,1460,02468
ZCTA5 02472,16399,8810,6649,02472
ZCTA5 02474,12182,7482,6234,02474
ZCTA5 02476,7823,4623,3937,02476
ZCTA5 02478,10412,7691,6485,02478
ZCTA5 02481,5111,4135,3771,02481
ZCTA5 02482,4063,2878,2590,02482
ZCTA5 02492,7303,5987,5381,02492
ZCTA5 02493,3776,2944,2688,02493
ZCTA5 02494,4283,3100,2748,02494
ZCTA5 02532,6135,3746,2852,02532
ZCTA5 02534,575,459,459,02534
ZCTA5 02535,818,611,487,02535
ZCTA5 02536,9100,5736,4585,02536
ZCTA5 02537,2534,1865,1646,02537
ZCTA5 02538,1548,1195,885,02538
ZCTA5 02539,1786,1151,957,02539
ZCTA5 02540,4161,2141,1736,02540
ZCTA5 02542,264,228,210,02542
ZCTA5 02543,441,199,185,02543
ZCTA5 02553,30,0,0,02553
ZCTA5 02554,5127,3785,2995,02554
ZCTA5 02556,1196,775,747,02556
ZCTA5 02557,769,364,364,02557
ZCTA5 02558,891,529,438,02558
ZCTA5 02559,1394,805,569,02559
ZCTA5 02561,249,153,153,02561
ZCTA5 02562,1384,1036,781,02562
ZCTA5 02563,4442,3090,2645,02563
ZCTA5 02564,109,88,88,02564
ZCTA5 02568,3159,1904,1516,02568
ZCTA5 02571,5214,3175,2135,02571
ZCTA5 02575,1034,800,620,02575
ZCTA5 02576,1627,1260,680,02576
ZCTA5 02584,16,0,0,02584
ZCTA5 02601,7562,4218,2459,02601
ZCTA5 02630,876,701,587,02630
ZCTA5 02631,4549,2992,2630,02631
ZCTA5 02632,4814,3660,3186,02632
ZCTA5 02633,2259,1453,1180,02633
ZCTA5 02635,1707,836,675,02635
ZCTA5 02637,150,76,76,02637
ZCTA5 02638,1440,1010,785,02638
ZCTA5 02639,1917,955,743,02639
ZCTA5 02641,166,125,79,02641
ZCTA5 02642,3041,1654,1336,02642
ZCTA5 02643,0,0,0,02643
ZCTA5 02644,1462,953,793,02644
ZCTA5 02645,5169,3077,2489,02645
ZCTA5 02646,957,532,371,02646
ZCTA5 02647,91,64,64,02647
ZCTA5 02648,3091,2217,1927,02648
ZCTA5 02649,7135,4321,3301,02649
ZCTA5 02650,494,314,220,02650
ZCTA5 02652,563,223,223,02652
ZCTA5 02653,3158,1915,1480,02653
ZCTA5 02655,1788,1249,1011,02655
ZCTA5 02657,2067,859,512,02657
ZCTA5 02659,587,256,243,02659
ZCTA5 02660,3032,1930,1515,02660
ZCTA5 02663,222,148,132,02663
ZCTA5 02664,4774,2751,1871,02664
ZCTA5 02666,446,226,147,02666
ZCTA5 02667,1847,1039,894,02667
ZCTA5 02668,1070,803,662,02668
ZCTA5 02670,724,346,317,02670
ZCTA5 02671,415,258,218,02671
ZCTA5 02672,0,0,0,02672
ZCTA5 02673,4038,2184,1629,02673
ZCTA5 02675,3398,2285,1924,02675
ZCTA5 02702,1576,1218,1066,02702
ZCTA5 02703,17891,12053,8057,02703
ZCTA5 02713,10,5,5,02713
ZCTA5 02715,1467,1108,980,02715
ZCTA5 02717,1687,1345,875,02717
ZCTA5 02718,2460,1906,1564,02718
ZCTA5 02719,7134,4148,2929,02719
ZCTA5 02720,14278,7378,4164,02720
ZCTA5 02721,11498,6932,3578,02721
ZCTA5 02723,7584,4368,2278,02723
ZCTA5 02724,8283,4540,2521,02724
ZCTA5 02725,862,661,606,02725
ZCTA5 02726,6585,4513,3482,02726
ZCTA5 02738,2105,1375,1037,02738
ZCTA5 02739,2963,1926,1647,02739
ZCTA5 02740,19696,11063,5646,02740
ZCTA5 02743,4127,2835,2183,02743
ZCTA5 02744,5274,3139,1747,02744
ZCTA5 02745,10264,6054,3982,02745
ZCTA5 02746,7054,3815,1619,02746
ZCTA5 02747,7473,5244,4261,02747
ZCTA5 02748,4897,3256,2553,02748
ZCTA5 02760,12230,7765,6010,02760
