NAME,B25003_001E,B25003_002E,B25003_003E,zip code tabulation area
ZCTA5 00754,14006,10018,3988,00754
ZCTA5 00757,7516,5850,1666,00757
ZCTA5 00765,3125,2086,1039,00765
ZCTA5 00766,7467,5818,1649,00766
ZCTA5 00767,12366,8796,3570,00767
ZCTA5 00769,13645,10384,3261,00769
ZCTA5 00771,13016,9598,3418,00771
ZCTA5 00772,6739,4307,2432,00772
ZCTA5 00773,6966,4803,2163,00773
ZCTA5 00775,524,353,171,00775
ZCTA5 00777,14720,10416,4304,00777
ZCTA5 00778,15836,12239,3597,00778
ZCTA5 00780,4789,3998,791,00780
ZCTA5 00782,5879,3812,2067,00782
ZCTA5 00783,11438,8586,2852,00783
ZCTA5 00784,15603,10602,5001,00784
ZCTA5 00786,79,79,0,00786
ZCTA5 00791,18577,13739,4838,00791
ZCTA5 00794,9874,6546,3328,00794
ZCTA5 00795,15582,12106,3476,00795
ZCTA5 00901,3111,1475,1636,00901
ZCTA5 00906,41,25,16,00906
ZCTA5 00907,8730,5610,3120,00907
ZCTA5 00909,2947,1201,1746,00909
ZCTA5 00911,3990,1996,1994,00911
ZCTA5 00912,2872,1553,1319,00912
ZCTA5 00913,3329,551,2778,00913
ZCTA5 00915,11125,4531,6594,00915
ZCTA5 00917,8252,3756,4496,00917
ZCTA5 00918,8255,4009,4246,00918
ZCTA5 00920,7184,3780,3404,00920
ZCTA5 00921,14422,6543,7879,00921
ZCTA5 00923,11026,5104,5922,00923
ZCTA5 00924,21364,10856,10508,00924
ZCTA5 00925,2608,574,2034,00925
ZCTA5 00926,39310,27459,11851,00926
ZCTA5 00927,6569,3485,3084,00927
ZCTA5 00934,12,0,12,00934
ZCTA5 00949,26989,19164,7825,00949
ZCTA5 00950,0,0,0,00950
ZCTA5 00951,193,36,157,00951
ZCTA5 00952,3417,2143,1274,00952
ZCTA5 00953,24005,19373,4632,00953
ZCTA5 00956,26979,19105,7874,00956
ZCTA5 00957,16545,11774,4771,00957
ZCTA5 00959,19761,13139,6622,00959
ZCTA5 00960,0,0,0,00960
ZCTA5 00961,11855,8656,3199,00961
ZCTA5 00962,7975,4354,3621,00962
ZCTA5 00965,2138,1249,889,00965
ZCTA5 00966,7582,5527,2055,00966
ZCTA5 00968,2005,1555,450,00968
ZCTA5 00969,17031,12268,4763,00969
ZCTA5 00971,10071,7307,2764,00971
ZCTA5 00976,24648,18294,6354,00976
ZCTA5 00979,8002,5310,2692,00979
ZCTA5 00982,6150,3653,2497,00982
ZCTA5 00983,13587,8805,4782,00983
ZCTA5 00985,12877,8368,4509,00985
ZCTA5 00987,22170,16581,5589,00987
ZCTA5 01001,6920,5108,1812,01001
ZCTA5 01002,10320,4845,5475,01002
ZCTA5 01003,44,0,44,01003
ZCTA5 01005,1863,1495,368,01005
ZCTA5 01007,6140,5336,804,01007
ZCTA5 01008,579,562,17,01008
ZCTA5 01009,364,216,148,01009
ZCTA5 01010,1410,1234,176,01010
ZCTA5 01011,461,372,89,01011
ZCTA5 01012,146,120,26,01012
ZCTA5 01013,9734,4793,4941,01013
ZCTA5 01020,13767,8038,5729,01020
ZCTA5 01022,923,780,143,01022
ZCTA5 01026,461,404,57,01026
ZCTA5 01027,8284,5052,3232,01027
ZCTA5 01028,5923,5124,799,01028
ZCTA5 01029,247,229,18,01029
ZCTA5 01030,5059,3806,1253,01030
ZCTA5 01031,664,357,307,01031
ZCTA5 01032,240,217,23,01032
ZCTA5 01033,2321,2203,118,01033
ZCTA5 01034,971,907,64,01034
ZCTA5 01035,2282,1675,607,01035
ZCTA5 01036,1945,1845,100,01036
ZCTA5 01037,290,259,31,01037
ZCTA5 01038,1079,838,241,01038
ZCTA5 01039,648,547,101,01039
ZCTA5 01040,15618,6446,9172,01040
ZCTA5 01050,964,831,133,01050
ZCTA5 01053,880,681,199,01053
ZCTA5 01054,712,621,91,01054
ZCTA5 01056,8504,6593,1911,01056
ZCTA5 01057,3265,2699,566,01057
ZCTA5 01060,7972,3612,4360,01060
ZCTA5 01062,4518,3380,1138,01062
ZCTA5 01063,59,0,59,01063
ZCTA5 01066,38,38,0,01066
ZCTA5 01068,628,575,53,01068
ZCTA5 01069,3963,2943,1020,01069
ZCTA5 01070,227,222,5,01070
ZCTA5 01071,502,446,56,01071
ZCTA5 01072,612,552,60,01072
ZCTA5 01073,2289,2075,214,01073
ZCTA5 01074,161,40,121,01074
ZCTA5 01075,7210,5552,1658,01075
ZCTA5 01077,3815,3183,632,01077
ZCTA5 01079,208,161,47,01079
ZCTA5 01080,991,639,352,01080
ZCTA5 01081,699,619,80,01081
ZCTA5 01082,4592,3339,1253,01082
ZCTA5 01083,1094,676,418,01083
ZCTA5 01084,54,51,3,01084
ZCTA5 01085,16112,11143,4969,01085
ZCTA5 01088,325,198,127,01088
ZCTA5 01089,12732,7447,5285,01089
ZCTA5 01092,587,361,226,01092
ZCTA5 01093,126,113,13,01093
ZCTA5 01094,13,13,0,01094
ZCTA5 01095,5302,4713,589,01095
ZCTA5 01096,1037,911,126,01096
ZCTA5 01097,55,25,30,01097
ZCTA5 01098,475,444,31,01098
ZCTA5 01103,1664,142,1522,01103
ZCTA5 01104,9043,4323,4720,01104
ZCTA5 01105,4973,751,4222,01105
ZCTA5 01106,5748,5122,626,01106
ZCTA5 01107,4171,1191,2980,01107
ZCTA5 01108,10459,4715,5744,01108
ZCTA5 01109,9542,4544,4998,01109
ZCTA5 01118,5563,4457,1106,01118
ZCTA5 01119,5120,3916,1204,01119
ZCTA5 01128,1022,962,60,01128
ZCTA5 01129,2548,2000,548,01129
ZCTA5 01144,0,0,0,01144
ZCTA5 01151,3601,1681,1920,01151
ZCTA5 01201,20143,12794,7349,01201
ZCTA5 01220,4046,2512,1534,01220
ZCTA5 01222,285,285,0,01222
ZCTA5 01223,1132,1097,35,01223
ZCTA5 01224,89,78,11,01224
ZCTA5 01225,1515,1349,166,01225
ZCTA5 01226,2907,2054,853,01226
ZCTA5 01229,106,94,12,01229
ZCTA5 01230,3690,2682,1008,01230
ZCTA5 01235,1115,932,183,01235
ZCTA5 01236,596,479,117,01236
ZCTA5 01237,1029,981,48,01237
ZCTA5 01238,2883,2066,817,01238
ZCTA5 01240,2450,1757,693,01240
ZCTA5 01242,0,0,0,01242
ZCTA5 01243,76,74,2,01243
ZCTA5 01244,124,124,0,01244
ZCTA5 01245,281,247,34,01245
ZCTA5 01247,6893,3855,3038,01247
ZCTA5 01253,401,347,54,01253
ZCTA5 01254,443,428,15,01254
ZCTA5 01255,358,345,13,01255
ZCTA5 01256,373,359,14,01256
ZCTA5 01257,906,710,196,01257
ZCTA5 01258,78,68,10,01258
ZCTA5 01259,228,206,22,01259
ZCTA5 01260,9,9,0,01260
ZCTA5 01262,693,570,123,01262
ZCTA5 01264,94,78,16,01264
ZCTA5 01266,489,447,42,01266
ZCTA5 01267,3425,2555,870,01267
ZCTA5 01270,432,415,17,01270
ZCTA5 01301,8271,4638,3633,01301
ZCTA5 01330,855,729,126,01330
ZCTA5 01331,5396,4041,1355,01331
ZCTA5 01337,1101,889,212,01337
ZCTA5 01338,61,56,5,01338
ZCTA5 01339,593,514,79,01339
ZCTA5 01340,794,683,111,01340
ZCTA5 01341,717,668,49,01341
ZCTA5 01342,447,314,133,01342
ZCTA5 01343,75,61,14,01343
ZCTA5 01344,715,583,132,01344
ZCTA5 01346,220,209,11,01346
ZCTA5 01347,97,43,54,01347
ZCTA5 01349,359,288,71,01349
ZCTA5 01350,58,44,14,01350
ZCTA5 01351,1007,761,246,01351
ZCTA5 01354,649,534,115,01354
ZCTA5 01355,383,340,43,01355
ZCTA5 01360,1313,1118,195,01360
ZCTA5 01364,3082,2168,914,01364
ZCTA5 01366,467,440,27,01366
ZCTA5 01367,229,200,29,01367
ZCTA5 01368,520,501,19,01368
ZCTA5 01370,1736,1214,522,01370
ZCTA5 01373,2342,1901,441,01373
ZCTA5 01375,1695,712,983,01375
ZCTA5 01376,2340,1290,1050,01376
ZCTA5 01378,362,322,40,01378
ZCTA5 01379,334,293,41,01379
ZCTA5 01380,17,17,0,01380
ZCTA5 01420,16709,9057,7652,01420
ZCTA5 01430,2331,2227,104,01430
ZCTA5 01431,1261,1204,57,01431
ZCTA5 01432,3567,2479,1088,01432
ZCTA5 01434,260,173,87,01434
ZCTA5 01436,1327,1015,312,01436
ZCTA5 01438,121,62,59,01438
ZCTA5 01440,9007,5321,3686,01440
ZCTA5 01450,3697,3289,408,01450
ZCTA5 01451,1900,1728,172,01451
ZCTA5 01452,1686,1576,110,01452
ZCTA5 01453,18425,11454,6971,01453
ZCTA5 01460,3804,3182,622,01460
ZCTA5 01462,4752,3836,916,01462
ZCTA5 01463,4342,3655,687,01463
ZCTA5 01464,2277,1762,515,01464
ZCTA5 01468,1732,1630,102,01468
ZCTA5 01469,2583,2132,451,01469
ZCTA5 01473,3295,2887,408,01473
ZCTA5 01474,756,607,149,01474
ZCTA5 01475,3760,2894,866,01475
ZCTA5 01501,6788,5397,1391,01501
ZCTA5 01503,1447,1118,329,01503
ZCTA5 01504,3904,2856,1048,01504
ZCTA5 01505,1966,1557,409,01505
ZCTA5 01506,1504,1316,188,01506
ZCTA5 01507,5007,4251,756,01507
ZCTA5 01510,6758,3699,3059,01510
ZCTA5 01515,918,765,153,01515
ZCTA5 01516,3350,2830,520,01516
ZCTA5 01518,1196,862,334,01518
ZCTA5 01519,2815,2186,629,01519
ZCTA5 01520,5978,5157,821,01520
ZCTA5 01521,1187,1128,59,01521
ZCTA5 01522,1180,948,232,01522
ZCTA5 01523,2960,2520,440,01523
ZCTA5 01524,2225,2055,170,01524
ZCTA5 01525,0,0,0,01525
ZCTA5 01527,5572,4202,1370,01527
ZCTA5 01529,1188,1032,156,01529
ZCTA5 01531,382,343,39,01531
ZCTA5 01532,5929,4929,1000,01532
ZCTA5 01534,2446,1995,451,01534
ZCTA5 01535,1869,1295,574,01535
ZCTA5 01536,2874,2209,665,01536
ZCTA5 01537,877,681,196,01537
ZCTA5 01540,4039,3387,652,01540
ZCTA5 01541,1330,1254,76,01541
ZCTA5 01542,1082,917,165,01542
ZCTA5 01543,3185,2847,338,01543
ZCTA5 01545,14708,10623,4085,01545
ZCTA5 01550,7260,3098,4162,01550
ZCTA5 01560,1967,1213,754,01560
ZCTA5 01561,0,0,0,01561
ZCTA5 01562,5201,3275,1926,01562
ZCTA5 01564,3282,2834,448,01564
ZCTA5 01566,2876,2654,222,01566
ZCTA5 01568,2924,2525,399,01568
ZCTA5 01569,5477,4352,1125,01569
ZCTA5 01570,7677,4592,3085,01570
ZCTA5 01571,4375,3196,1179,01571
ZCTA5 01581,7964,4924,3040,01581
ZCTA5 01583,2924,2304,620,01583
ZCTA5 01585,2170,1719,451,01585
ZCTA5 01588,4279,2733,1546,01588
ZCTA5 01590,3396,3058,338,01590
ZCTA5 01602,10303,6068,4235,01602
ZCTA5 01603,8010,3965,4045,01603
ZCTA5 01604,16853,7440,9413,01604
ZCTA5 01605,11722,3553,8169,01605
ZCTA5 01606,9192,6235,2957,01606
ZCTA5 01607,3549,1614,1935,01607
ZCTA5 01608,2336,139,2197,01608
ZCTA5 01609,7891,3165,4726,01609
ZCTA5 01610,9744,1868,7876,01610
ZCTA5 01611,812,674,138,01611
ZCTA5 01612,1720,1579,141,01612
ZCTA5 01701,12522,9752,2770,01701
ZCTA5 01702,14289,4936,9353,01702
ZCTA5 01718,236,222,14,01718
ZCTA5 01719,2279,1673,606,01719
ZCTA5 01720,9098,6753,2345,01720
ZCTA5 01721,7643,5753,1890,01721
ZCTA5 01730,5869,4039,1830,01730
ZCTA5 01731,680,0,680,01731
ZCTA5 01740,1976,1872,104,01740
ZCTA5 01741,1776,1663,113,01741
ZCTA5 01742,6665,5066,1599,01742
ZCTA5 01745,217,217,0,01745
ZCTA5 01746,5684,4970,714,01746
ZCTA5 01747,2194,1745,449,01747
ZCTA5 01748,6660,5771,889,01748
ZCTA5 01749,8362,6117,2245,01749
ZCTA5 01752,16665,9336,7329,01752
ZCTA5 01754,4821,3616,1205,01754
ZCTA5 01756,2118,1840,278,01756
ZCTA5 01757,11313,7407,3906,01757
ZCTA5 01760,15249,10387,4862,01760
ZCTA5 01770,1532,1366,166,01770
ZCTA5 01772,3560,3113,447,01772
ZCTA5 01773,2030,1561,469,01773
ZCTA5 01775,2773,2367,406,01775
ZCTA5 01776,6279,5663,616,01776
ZCTA5 01778,5110,4465,645,01778
ZCTA5 01801,16432,9146,7286,01801
ZCTA5 01803,9974,7402,2572,01803
ZCTA5 01810,13298,10622,2676,01810
ZCTA5 01821,11312,9298,2014,01821
ZCTA5 01824,9877,8126,1751,01824
ZCTA5 01826,12270,9791,2479,01826
ZCTA5 01827,1117,1078,39,01827
ZCTA5 01830,10650,6155,4495,01830
ZCTA5 01832,10327,6310,4017,01832
ZCTA5 01833,3206,2689,517,01833
ZCTA5 01834,2639,2384,255,01834
ZCTA5 01835,5568,4201,1367,01835
ZCTA5 01840,3608,89,3519,01840
ZCTA5 01841,17027,5302,11725,01841
ZCTA5 01843,10507,3347,7160,01843
ZCTA5 01844,18673,13504,5169,01844
ZCTA5 01845,11546,8058,3488,01845
ZCTA5 01850,6089,2999,3090,01850
ZCTA5 01851,11421,4990,6431,01851
ZCTA5 01852,15071,6676,8395,01852
ZCTA5 01854,10602,4004,6598,01854
ZCTA5 01860,2815,2288,527,01860
ZCTA5 01862,4364,3126,1238,01862
ZCTA5 01863,3573,2923,650,01863
ZCTA5 01864,5825,4912,913,01864
ZCTA5 01867,9740,8028,1712,01867
ZCTA5 01876,11535,9774,1761,01876
ZCTA5 01879,4232,3648,584,01879
ZCTA5 01880,11270,7968,3302,01880
ZCTA5 01886,8795,7557,1238,01886
ZCTA5 01887,7926,6979,947,01887
ZCTA5 01890,8340,6811,1529,01890
ZCTA5 01901,1502,32,1470,01901
ZCTA5 01902,18657,6883,11774,01902
ZCTA5 01904,7169,5906,1263,01904
ZCTA5 01905,9086,4701,4385,01905
ZCTA5 01906,10958,7836,3122,01906
ZCTA5 01907,6155,4669,1486,01907
ZCTA5 01908,1589,1253,336,01908
ZCTA5 01913,7586,5204,2382,01913
ZCTA5 01915,16652,9891,6761,01915
ZCTA5 01921,2783,2643,140,01921
ZCTA5 01922,1295,1028,267,01922
ZCTA5 01923,11005,7619,3386,01923
ZCTA5 01929,1337,997,340,01929
ZCTA5 01930,13444,8597,4847,01930
ZCTA5 01937,0,0,0,01937
ZCTA5 01938,5709,4246,1463,01938
ZCTA5 01940,4650,4080,570,01940
ZCTA5 01944,2156,1610,546,01944
ZCTA5 01945,8334,7106,1228,01945
ZCTA5 01949,3172,2942,230,01949
ZCTA5 01950,8107,6279,1828,01950
ZCTA5 01951,1479,1352,127,01951
ZCTA5 01952,4148,2952,1196,01952
ZCTA5 01960,22242,14540,7702,01960
ZCTA5 01965,328,321,7,01965
ZCTA5 01966,3238,2212,1026,01966
ZCTA5 01969,2447,1998,449,01969
ZCTA5 01970,20222,10028,10194,01970
ZCTA5 01982,2666,2261,405,01982
ZCTA5 01983,2186,1976,210,01983
ZCTA5 01984,1279,1096,183,01984
ZCTA5 01985,1684,1613,71,01985
ZCTA5 02019,6346,5006,1340,02019
ZCTA5 02021,9630,7091,2539,02021
ZCTA5 02025,3037,2522,515,02025
ZCTA5 02026,10530,7729,2801,02026
ZCTA5 02030,1917,1877,40,02030
ZCTA5 02032,1600,1314,286,02032
ZCTA5 02035,7134,5259,1875,02035
ZCTA5 02038,12370,9671,2699,02038
ZCTA5 02043,9689,7816,1873,02043
ZCTA5 02045,4709,3749,960,02045
ZCTA5 02047,76,76,0,02047
ZCTA5 02048,9146,6682,2464,02048
ZCTA5 02050,10446,8450,1996,02050
ZCTA5 02052,4680,4028,652,02052
ZCTA5 02053,4744,4073,671,02053
ZCTA5 02054,3309,2754,555,02054
ZCTA5 02056,3453,3277,176,02056
ZCTA5 02061,3685,3375,310,02061
ZCTA5 02062,13259,7155,6104,02062
ZCTA5 02066,7599,6656,943,02066
ZCTA5 02067,6375,5587,788,02067
ZCTA5 02071,582,557,25,02071
ZCTA5 02072,11302,8370,2932,02072
ZCTA5 02081,7208,5976,1232,02081
ZCTA5 02090,5592,4882,710,02090
ZCTA5 02093,4339,3559,780,02093
ZCTA5 02108,1973,999,974,02108
ZCTA5 02109,2085,661,1424,02109
ZCTA5 02110,1322,920,402,02110
ZCTA5 02111,3711,974,2737,02111
ZCTA5 02113,4112,642,3470,02113
ZCTA5 02114,8396,1858,6538,02114
ZCTA5 02115,9873,1439,8434,02115
ZCTA5 02116,11513,4035,7478,02116
ZCTA5 02118,14497,4713,9784,02118
ZCTA5 02119,11920,3164,8756,02119
ZCTA5 02120,4625,425,4200,02120
ZCTA5 02121,10760,2492,8268,02121
ZCTA5 02122,9299,4167,5132,02122
ZCTA5 02124,20287,8397,11890,02124
ZCTA5 02125,14246,4965,9281,02125
ZCTA5 02126,9284,4034,5250,02126
ZCTA5 02127,18066,8180,9886,02127
ZCTA5 02128,17736,5143,12593,02128
ZCTA5 02129,9606,4854,4752,02129
ZCTA5 02130,18237,8109,10128,02130
ZCTA5 02131,12694,7529,5165,02131
ZCTA5 02132,11107,7791,3316,02132
ZCTA5 02133,13,13,0,02133
ZCTA5 02134,8217,1053,7164,02134
ZCTA5 02135,21143,4924,16219,02135
ZCTA5 02136,13719,7295,6424,02136
ZCTA5 02138,14169,5937,8232,02138
ZCTA5 02139,16012,5150,10862,02139
ZCTA5 02140,9944,3471,6473,02140
ZCTA5 02141,7270,1854,5416,02141
ZCTA5 02142,2153,148,2005,02142
ZCTA5 02143,12283,3809,8474,02143
ZCTA5 02144,11357,4161,7196,02144
ZCTA5 02145,11940,4249,7691,02145
ZCTA5 02148,26042,10744,15298,02148
ZCTA5 02149,17466,6499,10967,02149
ZCTA5 02150,13716,3568,10148,02150
ZCTA5 02151,22178,10103,12075,02151
ZCTA5 02152,7899,4498,3401,02152
ZCTA5 02155,24370,13159,11211,02155
ZCTA5 02163,410,0,410,02163
ZCTA5 02169,28707,11783,16924,02169
ZCTA5 02170,7665,4075,3590,02170
ZCTA5 02171,8886,4633,4253,02171
ZCTA5 02176,12401,8328,4073,02176
ZCTA5 02180,9749,6923,2826,02180
ZCTA5 02184,14432,11199,3233,02184
ZCTA5 02186,9121,7746,1375,02186
ZCTA5 02188,7127,4204,2923,02188
ZCTA5 02189,6392,4198,2194,02189
ZCTA5 02190,8598,5877,2721,02190
ZCTA5 02191,3642,3092,550,02191
ZCTA5 02199,775,6,769,02199
ZCTA5 02203,0,0,0,02203
ZCTA5 02205,0,0,0,02205
ZCTA5 02210,4588,1137,3451,02210
ZCTA5 02215,8016,710,7306,02215
ZCTA5 02301,23726,11904,11822,02301
ZCTA5 02302,12316,8773,3543,02302
ZCTA5 02322,1717,1299,418,02322
ZCTA5 02324,9107,6889,2218,02324
ZCTA5 02325,6,0,6,02325
ZCTA5 02330,4704,4171,533,02330
ZCTA5 02332,6130,5592,538,02332
ZCTA5 02333,5168,4292,876,02333
ZCTA5 02338,2955,2823,132,02338
ZCTA5 02339,5015,4236,779,02339
ZCTA5 02341,3812,3388,424,02341
ZCTA5 02343,4367,3664,703,02343
ZCTA5 02346,9860,7579,2281,02346
ZCTA5 02347,4215,3519,696,02347
ZCTA5 02350,36,36,0,02350
ZCTA5 02351,6388,4641,1747,02351
ZCTA5 02356,4715,3713,1002,02356
ZCTA5 02357,0,0,0,02357
ZCTA5 02359,6900,6216,684,02359
ZCTA5 02360,26563,20988,5575,02360
ZCTA5 02364,5687,4618,1069,02364
ZCTA5 02366,0,0,0,02366
ZCTA5 02367,1065,991,74,02367
ZCTA5 02368,12764,9101,3663,02368
ZCTA5 02370,6897,5274,1623,02370
ZCTA5 02375,4607,3892,715,02375
ZCTA5 02379,2947,2420,527,02379
ZCTA5 02382,5742,4101,1641,02382
ZCTA5 02420,5653,4862,791,02420
ZCTA5 02421,6824,5180,1644,02421
ZCTA5 02445,9818,5111,4707,02445
ZCTA5 02446,14622,5523,9099,02446
ZCTA5 02451,7481,4439,3042,02451
ZCTA5 02452,5362,2742,2620,02452
ZCTA5 02453,12610,5472,7138,02453
ZCTA5 02457,0,0,0,02457
ZCTA5 02458,5149,3177,1972,02458
ZCTA5 02459,6483,5359,1124,02459
ZCTA5 02460,3957,2161,1796,02460
ZCTA5 02461,2630,2003,627,02461
ZCTA5 02462,515,374,141,02462
ZCTA5 02464,1496,906,590,02464
ZCTA5 02465,4412,3085,1327,02465
ZCTA5 02466,3043,1778,1265,02466
ZCTA5 02467,6852,4639,2213,02467
ZCTA5 02468,1948,1878,70,02468
ZCTA5 02472,16399,7814,8585,02472
ZCTA5 02474,12182,7451,4731,02474
ZCTA5 02476,7823,4874,2949,02476
ZCTA5 02478,10412,6739,3673,02478
ZCTA5 02481,5111,4463,648,02481
ZCTA5 02482,4063,3279,784,02482
ZCTA5 02492,7303,6539,764,02492
ZCTA5 02493,3776,3304,472,02493
ZCTA5 02494,4283,3093,1190,02494
ZCTA5 02532,6135,4804,1331,02532
ZCTA5 02534,575,473,102,02534
ZCTA5 02535,818,707,111,02535
ZCTA5 02536,9100,8068,1032,02536
ZCTA5 02537,2534,2285,249,02537
ZCTA5 02538,1548,1272,276,02538
ZCTA5 02539,1786,1554,232,02539
ZCTA5 02540,4161,2708,1453,02540
ZCTA5 02542,264,0,264,02542
ZCTA5 02543,441,351,90,02543
ZCTA5 02553,30,30,0,02553
ZCTA5 02554,5127,3652,1475,02554
ZCTA5 02556,1196,1027,169,02556
ZCTA5 02557,769,530,239,02557
ZCTA5 02558,891,776,115,02558
ZCTA5 02559,1394,1112,282,02559
ZCTA5 02561,249,146,103,02561
ZCTA5 02562,1384,1226,158,02562
ZCTA5 02563,4442,3949,493,02563
ZCTA5 02564,109,102,7,02564
ZCTA5 02568,3159,2479,680,02568
ZCTA5 02571,5214,4222,992,02571
ZCTA5 02575,1034,947,87,02575
ZCTA5 02576,1627,1386,241,02576
ZCTA5 02584,16,16,0,02584
ZCTA5 02601,7562,3948,3614,02601
ZCTA5 02630,876,843,33,02630
ZCTA5 02631,4549,3844,705,02631
ZCTA5 02632,4814,3917,897,02632
ZCTA5 02633,2259,1900,359,02633
ZCTA5 02635,1707,1508,199,02635
ZCTA5 02637,150,150,0,02637
ZCTA5 02638,1440,1254,186,02638
ZCTA5 02639,1917,1346,571,02639
ZCTA5 02641,166,166,0,02641
ZCTA5 02642,3041,2672,369,02642
ZCTA5 02643,0,0,0,02643
ZCTA5 02644,1462,1295,167,02644
ZCTA5 02645,5169,4361,808,02645
ZCTA5 02646,957,792,165,02646
ZCTA5 02647,91,72,19,02647
ZCTA5 02648,3091,3014,77,02648
ZCTA5 02649,7135,5846,1289,02649
ZCTA5 02650,494,448,46,02650
ZCTA5 02652,563,440,123,02652
ZCTA5 02653,3158,2557,601,02653
ZCTA5 02655,1788,1659,129,02655
ZCTA5 02657,2067,1577,490,02657
ZCTA5 02659,587,504,83,02659
ZCTA5 02660,3032,2374,658,02660
ZCTA5 02663,222,222,0,02663
ZCTA5 02664,4774,3712,1062,02664
ZCTA5 02666,446,410,36,02666
ZCTA5 02667,1847,1546,301,02667
ZCTA5 02668,1070,869,201,02668
ZCTA5 02670,724,600,124,02670
ZCTA5 02671,415,415,0,02671
ZCTA5 02672,0,0,0,02672
ZCTA5 02673,4038,3237,801,02673
ZCTA5 02675,3398,3117,281,02675
ZCTA5 02702,1576,1455,121,02702
ZCTA5 02703,17891,11833,6058,02703
ZCTA5 02713,10,8,2,02713
ZCTA5 02715,1467,1376,91,02715
ZCTA5 02717,1687,1354,333,02717
ZCTA5 02718,2460,2177,283,02718
ZCTA5 02719,7134,5307,1827,02719
ZCTA5 02720,14278,5360,8918,02720
ZCTA5 02721,11498,3938,7560,02721
ZCTA5 02723,7584,2409,5175,02723
ZCTA5 02724,8283,2769,5514,02724
ZCTA5 02725,862,852,10,02725
ZCTA5 02726,6585,5623,962,02726
ZCTA5 02738,2105,1911,194,02738
ZCTA5 02739,2963,2528,435,02739
ZCTA5 02740,19696,7797,11899,02740
ZCTA5 02743,4127,3512,615,02743
ZCTA5 02744,5274,1813,3461,02744
ZCTA5 02745,10264,6224,4040,02745
ZCTA5 02746,7054,1223,5831,02746
ZCTA5 02747,7473,5800,1673,02747
ZCTA5 02748,4897,3637,1260,02748
ZCTA5 02760,12230,8880,3350,02760
ZCTA5 02762,4196,2955,1241,02762
ZCTA5 02763,754,479,275,02763
ZCTA5 02764,1477,1276,201,02764
ZCTA5 02766,6650,5572,1078,02766
