zcta,zcta_name,state_fips,total_households,income_low_pct,income_medium_pct,income_high_pct,income_very_high_pct,owner_pct,renter_pct,married_household_pct,partial_high_school_pct,high_school_pct,partial_college_pct,bachelors_pct,graduate_degree_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_64_pct,age_65_plus_pct,source_year,source_dataset
75022,ZCTA5 75022,48,9046,0.123591,0.155207,0.142604,0.578598,0.847004,0.152996,0.754588,0.030945,0.105385,0.172711,0.431777,0.259182,0.109916,0.082939,0.1545,0.486512,0.166135,2024,acs/acs5
75023,ZCTA5 75023,48,18919,0.182832,0.263122,0.226228,0.327819,0.640679,0.359321,0.567155,0.060258,0.128778,0.245122,0.361691,0.204151,0.110398,0.190317,0.184774,0.311827,0.202684,2024,acs/acs5
75024,ZCTA5 75024,48,19217,0.135557,0.269345,0.232242,0.362856,0.375865,0.624135,0.52235,0.022794,0.090008,0.164586,0.40651,0.316103,0.096561,0.203376,0.217649,0.349796,0.132618,2024,acs/acs5
75025,ZCTA5 75025,48,18896,0.155853,0.18713,0.183319,0.473698,0.662362,0.337638,0.658182,0.037634,0.122564,0.159623,0.368103,0.312076,0.097475,0.119955,0.213601,0.4046,0.164369,2024,acs/acs5
75028,ZCTA5 75028,48,18107,0.093168,0.218534,0.189816,0.498481,0.802673,0.197327,0.678633,0.023841,0.111053,0.231474,0.418864,0.214768,0.07889,0.1102,0.195929,0.43957,0.175411,2024,acs/acs5
75032,ZCTA5 75032,48,13250,0.134868,0.231019,0.18966,0.444453,0.797057,0.202943,0.69683,0.047378,0.192441,0.264345,0.317046,0.17879,0.106601,0.119849,0.204403,0.377926,0.191222,2024,acs/acs5
75033,ZCTA5 75033,48,16924,0.0907,0.171886,0.165091,0.572323,0.696348,0.303652,0.721638,0.032222,0.101345,0.213769,0.435048,0.217616,0.097717,0.148006,0.235422,0.422387,0.096468,2024,acs/acs5
75034,ZCTA5 75034,48,23190,0.151703,0.302415,0.185468,0.360414,0.38633,0.61367,0.469685,0.03176,0.104565,0.211821,0.372288,0.279566,0.133556,0.21513,0.211399,0.319699,0.120216,2024,acs/acs5
75035,ZCTA5 75035,48,28872,0.100859,0.146509,0.189492,0.563141,0.767283,0.232717,0.721633,0.037263,0.080915,0.191238,0.382317,0.308268,0.104047,0.114849,0.267669,0.406668,0.106767,2024,acs/acs5
75036,ZCTA5 75036,48,11940,0.105779,0.200503,0.18727,0.506449,0.876968,0.123032,0.725628,0.029388,0.143495,0.182878,0.357249,0.28699,0.055741,0.107907,0.252841,0.334886,0.248625,2024,acs/acs5
75038,ZCTA5 75038,48,14151,0.303159,0.378772,0.154406,0.163663,0.195958,0.804042,0.419546,0.064321,0.17342,0.292694,0.261542,0.208023,0.107171,0.320474,0.236433,0.230791,0.10513,2024,acs/acs5
75039,ZCTA5 75039,48,12394,0.13095,0.334113,0.23471,0.300226,0.156285,0.843715,0.368807,0.02332,0.064891,0.156092,0.419286,0.336411,0.067758,0.406646,0.249291,0.209243,0.067061,2024,acs/acs5
75040,ZCTA5 75040,48,20958,0.288339,0.365254,0.197777,0.148631,0.667669,0.332331,0.529297,0.22296,0.265871,0.268157,0.158999,0.084012,0.126508,0.195503,0.168712,0.3368,0.172477,2024,acs/acs5
75041,ZCTA5 75041,48,10005,0.350025,0.363118,0.186707,0.10015,0.588306,0.411694,0.491554,0.321894,0.286899,0.247627,0.104725,0.038855,0.172322,0.19248,0.174609,0.319995,0.140594,2024,acs/acs5
75042,ZCTA5 75042,48,11445,0.386894,0.318305,0.181302,0.113499,0.584797,0.415203,0.475579,0.295075,0.303726,0.234946,0.109336,0.056916,0.142647,0.169304,0.204186,0.332293,0.15157,2024,acs/acs5
75043,ZCTA5 75043,48,22343,0.295216,0.342389,0.198228,0.164168,0.62185,0.37815,0.511614,0.170484,0.268659,0.321944,0.159479,0.079434,0.114871,0.201977,0.156728,0.350879,0.175544,2024,acs/acs5
75044,ZCTA5 75044,48,16952,0.223926,0.319018,0.201569,0.255486,0.588898,0.411102,0.56365,0.12642,0.199608,0.257168,0.280298,0.136507,0.129128,0.210595,0.171176,0.30071,0.188391,2024,acs/acs5
75048,ZCTA5 75048,48,10847,0.12243,0.222919,0.218494,0.436157,0.831474,0.168526,0.633447,0.056542,0.206086,0.252421,0.308821,0.17613,0.104193,0.149953,0.199498,0.392405,0.153951,2024,acs/acs5
75050,ZCTA5 75050,48,16625,0.320541,0.324752,0.234226,0.120481,0.426827,0.573173,0.434466,0.212306,0.283951,0.265273,0.162272,0.076197,0.128877,0.256785,0.181391,0.271675,0.161272,2024,acs/acs5
75051,ZCTA5 75051,48,13383,0.418292,0.349922,0.136666,0.095121,0.507659,0.492341,0.438616,0.32171,0.298503,0.225091,0.115013,0.039684,0.167578,0.186692,0.173621,0.315396,0.156714,2024,acs/acs5
75052,ZCTA5 75052,48,32672,0.22579,0.32964,0.228973,0.215597,0.646333,0.353667,0.537341,0.13364,0.23994,0.293002,0.238033,0.095385,0.119404,0.188696,0.201581,0.342264,0.148055,2024,acs/acs5
75054,ZCTA5 75054,48,5525,0.072217,0.183529,0.186063,0.55819,0.884163,0.115837,0.684525,0.038775,0.103646,0.24616,0.366926,0.244494,0.098674,0.124531,0.215114,0.43982,0.121862,2024,acs/acs5
75056,ZCTA5 75056,48,28020,0.152677,0.245931,0.226517,0.374875,0.593612,0.406388,0.540828,0.043911,0.149717,0.267811,0.365479,0.173082,0.091557,0.23047,0.191932,0.361087,0.124955,2024,acs/acs5
75057,ZCTA5 75057,48,7060,0.267847,0.345042,0.239235,0.147875,0.356516,0.643484,0.33272,0.144067,0.254425,0.296519,0.215042,0.089947,0.112723,0.286015,0.19997,0.276396,0.124897,2024,acs/acs5
75058,ZCTA5 75058,48,1136,0.216549,0.176056,0.197183,0.410211,0.808979,0.191021,0.683099,0.133247,0.153514,0.229409,0.332902,0.150927,0.139198,0.141054,0.175947,0.406459,0.137342,2024,acs/acs5
75060,ZCTA5 75060,48,14796,0.323195,0.34631,0.171668,0.158827,0.648554,0.351446,0.562517,0.362118,0.254864,0.195928,0.132791,0.054299,0.14075,0.172913,0.193902,0.33341,0.159025,2024,acs/acs5
75061,ZCTA5 75061,48,18799,0.388372,0.329273,0.15804,0.124315,0.410288,0.589712,0.432629,0.325946,0.283625,0.207311,0.128289,0.05483,0.160643,0.199723,0.203873,0.3098,0.12596,2024,acs/acs5
75062,ZCTA5 75062,48,17564,0.287292,0.365691,0.171715,0.175302,0.454168,0.545832,0.479674,0.233507,0.203995,0.210749,0.250536,0.101213,0.164947,0.256495,0.174543,0.277531,0.126483,2024,acs/acs5
75063,ZCTA5 75063,48,17708,0.163768,0.218715,0.245708,0.371809,0.376948,0.623052,0.572114,0.034066,0.070191,0.145057,0.386982,0.363705,0.080807,0.253208,0.280103,0.296331,0.089551,2024,acs/acs5
75065,ZCTA5 75065,48,5158,0.255913,0.22024,0.267739,0.256107,0.738077,0.261923,0.585886,0.105385,0.20782,0.300664,0.284645,0.101486,0.144596,0.157036,0.171369,0.357162,0.169837,2024,acs/acs5
75067,ZCTA5 75067,48,27473,0.291887,0.338514,0.186911,0.182688,0.397554,0.602446,0.404324,0.1235,0.23745,0.302254,0.240848,0.095948,0.103955,0.247283,0.212111,0.307605,0.129047,2024,acs/acs5
75068,ZCTA5 75068,48,23423,0.109081,0.230329,0.273705,0.386885,0.801947,0.198053,0.654997,0.073455,0.190561,0.279023,0.29802,0.158941,0.088432,0.188313,0.285865,0.323193,0.114196,2024,acs/acs5
75069,ZCTA5 75069,48,15717,0.309028,0.275371,0.166889,0.248712,0.523955,0.476045,0.456321,0.114977,0.228748,0.287516,0.261202,0.107558,0.129347,0.17154,0.164476,0.312884,0.221752,2024,acs/acs5
75070,ZCTA5 75070,48,24463,0.181008,0.256428,0.186486,0.376078,0.526918,0.473082,0.554225,0.028495,0.12005,0.252093,0.370416,0.228946,0.127584,0.191889,0.245522,0.318427,0.116577,2024,acs/acs5
75071,ZCTA5 75071,48,24208,0.161599,0.219762,0.187128,0.43151,0.743308,0.256692,0.660897,0.047762,0.155943,0.276183,0.320951,0.199162,0.092769,0.162795,0.238385,0.362477,0.143574,2024,acs/acs5
75072,ZCTA5 75072,48,18052,0.113616,0.138489,0.190284,0.557611,0.826335,0.173665,0.743186,0.01819,0.1123,0.235831,0.390833,0.242846,0.090281,0.118255,0.236158,0.3865,0.168807,2024,acs/acs5
75074,ZCTA5 75074,48,18982,0.260299,0.306712,0.178906,0.254083,0.534822,0.465178,0.476135,0.127772,0.171453,0.258363,0.278033,0.164379,0.151056,0.195794,0.194861,0.324553,0.133735,2024,acs/acs5
75075,ZCTA5 75075,48,15534,0.204712,0.305137,0.17555,0.3146,0.610532,0.389468,0.519892,0.069515,0.131744,0.267219,0.327742,0.203781,0.093667,0.190008,0.174032,0.286124,0.256168,2024,acs/acs5
75076,ZCTA5 75076,48,3270,0.293884,0.33792,0.169419,0.198777,0.817737,0.182263,0.532722,0.075787,0.35269,0.375164,0.130249,0.066109,0.074962,0.11305,0.129135,0.389074,0.293778,2024,acs/acs5
75077,ZCTA5 75077,48,15147,0.145309,0.235492,0.20783,0.411369,0.776854,0.223146,0.66528,0.034078,0.151266,0.315181,0.350446,0.149029,0.110484,0.135881,0.192315,0.362641,0.198679,2024,acs/acs5
75078,ZCTA5 75078,48,15691,0.074947,0.112867,0.17048,0.641705,0.895736,0.104264,0.81996,0.019474,0.111367,0.20243,0.399323,0.267405,0.083075,0.139182,0.29103,0.366065,0.120649,2024,acs/acs5
75080,ZCTA5 75080,48,18842,0.264144,0.261915,0.170258,0.303683,0.545537,0.454463,0.433022,0.056271,0.133297,0.223745,0.35548,0.231206,0.236781,0.199601,0.154391,0.253376,0.155851,2024,acs/acs5
75081,ZCTA5 75081,48,14019,0.235038,0.305728,0.214067,0.245167,0.505956,0.494044,0.487553,0.111698,0.142931,0.296581,0.278744,0.170046,0.121645,0.233806,0.184347,0.276732,0.183469,2024,acs/acs5
75082,ZCTA5 75082,48,12957,0.176198,0.267114,0.214556,0.342132,0.453346,0.546654,0.475264,0.032555,0.091264,0.191745,0.366237,0.318198,0.126274,0.259928,0.146824,0.317452,0.149522,2024,acs/acs5
75087,ZCTA5 75087,48,14951,0.145609,0.231289,0.207946,0.415156,0.812454,0.187546,0.685305,0.036093,0.167164,0.304062,0.317601,0.175081,0.098062,0.157171,0.2092,0.33929,0.196278,2024,acs/acs5
75088,ZCTA5 75088,48,10929,0.185653,0.283466,0.218684,0.312197,0.737762,0.262238,0.599231,0.058775,0.266023,0.302458,0.255877,0.116867,0.087746,0.209353,0.167082,0.329002,0.206817,2024,acs/acs5
75089,ZCTA5 75089,48,12036,0.179212,0.232386,0.229229,0.359172,0.758724,0.241276,0.66218,0.073895,0.206581,0.333148,0.277352,0.109024,0.125468,0.142943,0.181747,0.39646,0.153383,2024,acs/acs5
75090,ZCTA5 75090,48,9231,0.439172,0.305926,0.152313,0.102589,0.571986,0.428014,0.439172,0.167024,0.36349,0.329289,0.10088,0.039317,0.143294,0.198227,0.168875,0.304882,0.184723,2024,acs/acs5
75092,ZCTA5 75092,48,12491,0.350012,0.343447,0.164358,0.142182,0.580658,0.419342,0.480266,0.067413,0.25456,0.367448,0.194293,0.116286,0.118885,0.183567,0.130333,0.325965,0.241249,2024,acs/acs5
75093,ZCTA5 75093,48,20176,0.165196,0.250991,0.146659,0.437153,0.591148,0.408852,0.553975,0.017949,0.086647,0.206148,0.401533,0.287723,0.081643,0.154306,0.17317,0.354441,0.23644,2024,acs/acs5
75094,ZCTA5 75094,48,6870,0.107132,0.106114,0.169869,0.616885,0.927511,0.072489,0.822562,0.073091,0.115988,0.212756,0.325752,0.272413,0.132672,0.074642,0.153726,0.469197,0.169762,2024,acs/acs5
75098,ZCTA5 75098,48,21449,0.168959,0.229148,0.211945,0.389948,0.798918,0.201082,0.659518,0.085801,0.175896,0.30147,0.28822,0.148612,0.130275,0.163943,0.227384,0.338466,0.139932,2024,acs/acs5
75101,ZCTA5 75101,48,276,0.282609,0.525362,0.101449,0.09058,0.568841,0.431159,0.467391,0.256781,0.423146,0.216998,0.092224,0.01085,0.180741,0.291852,0.145185,0.22963,0.152593,2024,acs/acs5
75102,ZCTA5 75102,48,482,0.278008,0.271784,0.105809,0.344398,0.943983,0.056017,0.651452,0.195612,0.219378,0.426874,0.113346,0.04479,0.089092,0.029142,0.238968,0.408826,0.233972,2024,acs/acs5
75103,ZCTA5 75103,48,6019,0.375478,0.288752,0.177106,0.158664,0.797309,0.202691,0.593122,0.098359,0.355181,0.333597,0.118014,0.09485,0.100757,0.141076,0.182184,0.319078,0.256904,2024,acs/acs5
75104,ZCTA5 75104,48,16762,0.228195,0.260709,0.235354,0.275743,0.72026,0.27974,0.504594,0.081298,0.211565,0.34974,0.222845,0.134552,0.120451,0.183088,0.177933,0.360328,0.1582,2024,acs/acs5
75105,ZCTA5 75105,48,84,0.345238,0.083333,0.440476,0.130952,0.75,0.25,0.571429,0.014493,0.42029,0.115942,0.449275,0.0,0.054795,0.136986,0.253425,0.349315,0.205479,2024,acs/acs5
75109,ZCTA5 75109,48,2074,0.315815,0.289296,0.240116,0.154773,0.896336,0.103664,0.678881,0.144623,0.306799,0.265266,0.202967,0.080346,0.051805,0.100094,0.178622,0.330052,0.339428,2024,acs/acs5
75110,ZCTA5 75110,48,10586,0.428679,0.293217,0.166446,0.111657,0.608729,0.391271,0.49556,0.242559,0.275114,0.319295,0.104434,0.058599,0.153456,0.200437,0.153762,0.290726,0.201619,2024,acs/acs5
75114,ZCTA5 75114,48,2773,0.22647,0.362063,0.237649,0.173819,0.872701,0.127299,0.556076,0.184975,0.310125,0.351728,0.114492,0.03868,0.133214,0.225004,0.18343,0.32335,0.135002,2024,acs/acs5
75115,ZCTA5 75115,48,20693,0.263326,0.331078,0.20722,0.198376,0.696129,0.303871,0.418402,0.078198,0.24711,0.374038,0.172473,0.128182,0.106628,0.148526,0.167414,0.377778,0.199655,2024,acs/acs5
75116,ZCTA5 75116,48,6445,0.364934,0.367882,0.18495,0.082234,0.607292,0.392708,0.41505,0.222673,0.312262,0.287024,0.120019,0.058022,0.127513,0.172968,0.213112,0.247451,0.238955,2024,acs/acs5
75117,ZCTA5 75117,48,1661,0.255268,0.271523,0.264901,0.208308,0.79711,0.20289,0.62071,0.068241,0.383494,0.342957,0.13065,0.074657,0.094773,0.123284,0.180306,0.391235,0.210401,2024,acs/acs5
75119,ZCTA5 75119,48,11159,0.322161,0.284344,0.19034,0.203154,0.689309,0.310691,0.524509,0.192165,0.278874,0.319731,0.155661,0.053569,0.137868,0.187292,0.187463,0.312836,0.174542,2024,acs/acs5
75124,ZCTA5 75124,48,1957,0.279509,0.34696,0.153296,0.220235,0.858457,0.141543,0.634134,0.075904,0.311768,0.35354,0.188232,0.070555,0.099748,0.119697,0.235038,0.304059,0.241458,2024,acs/acs5
75125,ZCTA5 75125,48,2462,0.347685,0.317222,0.264419,0.070674,0.832656,0.167344,0.637287,0.301164,0.28952,0.284192,0.08585,0.039274,0.072148,0.140634,0.226698,0.394616,0.165904,2024,acs/acs5
75126,ZCTA5 75126,48,24912,0.182482,0.291225,0.237235,0.289057,0.805475,0.194525,0.597824,0.076569,0.228,0.316748,0.264379,0.114304,0.117008,0.234433,0.249003,0.292712,0.106844,2024,acs/acs5
75127,ZCTA5 75127,48,705,0.405674,0.382979,0.123404,0.087943,0.875177,0.124823,0.608511,0.245389,0.397755,0.220529,0.06255,0.073777,0.042243,0.085253,0.08679,0.328725,0.456989,2024,acs/acs5
75134,ZCTA5 75134,48,6969,0.299182,0.391448,0.200746,0.108624,0.842732,0.157268,0.424308,0.148454,0.278764,0.336251,0.123163,0.113368,0.106079,0.169454,0.170674,0.384914,0.16888,2024,acs/acs5
75135,ZCTA5 75135,48,3643,0.182267,0.267637,0.279989,0.270107,0.872083,0.127917,0.664837,0.088668,0.257641,0.348328,0.199106,0.106257,0.07557,0.185659,0.237772,0.313208,0.187792,2024,acs/acs5
75137,ZCTA5 75137,48,6770,0.256721,0.362186,0.1839,0.197194,0.711078,0.288922,0.504727,0.156728,0.233554,0.285376,0.208708,0.115633,0.126619,0.140741,0.149835,0.36291,0.219895,2024,acs/acs5
75140,ZCTA5 75140,48,3030,0.477228,0.249835,0.157096,0.115842,0.815842,0.184158,0.461716,0.227365,0.346833,0.272869,0.109461,0.043471,0.066423,0.164672,0.172117,0.350657,0.246131,2024,acs/acs5
75141,ZCTA5 75141,48,1892,0.557611,0.241015,0.142178,0.059197,0.497357,0.502643,0.27537,0.278991,0.306367,0.316826,0.066133,0.031683,0.162761,0.244914,0.181561,0.293072,0.117693,2024,acs/acs5
75142,ZCTA5 75142,48,6952,0.338176,0.252733,0.203107,0.205984,0.757911,0.242089,0.537255,0.23873,0.359829,0.241382,0.120011,0.040049,0.131254,0.169827,0.205505,0.309233,0.184181,2024,acs/acs5
75143,ZCTA5 75143,48,5341,0.353117,0.324846,0.174312,0.147725,0.819697,0.180303,0.525744,0.137876,0.381842,0.297705,0.128737,0.053839,0.097211,0.12546,0.172541,0.372523,0.232266,2024,acs/acs5
75144,ZCTA5 75144,48,1448,0.411602,0.29558,0.154696,0.138122,0.729972,0.270028,0.502072,0.111517,0.289132,0.397405,0.118816,0.083131,0.067675,0.171645,0.103592,0.389414,0.267675,2024,acs/acs5
75146,ZCTA5 75146,48,8878,0.329691,0.359315,0.199144,0.11185,0.567808,0.432192,0.40223,0.13654,0.288849,0.314475,0.180301,0.079834,0.119526,0.188198,0.197281,0.336419,0.158577,2024,acs/acs5
75147,ZCTA5 75147,48,3128,0.408887,0.302749,0.142903,0.14546,0.631074,0.368926,0.536765,0.157502,0.316531,0.334352,0.1463,0.045316,0.126594,0.150756,0.184999,0.327453,0.210199,2024,acs/acs5
75148,ZCTA5 75148,48,2569,0.35578,0.295835,0.19891,0.149475,0.768782,0.231218,0.564033,0.14805,0.315268,0.312844,0.160608,0.06323,0.072348,0.113019,0.128142,0.32475,0.361741,2024,acs/acs5
75149,ZCTA5 75149,48,19832,0.35947,0.322812,0.194585,0.123134,0.667759,0.332241,0.433794,0.225747,0.331689,0.284443,0.10554,0.052582,0.127483,0.220387,0.170227,0.339611,0.142292,2024,acs/acs5
75150,ZCTA5 75150,48,22578,0.35756,0.35539,0.171051,0.115998,0.513952,0.486048,0.400257,0.19751,0.293947,0.310082,0.143416,0.055046,0.138007,0.212993,0.164356,0.306034,0.17861,2024,acs/acs5
75152,ZCTA5 75152,48,1728,0.191551,0.327546,0.295718,0.185185,0.872685,0.127315,0.622685,0.162482,0.35267,0.334776,0.104185,0.045887,0.118096,0.145839,0.237465,0.316875,0.181726,2024,acs/acs5
75153,ZCTA5 75153,48,169,0.183432,0.408284,0.248521,0.159763,0.650888,0.349112,0.911243,0.237792,0.142251,0.356688,0.248408,0.014862,0.104563,0.18251,0.129278,0.387833,0.195817,2024,acs/acs5
75154,ZCTA5 75154,48,17266,0.232075,0.265551,0.235665,0.266709,0.822194,0.177806,0.609927,0.111108,0.269433,0.301318,0.19901,0.119131,0.126927,0.16875,0.178385,0.359427,0.16651,2024,acs/acs5
75155,ZCTA5 75155,48,983,0.343845,0.343845,0.203459,0.10885,0.892167,0.107833,0.550356,0.218377,0.401551,0.258353,0.104415,0.017303,0.246064,0.099415,0.177238,0.312641,0.164642,2024,acs/acs5
75156,ZCTA5 75156,48,6839,0.419798,0.307501,0.130428,0.142272,0.814739,0.185261,0.51645,0.127606,0.340716,0.355561,0.116006,0.060112,0.074411,0.122165,0.122991,0.377384,0.303049,2024,acs/acs5
75157,ZCTA5 75157,48,71,0.239437,0.253521,0.169014,0.338028,0.901408,0.098592,0.732394,0.188406,0.326087,0.34058,0.07971,0.065217,0.158537,0.018293,0.195122,0.390244,0.237805,2024,acs/acs5
75158,ZCTA5 75158,48,1740,0.281034,0.216667,0.254023,0.248276,0.898276,0.101724,0.648851,0.158726,0.340772,0.28661,0.159478,0.054413,0.099571,0.173177,0.246331,0.308648,0.172274,2024,acs/acs5
75159,ZCTA5 75159,48,6513,0.29372,0.331798,0.235682,0.138799,0.809765,0.190235,0.529556,0.231548,0.366161,0.275482,0.093069,0.033741,0.137505,0.166788,0.2336,0.315872,0.146235,2024,acs/acs5
75160,ZCTA5 75160,48,8406,0.337854,0.328218,0.162146,0.171782,0.684749,0.315251,0.500714,0.164096,0.325759,0.316913,0.139437,0.053796,0.118739,0.201959,0.160641,0.336679,0.181982,2024,acs/acs5
75161,ZCTA5 75161,48,2401,0.270304,0.301541,0.204915,0.22324,0.860891,0.139109,0.691795,0.139523,0.369452,0.319843,0.122879,0.048303,0.080294,0.144079,0.166892,0.372205,0.23653,2024,acs/acs5
75163,ZCTA5 75163,48,1133,0.42895,0.300088,0.127096,0.143866,0.848191,0.151809,0.564872,0.116209,0.368579,0.345137,0.117207,0.052868,0.050213,0.081004,0.118427,0.402653,0.347703,2024,acs/acs5
75164,ZCTA5 75164,48,253,0.197628,0.656126,0.146245,0.0,0.893281,0.106719,0.628458,0.30036,0.289568,0.390288,0.019784,0.0,0.056027,0.117148,0.259762,0.249576,0.317487,2024,acs/acs5
75165,ZCTA5 75165,48,18741,0.258417,0.326343,0.191078,0.224161,0.65973,0.34027,0.567312,0.099656,0.263126,0.32937,0.198473,0.109375,0.136875,0.1962,0.189009,0.295548,0.182367,2024,acs/acs5
75166,ZCTA5 75166,48,2253,0.079893,0.213493,0.257435,0.449179,0.909454,0.090546,0.664891,0.02815,0.215818,0.347408,0.247319,0.161305,0.106408,0.185267,0.276103,0.31643,0.115792,2024,acs/acs5
75167,ZCTA5 75167,48,4315,0.110313,0.270452,0.255156,0.364079,0.907995,0.092005,0.71518,0.093941,0.256193,0.313137,0.205576,0.131153,0.111228,0.168033,0.18252,0.417652,0.120568,2024,acs/acs5
75169,ZCTA5 75169,48,5839,0.343038,0.305874,0.21442,0.136667,0.815379,0.184621,0.451447,0.174466,0.337756,0.307406,0.125943,0.05443,0.103389,0.129787,0.135816,0.384879,0.24613,2024,acs/acs5
75172,ZCTA5 75172,48,1743,0.290304,0.524383,0.122777,0.062536,0.567413,0.432587,0.510614,0.420277,0.260543,0.156846,0.100231,0.062103,0.128837,0.324862,0.189482,0.216155,0.140664,2024,acs/acs5
75173,ZCTA5 75173,48,3346,0.127615,0.35266,0.249552,0.270173,0.945009,0.054991,0.73162,0.100954,0.340866,0.330301,0.174468,0.053412,0.118256,0.150472,0.211023,0.378186,0.142062,2024,acs/acs5
75180,ZCTA5 75180,48,8016,0.34244,0.365768,0.183882,0.107909,0.65993,0.34007,0.483658,0.279958,0.329527,0.304289,0.064037,0.022189,0.16763,0.164714,0.192904,0.350003,0.12475,2024,acs/acs5
75181,ZCTA5 75181,48,8078,0.222332,0.235949,0.228027,0.313692,0.837707,0.162293,0.607081,0.112803,0.259375,0.364474,0.144465,0.118883,0.15421,0.190357,0.144741,0.366001,0.14469,2024,acs/acs5
75182,ZCTA5 75182,48,2573,0.139914,0.14108,0.137583,0.581422,0.914885,0.085115,0.825496,0.035708,0.150156,0.242263,0.286578,0.285296,0.090288,0.088456,0.170082,0.39297,0.258204,2024,acs/acs5
75189,ZCTA5 75189,48,15743,0.152004,0.243092,0.32173,0.283173,0.884711,0.115289,0.654894,0.086147,0.256184,0.353008,0.212514,0.092146,0.132824,0.226632,0.204341,0.311993,0.12421,2024,acs/acs5
75201,ZCTA5 75201,48,12525,0.196647,0.269461,0.231537,0.302355,0.106028,0.893972,0.125589,0.038795,0.101845,0.15981,0.402817,0.296733,0.137305,0.429801,0.175835,0.177129,0.07993,2024,acs/acs5
75202,ZCTA5 75202,48,1959,0.174068,0.200102,0.192445,0.433384,0.24196,0.75804,0.223583,0.011905,0.079985,0.252976,0.388765,0.266369,0.050512,0.364535,0.202402,0.285058,0.097492,2024,acs/acs5
75203,ZCTA5 75203,48,6359,0.528699,0.282906,0.118729,0.069665,0.378833,0.621167,0.253813,0.365007,0.220798,0.212026,0.117595,0.084574,0.125205,0.212383,0.200742,0.31077,0.150901,2024,acs/acs5
75204,ZCTA5 75204,48,21536,0.213317,0.325084,0.160847,0.300752,0.186107,0.813893,0.180303,0.05604,0.0707,0.164223,0.427983,0.281054,0.157732,0.450721,0.17508,0.161389,0.055078,2024,acs/acs5
75205,ZCTA5 75205,48,9655,0.176696,0.13651,0.134335,0.55246,0.551528,0.448472,0.533299,0.011122,0.028701,0.092496,0.449757,0.417924,0.255686,0.162718,0.137692,0.291322,0.152583,2024,acs/acs5
75206,ZCTA5 75206,48,22547,0.231516,0.320841,0.149288,0.298355,0.270236,0.729764,0.261232,0.023463,0.065793,0.133336,0.484872,0.292536,0.158454,0.432291,0.169048,0.152449,0.087757,2024,acs/acs5
75207,ZCTA5 75207,48,2353,0.21632,0.368891,0.308542,0.106247,0.008075,0.991925,0.061623,0.207046,0.295553,0.227115,0.16503,0.105256,0.162616,0.43187,0.209769,0.177246,0.018498,2024,acs/acs5
