zcta,zcta_name,state_fips,total_households,income_low_pct,income_medium_pct,income_high_pct,income_very_high_pct,owner_pct,renter_pct,married_household_pct,partial_high_school_pct,high_school_pct,partial_college_pct,bachelors_pct,graduate_degree_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_64_pct,age_65_plus_pct,source_year,source_dataset,income_total,income_low_count,income_medium_count,income_high_count,income_very_high_count,tenure_total,owner_count,renter_count,household_type_total,married_household_count,education_total,partial_high_school_count,high_school_count,partial_college_count,bachelors_count,graduate_degree_count,age_18_plus_count,age_18_24_count,age_25_34_count,age_35_44_count,age_45_64_count,age_65_plus_count,income_low_pct_was_clipped,income_medium_pct_was_clipped,income_high_pct_was_clipped,income_very_high_pct_was_clipped,owner_pct_was_clipped,renter_pct_was_clipped,married_household_pct_was_clipped,partial_high_school_pct_was_clipped,high_school_pct_was_clipped,partial_college_pct_was_clipped,bachelors_pct_was_clipped,graduate_degree_pct_was_clipped,age_18_24_pct_was_clipped,age_25_34_pct_was_clipped,age_35_44_pct_was_clipped,age_45_64_pct_was_clipped,age_65_plus_pct_was_clipped,any_pct_was_clipped,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B11001_001E,B11001_002E,B11001_003E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B25003_001E,B25003_002E,B25003_003E
75021,ZCTA5 75021,48,3379,0.31370227878070434,0.2888428529150636,0.2337969813554306,0.16365788694880143,0.8319029298609056,0.16809707013909442,0.5865640722107133,0.08828149544454916,0.3795161797046811,0.3576814326107446,0.14341815896952562,0.03110273327049953,0.08979124964255075,0.1489848441521304,0.15327423505862167,0.37432084643980557,0.2336288247068916,2024,acs/acs5,3379,1060,976,790,553,3379,2811,568,3379,1982,6366,562,2416,2277,913,198,6994,628,1042,1072,2618,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,46,72,146,236,215,308,228,340,357,209,142,268,144,162,213,75,59,25,77,19,96,94,261,330,315,221,336,263,285,249,169,246,114,254,271,49,22,3379,2582,1982,6366,132,0,0,0,10,0,0,20,0,0,17,66,73,142,102,1733,683,486,1228,563,913,149,33,16,3379,71,103,168,101,143,120,193,64,97,124,389,463,494,296,407,146,3379,2811,568
75022,ZCTA5 75022,48,9046,0.12359053725403493,0.15520672120274154,0.142604466062348,0.5785982754808755,0.8470042007517135,0.15299579924828655,0.7545876630554942,0.030944531204812307,0.10538492683208976,0.17271097229452254,0.4317774307363063,0.25918213893226905,0.10991556836902801,0.08293863261943987,0.1544995881383855,0.4865115321252059,0.1661346787479407,2024,acs/acs5,9046,1118,1404,1290,5234,9046,7662,1384,9046,6826,17289,535,1822,2986,7465,4481,19424,2135,1611,3001,9450,3227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,92,151,450,377,417,401,1042,1045,1599,1302,586,375,193,315,553,279,81,224,235,123,54,474,300,517,556,1002,1132,1367,1386,290,368,399,295,370,292,119,107,9046,7321,6826,17289,253,0,0,0,10,9,0,0,0,0,66,28,53,16,100,1586,236,615,1436,935,7465,3487,587,407,9046,55,31,37,295,142,44,127,276,111,291,313,800,631,659,1222,4012,9046,7662,1384
75023,ZCTA5 75023,48,18919,0.18283207357682751,0.26312172947830226,0.2262276018817062,0.327818595063164,0.6406786828056451,0.3593213171943549,0.5671547121940906,0.060258290096999775,0.1287784795849312,0.24512181367020078,0.3616907286262125,0.20415068802165576,0.11039759187256992,0.19031732095823403,0.18477361093691208,0.31182741753417786,0.2026840586981061,2024,acs/acs5,18919,3459,4978,4280,6202,18919,12121,6798,18919,10730,35464,2137,4567,8693,12827,7240,39865,4401,7587,7366,12431,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,420,310,1050,2252,1842,1974,1991,1671,1416,1415,494,1061,671,876,951,761,419,257,632,414,255,946,1868,1625,1852,1549,1145,1371,1701,863,1294,574,512,1420,748,506,385,18919,13485,10730,35464,811,0,0,15,0,11,5,72,131,21,96,174,67,173,561,4114,453,1341,4759,2593,12827,5832,690,718,18919,737,272,130,283,346,417,331,546,397,1189,1298,2491,2220,2060,2640,3562,18919,12121,6798
75024,ZCTA5 75024,48,19217,0.13555705885413957,0.2693448509132539,0.2322422854764011,0.36285580475620544,0.37586511942550865,0.6241348805744913,0.5223500026018629,0.022793508605086357,0.09000828297082554,0.16458569807037457,0.4065098015154769,0.31610270883823666,0.09656051661539314,0.20337573792300656,0.2176491782378537,0.34979629167705995,0.13261827554668662,2024,acs/acs5,19217,2605,5176,4463,6973,19217,7223,11994,19217,10038,32597,743,2934,5365,13251,10304,36081,3484,7338,7853,12621,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,266,174,906,1844,1795,1941,2362,1266,2096,1347,488,787,341,342,696,322,290,192,413,144,165,1076,1701,1998,1827,1723,1984,1641,1671,528,813,328,600,594,367,286,427,19217,11889,10038,32597,275,0,6,0,12,0,0,0,4,23,14,39,48,58,264,2643,291,1271,2372,1722,13251,7918,1495,891,19217,552,163,192,321,147,222,427,258,323,755,1362,3059,2524,1939,2443,4530,19217,7223,11994
75025,ZCTA5 75025,48,18896,0.15585309060118543,0.18712955122777308,0.18331922099915327,0.47369813717188824,0.6623624047417442,0.3376375952582557,0.6581816257408976,0.037634114298226405,0.12256404641996935,0.1596233851543683,0.3681026932340705,0.3120757608933655,0.09747542117484315,0.11995454770021244,0.21360110666469048,0.4045995751198063,0.1643693493404476,2024,acs/acs5,18896,2945,3536,3464,8951,18896,12516,6380,18896,12437,36536,1375,4478,5832,13449,11402,40482,3946,4856,8647,16379,6654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,154,263,839,960,1305,1677,2155,2469,1998,2001,1011,869,449,748,704,501,280,205,720,358,228,827,917,1674,2201,2614,1925,1931,2434,793,948,569,781,927,757,265,468,18896,14903,12437,36536,360,10,0,0,0,0,0,38,0,11,51,111,368,61,365,4016,462,1041,3110,1681,13449,9355,906,1141,18896,396,164,161,408,357,311,440,393,315,841,1080,1615,1662,1802,2955,5996,18896,12516,6380
75028,ZCTA5 75028,48,18107,0.09316838791627548,0.21853426851493898,0.18981609322361517,0.4984812503451704,0.8026729993925001,0.19732700060749986,0.6786325730380516,0.02384059862525015,0.11105310478842194,0.23147423069114534,0.4188636561385191,0.21476840975666348,0.07888972002564651,0.11019982902329557,0.19592861722590296,0.43957042103013466,0.1754114126950203,2024,acs/acs5,18107,1687,3957,3437,9026,18107,14534,3573,18107,12288,34479,822,3829,7981,14442,7405,37432,2953,4125,7334,16454,6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,271,372,643,1004,978,1712,1756,2017,2013,2359,665,1164,514,746,965,534,165,134,425,107,74,540,950,1193,1494,2372,1790,2456,2390,585,1015,892,633,809,449,340,385,18107,14444,12288,34479,288,0,0,0,0,0,0,0,0,0,152,49,56,53,224,3453,376,2016,3669,2296,14442,5805,958,642,18107,409,115,103,97,174,190,110,259,230,956,1311,1690,1813,1624,2905,6121,18107,14534,3573
75032,ZCTA5 75032,48,13250,0.13486792452830187,0.2310188679245283,0.18966037735849056,0.44445283018867926,0.7970566037735849,0.2029433962264151,0.6968301886792453,0.047378227309023156,0.19244077721586372,0.26434465188790446,0.31704627552378417,0.17879006806342446,0.10660053673947753,0.11984916941264395,0.20440262254985223,0.3779257397153242,0.19122193158270204,2024,acs/acs5,13250,1787,3061,2513,5889,13250,10561,2689,13250,9233,26299,1246,5061,6952,8338,4702,29437,3138,3528,6017,11125,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,338,105,850,768,926,1290,1429,1622,1551,1044,645,625,364,451,524,597,155,328,277,356,351,406,806,1028,1554,1744,1608,1452,1117,493,968,308,663,728,749,450,312,13250,10396,9233,26299,581,0,0,0,0,0,0,48,66,51,40,55,119,126,160,4394,667,1569,3379,2004,8338,2798,1037,867,13250,287,67,173,177,436,96,135,143,273,518,997,1546,1254,1259,2067,3822,13250,10561,2689
75033,ZCTA5 75033,48,16924,0.09069959820373434,0.17188607894114866,0.16509099503663435,0.5723233278184826,0.6963483809974002,0.30365161900259985,0.7216379106594186,0.03222232480842027,0.1013449050564737,0.2137691195026621,0.43504754870279755,0.2176161019296464,0.09771742752415861,0.14800622014883927,0.23542152615794734,0.4223869821170721,0.09646784405198268,2024,acs/acs5,16924,1535,2909,2794,9686,16924,11785,5139,16924,12213,32493,1047,3293,6946,14136,7071,36012,3519,5330,8478,15211,3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,151,146,710,1019,1623,1506,2482,3002,2471,1669,418,392,381,388,228,323,203,32,489,183,231,761,985,1703,1769,2721,2930,2394,1160,375,400,258,481,227,482,259,212,16924,14187,12213,32493,284,0,0,7,0,0,0,0,107,19,139,31,54,186,220,2812,481,1746,3205,1995,14136,5538,1083,450,16924,322,48,44,127,177,215,136,260,206,675,703,1531,1271,1523,2611,7075,16924,11785,5139
75034,ZCTA5 75034,48,23190,0.1517033203967227,0.3024148339801639,0.18546787408365675,0.36041397153945665,0.3863303147908581,0.6136696852091419,0.4696852091418715,0.031759702858373255,0.1045647844108306,0.21182106906389622,0.3722883135059482,0.2795661301609517,0.13355565401926262,0.215130244164082,0.21139898789673747,0.3196987010564119,0.12021641286350598,2024,acs/acs5,23190,3518,7013,4301,8358,23190,8959,14231,23190,10892,37154,1180,3885,7870,13832,10387,42881,5727,9225,9065,13709,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,109,167,1518,2227,2156,2276,2220,2005,1691,1923,495,680,453,261,504,429,315,229,431,134,774,1929,2803,2039,2305,2264,1658,2345,1189,575,1148,227,416,800,555,318,648,23190,13292,10892,37154,339,17,57,0,0,116,0,16,56,99,130,32,80,19,219,3253,632,1571,3815,2484,13832,8788,839,760,23190,773,108,298,443,173,496,234,676,317,1548,2047,3418,2117,2184,2326,6032,23190,8959,14231
75035,ZCTA5 75035,48,28872,0.10085896370185647,0.14650872817955113,0.18949154890551398,0.5631407592130784,0.7672831809365476,0.23271681906345248,0.7216334164588528,0.03726258561039328,0.08091506036856598,0.19123773211890135,0.38231659959048225,0.3082680223116571,0.10404706552165868,0.11484872926254527,0.2676693394063039,0.406667615568313,0.10676725024117917,2024,acs/acs5,28872,2912,4230,5471,16259,28872,22153,6719,28872,20835,56652,2111,4584,10834,21659,17464,63231,6579,7262,16925,25714,6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,683,363,1366,1215,2335,3070,4640,5389,4268,2450,650,904,368,587,840,337,424,120,1396,210,291,1178,1698,2014,4246,4969,5004,2944,2452,693,960,444,857,1267,552,721,234,28872,23977,20835,56652,719,7,0,54,0,0,14,105,36,90,45,186,116,108,631,3988,596,2215,5085,3534,21659,14893,1608,963,28872,593,184,528,196,152,361,213,273,412,661,1338,2231,2714,2757,4688,11571,28872,22153,6719
75036,ZCTA5 75036,48,11940,0.10577889447236181,0.20050251256281407,0.18726968174204356,0.5064489112227806,0.8769681742043551,0.1230318257956449,0.7256281407035176,0.029387998128694765,0.14349508782375708,0.1828775570960745,0.3572491813039595,0.28699017564751417,0.05574073330388338,0.10790731295931891,0.2528412513553673,0.3348861491506365,0.24862455323079394,2024,acs/acs5,11940,1263,2394,2236,6047,11940,10471,1469,11940,8664,23513,691,3374,4300,8400,6748,24901,1388,2687,6296,8339,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,123,105,337,452,516,1343,1613,1695,1073,780,304,473,577,373,893,768,228,202,127,142,85,247,948,771,1402,1938,1113,1159,886,319,537,327,126,1392,711,445,149,11940,9627,8664,23513,119,0,0,0,0,11,0,0,17,0,62,65,43,58,316,2957,417,1123,1741,1436,8400,5847,625,276,11940,151,147,197,38,155,169,173,164,69,301,1026,1067,985,1251,1765,4282,11940,10471,1469
75038,ZCTA5 75038,48,14151,0.3031587873648505,0.3787718182460604,0.1544060490424705,0.1636633453466186,0.19595788283513532,0.8040421171648646,0.41954632181471274,0.06432093231734648,0.17341999103541014,0.29269385925593905,0.26154190945764233,0.20802330793366203,0.1071714422923003,0.32047382743716984,0.23643348807427567,0.2307907795741956,0.10513046262205859,2024,acs/acs5,14151,4290,5360,2185,2316,14151,2773,11378,14151,5937,22310,1435,3869,6530,5835,4641,24988,2678,8008,5908,5767,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,80,391,577,1862,2294,1858,1439,710,677,530,380,350,208,146,478,125,64,40,148,53,137,1023,1795,2057,1607,1004,751,804,858,288,419,229,258,501,292,176,110,14151,8172,5937,22310,334,0,0,0,0,0,37,0,93,63,134,191,258,54,271,3297,572,756,3744,2030,5835,3674,747,220,14151,490,328,317,464,521,473,406,482,809,1224,2357,1779,1501,684,887,1429,14151,2773,11378
75039,ZCTA5 75039,48,12394,0.13095045989995158,0.3341132806196547,0.23471034371470068,0.3002259157656931,0.15628529933838956,0.8437147006616105,0.3688074874939487,0.023320347937456642,0.06489140295640108,0.15609157372325097,0.41928598110891724,0.3364106942739741,0.0677578229938809,0.4066464355007214,0.24929108004576886,0.20924332122779962,0.06706134023182926,2024,acs/acs5,12394,1623,4141,2909,3721,12394,1937,10457,12394,4571,18739,437,1216,2925,7857,6304,20101,1362,8174,5011,4206,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,101,508,2385,1702,1654,1250,782,559,321,159,199,305,82,129,117,30,0,200,6,16,465,2544,1543,1143,964,739,353,645,198,251,232,110,222,92,29,0,12394,5569,4571,18739,101,17,0,0,0,0,0,0,0,50,28,12,35,182,12,1036,180,393,1499,1033,7857,4997,816,491,12394,376,249,145,38,125,51,182,224,233,854,1002,2285,1712,1197,1512,2209,12394,1937,10457
75040,ZCTA5 75040,48,20958,0.2883385819257563,0.36525431816012977,0.19777650539173586,0.1486305945223781,0.6676686706746827,0.3323313293253173,0.5292966886153259,0.22296042291755966,0.26587131494975474,0.26815735581273514,0.15899890460541982,0.08401200171453065,0.12650802895415592,0.19550295365671022,0.168712039271154,0.336800066561278,0.1724769115567019,2024,acs/acs5,20958,6043,7655,4145,3115,20958,13993,6965,20958,11093,41994,9363,11165,11261,6677,3528,48076,6082,9399,8111,16192,8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,396,330,1362,2322,2435,2071,2063,1946,1735,1970,987,1208,431,700,806,1063,298,162,750,464,591,1008,2182,2460,1879,2098,1916,2303,2133,728,1266,760,746,1555,881,416,474,20958,15637,11093,41994,2344,6,11,16,65,324,154,486,1056,368,689,1120,938,626,1160,10050,1115,2369,5437,3455,6677,2823,353,352,20958,691,320,485,853,410,772,825,1007,680,1659,2853,3143,2520,1625,1786,1329,20958,13993,6965
