NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,zip code tabulation area
ZCTA5 00667,17490,385,0,0,65,56,290,159,310,848,214,336,927,201,549,15,4404,544,308,1880,2148,3060,623,121,47,00667
ZCTA5 00669,20711,720,0,0,452,176,548,577,504,810,489,336,1054,241,294,135,4623,376,495,2338,2198,3244,947,18,136,00669
ZCTA5 00670,6311,120,0,0,41,90,170,101,231,256,345,185,294,30,140,58,2188,170,29,152,793,773,119,0,26,00670
ZCTA5 00674,29283,837,0,0,154,152,258,578,260,1120,630,647,842,298,1150,136,7629,600,389,2852,3574,5416,1446,108,207,00674
ZCTA5 00676,27241,606,42,0,52,130,352,590,433,1217,360,1081,809,439,686,260,8016,667,195,1933,2605,5124,1239,86,319,00676
ZCTA5 00677,12201,325,0,0,49,137,273,182,321,686,173,234,483,273,186,35,2807,320,133,759,1954,2281,402,63,125,00677
ZCTA5 00678,18626,291,0,0,142,95,288,205,462,788,382,545,620,374,591,140,4522,425,123,1274,3552,3010,657,21,119,00678
ZCTA5 00680,30615,543,22,0,280,138,404,553,233,1024,810,877,1490,403,466,222,7617,1692,280,3373,2465,5470,1439,359,455,00680
ZCTA5 00682,18572,387,0,0,30,102,71,213,212,433,667,453,1082,270,292,169,4199,938,195,1823,1386,3582,1172,320,576,00682
ZCTA5 00683,22306,357,0,0,49,148,275,338,295,557,411,587,967,349,798,170,6524,553,145,1381,2513,4136,1200,171,382,00683
ZCTA5 00685,29964,643,0,41,256,187,748,617,531,950,663,1139,1301,591,608,399,6834,767,488,3070,3635,5227,1055,50,164,00685
ZCTA5 00687,20928,360,0,0,132,134,155,387,223,695,232,380,697,412,569,83,5940,317,368,2022,3142,3650,802,51,177,00687
ZCTA5 00688,7875,391,0,0,74,25,66,184,119,192,127,138,410,179,94,62,2360,80,32,985,770,1292,191,28,76,00688
ZCTA5 00690,4062,40,0,0,96,49,42,0,82,104,38,60,51,114,212,34,1040,143,17,558,353,754,221,29,25,00690
ZCTA5 00692,23898,404,0,0,31,130,210,261,199,418,471,662,705,207,649,178,6203,528,354,2482,3435,4520,1430,119,302,00692
ZCTA5 00693,41494,941,26,0,148,341,373,586,384,838,695,1228,1672,436,1047,172,10673,561,361,5251,5179,8318,1731,253,280,00693
ZCTA5 00694,125,0,0,0,0,0,20,0,0,16,0,16,0,0,0,0,34,0,0,28,0,0,11,0,0,00694
ZCTA5 00698,24726,532,29,0,53,85,233,269,319,1023,229,277,999,322,314,191,7432,531,340,1864,2611,5129,1392,180,372,00698
ZCTA5 00703,18135,400,0,0,174,59,119,228,227,446,441,472,876,299,308,47,5726,433,220,1425,2324,3077,593,90,151,00703
ZCTA5 00704,4292,38,0,0,0,53,27,24,41,46,32,28,115,62,93,27,1954,95,41,523,459,586,33,15,0,00704
ZCTA5 00705,18688,357,0,0,32,203,129,364,206,726,206,296,939,248,245,32,6261,590,124,1586,1727,3254,811,12,340,00705
ZCTA5 00707,7921,168,16,0,50,176,135,104,95,146,124,206,338,213,287,5,2188,213,163,1009,1130,865,236,10,44,00707
ZCTA5 00714,11236,244,0,24,18,79,224,104,113,249,63,130,491,185,194,67,3301,97,242,1130,1431,2287,503,0,60,00714
ZCTA5 00715,1562,22,0,0,0,16,0,12,11,112,29,153,83,18,82,0,567,0,17,187,53,186,8,6,0,00715
ZCTA5 00716,20679,353,0,13,0,54,256,188,177,360,298,293,504,148,483,293,5431,389,233,2164,1702,4729,1405,627,579,00716
ZCTA5 00717,10583,281,0,0,0,12,129,36,38,146,156,166,356,137,167,67,2994,237,213,1103,1029,2193,709,240,174,00717
ZCTA5 00718,16533,245,0,0,40,221,398,316,121,423,567,182,585,286,153,0,5941,346,66,979,1884,2866,737,115,62,00718
ZCTA5 00719,22277,420,0,0,71,294,475,300,466,613,559,718,1186,379,453,41,6290,445,358,2123,2687,3502,744,0,153,00719
ZCTA5 00720,15363,572,0,0,29,150,369,302,314,538,305,244,484,326,212,55,4685,235,135,1536,1820,2440,553,59,0,00720
ZCTA5 00723,12105,304,0,0,92,0,211,163,150,364,276,105,257,65,288,82,3415,214,189,1704,1544,1809,783,37,53,00723
ZCTA5 00725,55313,977,12,0,99,284,413,454,312,975,502,747,1593,709,1277,279,12143,2125,979,6048,7161,13183,3249,841,951,00725
ZCTA5 00727,41418,464,0,15,138,269,378,330,381,671,446,283,893,200,486,241,9757,1119,550,4458,4332,10188,3852,873,1094,00727
ZCTA5 00728,26483,327,0,0,61,190,199,236,202,380,273,597,855,548,600,312,7983,399,853,2622,2634,5255,1510,162,285,00728
ZCTA5 00729,35009,511,0,0,146,344,374,360,312,722,382,702,1259,462,440,277,8707,1371,567,3371,4927,6790,2392,181,412,00729
ZCTA5 00730,23405,408,16,0,106,166,155,403,191,485,306,461,643,222,558,189,6168,257,498,2429,2875,4616,1389,317,547,00730
ZCTA5 00731,7331,210,0,0,92,36,144,97,170,530,70,260,347,3,165,24,1986,109,38,453,889,1358,245,41,64,00731
ZCTA5 00735,8387,95,0,21,39,0,24,108,58,154,159,191,329,323,131,42,3074,282,62,614,775,1569,207,21,109,00735
ZCTA5 00736,34412,623,8,64,207,82,350,420,389,666,681,841,978,495,629,176,10661,749,534,2667,3160,7091,2115,80,746,00736
ZCTA5 00738,22330,303,11,0,60,38,66,128,240,343,562,291,585,196,187,172,6601,629,431,2371,2661,4950,1188,165,152,00738
ZCTA5 00739,25528,606,0,0,0,149,359,385,278,585,437,395,717,441,351,59,8156,503,191,2060,2821,5277,1390,125,243,00739
ZCTA5 00740,1167,8,0,0,0,0,0,0,0,16,21,11,10,36,18,0,431,46,22,178,50,275,13,32,0,00740
ZCTA5 00741,2765,20,0,0,29,0,0,55,0,33,0,104,58,21,68,0,1070,53,22,413,292,451,39,26,11,00741
ZCTA5 00745,35255,703,0,0,0,122,458,614,308,1062,508,763,1025,297,662,236,8858,1342,363,3544,4910,7130,1940,221,189,00745
ZCTA5 00751,14673,361,0,0,29,115,155,218,157,276,275,232,519,386,252,98,5380,160,78,1393,1540,2460,486,32,71,00751
ZCTA5 00754,27742,615,18,10,26,204,440,521,399,757,598,531,1496,419,662,86,6388,433,302,4143,3524,4082,1499,314,275,00754
ZCTA5 00757,14392,294,0,0,0,25,147,147,83,332,320,155,255,323,240,93,4771,171,60,1352,1267,3392,740,27,198,00757
ZCTA5 00765,5997,42,0,0,0,0,127,50,31,43,162,353,552,91,202,96,2595,187,23,171,534,389,122,0,227,00765
ZCTA5 00766,15665,332,0,24,102,98,139,173,293,541,252,220,597,188,260,44,4601,369,269,1637,1861,2917,528,85,135,00766
ZCTA5 00767,22759,491,0,0,92,208,232,480,319,724,312,491,954,435,600,135,5573,442,173,4170,2470,3440,777,117,124,00767
ZCTA5 00769,25708,411,0,0,26,58,263,387,243,459,324,569,912,294,392,98,9876,476,192,2193,2497,4751,977,53,257,00769
ZCTA5 00771,26103,259,0,0,47,142,418,507,147,714,460,352,684,332,378,41,6161,88,148,4245,3351,5480,1929,71,149,00771
ZCTA5 00772,12410,354,0,0,17,94,148,67,134,222,367,321,678,206,408,98,4223,602,99,853,1639,1639,155,48,38,00772
ZCTA5 00773,13177,277,0,0,30,54,73,155,124,259,176,346,432,238,234,131,3810,594,76,1346,1633,2153,718,109,209,00773
ZCTA5 00775,948,21,0,0,0,0,8,8,0,0,0,13,45,0,0,0,433,10,11,126,101,147,25,0,0,00775
ZCTA5 00777,27237,258,0,0,87,221,206,288,219,782,245,652,1258,591,683,72,7888,575,172,2903,3724,4908,1241,39,225,00777
ZCTA5 00778,29730,298,0,0,0,134,254,289,322,535,613,412,593,382,522,240,5953,1224,302,3524,3087,7834,2219,527,466,00778
ZCTA5 00780,9438,75,0,0,42,54,123,91,99,250,101,292,327,69,108,72,2380,105,36,1091,1110,1989,721,88,215,00780
ZCTA5 00782,13430,865,0,0,99,86,55,190,101,279,204,411,571,320,338,29,3905,173,490,1502,1341,2065,348,18,40,00782
ZCTA5 00783,25164,745,0,0,312,71,295,286,214,535,465,496,951,430,643,165,7045,291,570,3483,2954,4124,997,70,22,00783
ZCTA5 00784,25584,402,0,0,97,206,175,171,256,483,399,650,569,482,548,327,8112,655,754,2112,2671,4253,1467,237,558,00784
ZCTA5 00786,135,0,0,0,0,0,0,0,32,0,19,0,0,0,0,0,84,0,0,0,0,0,0,0,0,00786
ZCTA5 00791,34729,467,0,20,73,198,91,495,437,785,472,662,1164,690,509,192,12062,316,139,2620,3539,6696,2319,325,458,00791
ZCTA5 00794,20637,360,0,0,134,194,242,271,132,464,245,337,744,445,343,105,5973,465,440,2327,2476,4121,619,92,108,00794
ZCTA5 00795,31767,656,7,0,212,261,304,422,269,1133,417,646,936,369,1110,278,8451,237,217,2872,4067,6724,1887,149,143,00795
ZCTA5 00901,5035,45,0,0,11,0,0,0,17,59,35,109,81,46,35,72,883,128,43,392,480,1198,725,454,222,00901
ZCTA5 00906,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0,8,8,0,0,00906
ZCTA5 00907,13826,158,38,0,0,0,45,122,20,12,122,115,183,84,112,160,1668,179,172,1304,951,4175,2063,1656,487,00907
ZCTA5 00909,4143,72,0,0,0,25,56,0,48,55,27,93,51,6,67,26,729,78,84,430,540,1080,463,114,99,00909
ZCTA5 00911,6074,45,0,0,0,1,29,93,12,114,46,92,43,89,7,98,664,16,93,483,472,2014,861,520,282,00911
ZCTA5 00912,4551,21,0,0,9,16,0,98,21,139,26,22,147,32,33,90,749,34,165,514,527,1258,301,206,143,00912
ZCTA5 00913,4180,29,0,0,17,25,16,16,21,47,72,76,150,65,196,60,1493,106,35,389,412,610,140,60,145,00913
ZCTA5 00915,17966,662,0,7,89,137,343,391,351,645,374,901,661,301,634,157,5805,412,354,1558,1501,2084,294,101,204,00915
ZCTA5 00917,13827,281,0,0,14,30,143,182,152,350,218,456,316,121,179,102,3497,212,138,1159,1830,2837,1177,306,127,00917
ZCTA5 00918,12936,115,0,0,0,53,1,34,0,144,12,81,116,48,129,88,1732,132,82,592,1716,4180,1761,1323,597,00918
ZCTA5 00920,12110,209,11,0,38,0,65,58,85,85,111,340,263,173,39,176,2290,114,315,1531,1646,3475,758,164,164,00920
ZCTA5 00921,23816,353,0,0,65,83,202,334,283,306,362,215,790,295,379,160,4802,314,388,2770,3562,5207,1970,542,434,00921
ZCTA5 00923,17557,513,0,0,71,68,224,245,128,346,280,375,533,190,206,109,4849,216,224,1489,2583,3259,1106,323,220,00923
ZCTA5 00924,35807,425,9,0,43,179,212,383,203,512,258,676,1071,272,254,409,8348,873,953,3907,5333,7799,2349,776,563,00924
ZCTA5 00925,3700,110,0,0,0,21,0,43,136,251,67,76,265,0,47,0,691,0,18,261,247,785,537,71,74,00925
ZCTA5 00926,70410,758,0,0,108,59,366,552,150,1127,752,793,601,580,649,382,11205,976,801,5757,8478,21344,8598,3382,2992,00926
ZCTA5 00927,11236,91,0,0,0,0,20,36,30,70,2,43,180,29,62,111,1435,35,136,663,1361,4072,1467,920,473,00927
ZCTA5 00934,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,00934
ZCTA5 00949,49249,663,15,9,28,171,327,414,341,743,497,882,1239,427,824,314,10330,2560,1030,6637,6885,11055,3122,314,422,00949
ZCTA5 00950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00950
ZCTA5 00951,274,0,0,0,0,0,0,0,12,0,0,0,12,19,55,5,90,6,0,7,17,38,13,0,0,00951
ZCTA5 00952,6153,140,0,0,55,67,41,108,42,270,92,203,239,25,149,6,1029,554,94,834,946,1004,195,0,60,00952
ZCTA5 00953,48870,637,8,0,153,191,420,350,335,743,481,711,1088,422,927,321,12224,1078,678,5532,7166,11502,2936,304,663,00953
ZCTA5 00956,49643,749,0,0,151,249,330,426,446,941,502,888,1149,540,1053,471,10952,678,1354,7246,6568,11412,2696,257,585,00956
ZCTA5 00957,29933,615,18,35,41,134,247,365,233,647,265,441,657,264,371,264,6553,334,781,4486,3877,7357,1477,204,267,00957
ZCTA5 00959,35055,477,0,0,91,49,170,405,130,458,373,365,753,181,370,298,7168,549,631,4935,4527,9834,2433,485,373,00959
ZCTA5 00960,2831,1,0,0,15,2,0,43,31,33,132,182,219,179,96,33,1346,125,30,153,85,112,0,0,14,00960
ZCTA5 00961,22120,361,0,0,20,20,257,115,97,233,198,190,317,164,299,118,3835,560,553,3107,3097,5877,1775,503,424,00961
ZCTA5 00962,13984,474,0,0,47,31,140,164,234,366,276,470,430,229,270,159,4824,300,157,1459,1452,1976,369,99,58,00962
ZCTA5 00965,4619,88,0,0,33,50,50,139,134,142,160,155,214,93,157,93,1568,180,65,517,334,378,69,0,0,00965
ZCTA5 00966,13889,151,0,0,31,0,40,0,86,45,92,38,103,27,25,206,1383,135,151,931,723,5554,2355,1338,475,00966
ZCTA5 00968,3061,8,0,0,0,0,9,10,0,0,26,28,45,10,52,43,199,0,33,113,154,1105,598,355,273,00968
ZCTA5 00969,32868,347,0,14,10,67,159,197,127,105,160,273,448,75,136,355,3929,413,421,3780,2666,11246,4719,1949,1272,00969
ZCTA5 00971,19718,296,0,0,79,34,249,161,329,677,523,423,560,270,491,188,3406,1080,180,2085,2214,4214,1394,436,429,00971
ZCTA5 00976,45335,602,23,0,50,16,124,196,198,736,323,656,826,344,471,349,8346,1043,1125,5559,6060,12652,3786,1072,778,00976
ZCTA5 00979,12174,60,0,0,0,26,33,55,34,118,76,116,125,25,91,223,1594,160,253,1420,1414,3735,1533,528,555,00979
ZCTA5 00982,10163,186,13,0,18,31,47,45,54,101,51,103,199,195,133,163,2454,376,318,955,1616,2506,522,30,47,00982
ZCTA5 00983,23776,378,0,0,17,79,183,164,73,150,163,182,562,141,167,261,6242,700,613,2809,3083,5946,1376,131,356,00983
ZCTA5 00985,23872,264,0,0,21,30,194,255,120,210,342,319,538,130,290,266,6753,1060,297,2607,3219,5616,1132,106,103,00985
ZCTA5 00987,41074,419,0,0,20,153,259,280,286,580,282,400,1070,285,450,162,8917,1163,681,3076,6210,12054,3410,429,488,00987
ZCTA5 01001,12443,194,0,0,0,0,5,6,13,17,6,0,61,102,114,270,2873,411,979,1426,1517,2667,1313,205,264,01001
ZCTA5 01002,13824,143,0,2,0,55,53,0,29,0,8,18,0,6,6,93,788,318,368,946,568,3215,4400,416,2392,01002
ZCTA5 01003,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,52,29,7,45,0,23,01003
ZCTA5 01005,3928,0,0,0,0,0,0,0,67,0,16,17,19,16,18,151,1430,41,220,235,376,719,456,44,103,01005
ZCTA5 01007,10927,37,0,0,0,0,0,0,0,0,34,0,0,50,20,113,2315,141,666,1049,1333,2444,1981,333,411,01007
ZCTA5 01008,1067,2,0,0,0,0,0,0,0,0,0,0,0,20,6,6,411,50,40,77,116,207,103,24,5,01008
ZCTA5 01009,576,15,0,0,0,0,0,0,0,0,0,0,0,22,0,0,95,41,85,108,25,156,29,0,0,01009
ZCTA5 01010,2753,9,0,0,0,0,0,0,0,0,0,0,0,17,0,34,688,166,118,265,225,790,329,75,37,01010
ZCTA5 01011,874,0,0,0,0,0,0,0,0,0,0,0,27,15,3,0,383,10,41,111,93,102,80,5,4,01011
ZCTA5 01012,295,3,0,0,0,0,0,0,0,0,0,0,0,10,3,0,63,25,39,35,34,32,35,7,9,01012
ZCTA5 01013,15777,432,0,0,5,0,29,52,10,104,108,197,169,328,328,400,4725,829,1367,1670,1648,2039,1191,52,94,01013
ZCTA5 01020,22552,386,0,0,0,9,46,23,49,84,90,112,366,542,546,934,6611,906,1620,2608,2341,3293,1716,191,79,01020
ZCTA5 01022,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,361,75,152,271,153,240,208,12,8,01022
ZCTA5 01026,829,6,0,0,0,0,0,0,0,0,0,0,9,7,7,4,122,9,32,124,48,218,172,31,40,01026
ZCTA5 01027,13131,103,0,0,14,0,0,65,0,17,15,76,140,86,142,260,2720,581,1087,1603,1116,2724,1815,272,295,01027
ZCTA5 01028,11169,142,17,0,0,20,7,18,37,37,59,16,27,54,18,34,1972,210,729,1187,1071,3009,1846,390,269,01028
ZCTA5 01029,428,1,0,0,0,0,0,0,0,0,0,0,0,5,3,20,93,8,17,39,62,98,57,17,8,01029
ZCTA5 01030,9290,21,11,0,0,0,0,0,0,0,0,0,49,8,66,30,2693,605,615,1136,1123,1657,1040,167,69,01030
ZCTA5 01031,1043,11,0,0,0,0,0,0,0,0,0,0,9,6,37,18,313,34,48,205,112,149,79,0,22,01031
ZCTA5 01032,404,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,58,10,28,56,25,111,98,0,9,01032
ZCTA5 01033,4659,21,0,0,0,0,0,0,0,0,66,38,42,20,16,53,1184,148,257,430,702,1089,429,146,18,01033
ZCTA5 01034,1812,13,0,0,0,0,0,0,0,0,0,3,7,7,1,9,469,102,155,198,196,382,168,49,53,01034
ZCTA5 01035,3965,15,0,0,0,3,0,0,0,0,5,0,0,4,8,71,587,13,325,298,206,1288,743,83,316,01035
ZCTA5 01036,3894,14,0,0,0,0,0,0,0,6,0,6,0,6,23,50,767,78,285,526,698,737,537,132,29,01036
ZCTA5 01037,516,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,138,0,24,57,26,213,31,0,6,01037
ZCTA5 01038,1863,45,0,0,0,0,0,0,0,0,0,33,0,0,33,0,285,35,72,168,225,545,319,46,57,01038
ZCTA5 01039,1215,0,0,0,0,0,0,0,0,0,6,20,6,0,0,6,185,8,49,180,72,300,312,36,35,01039
ZCTA5 01040,26416,1095,1,0,37,59,68,44,213,38,312,409,973,852,610,926,5966,1669,1703,2479,2116,4188,1979,290,389,01040
ZCTA5 01050,1789,3,0,0,0,0,0,0,0,10,0,1,2,0,96,7,478,70,166,217,169,374,171,10,15,01050
ZCTA5 01053,1850,9,0,0,0,4,0,0,0,0,0,0,2,12,11,6,312,101,36,133,93,571,334,58,168,01053
ZCTA5 01054,1333,39,0,0,0,0,0,0,0,0,0,0,0,13,6,12,137,40,24,101,62,304,377,43,175,01054
ZCTA5 01056,15525,370,0,0,0,0,51,236,67,198,4,15,38,158,212,215,4446,664,1090,1474,2098,2962,1014,139,74,01056
ZCTA5 01057,6074,110,47,0,0,0,0,0,0,0,0,20,23,54,24,128,1916,245,529,566,644,1218,434,77,39,01057
ZCTA5 01060,11816,210,0,0,0,0,0,0,0,105,19,39,0,82,48,102,1026,194,351,937,560,3390,2916,768,1069,01060
ZCTA5 01062,7456,43,0,0,0,10,6,14,4,7,49,88,51,76,56,42,985,213,252,931,678,1735,1568,300,348,01062
ZCTA5 01063,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,53,10,01063
ZCTA5 01066,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,32,12,0,0,0,01066
ZCTA5 01068,1226,10,0,0,0,0,0,0,0,0,2,3,8,19,5,23,268,40,71,166,117,288,159,11,36,01068
ZCTA5 01069,7126,156,0,0,0,0,0,0,0,11,0,207,75,135,118,200,2281,326,486,741,774,926,457,151,82,01069
ZCTA5 01070,427,2,0,0,0,0,0,0,0,0,0,0,2,2,2,3,92,14,26,33,34,86,95,19,17,01070
ZCTA5 01071,871,1,0,0,0,0,0,0,0,0,9,5,1,0,12,6,355,30,30,66,103,151,51,14,37,01071
ZCTA5 01072,1190,3,0,0,0,0,0,0,0,0,0,0,0,2,0,24,169,30,25,87,71,351,287,31,110,01072
ZCTA5 01073,4387,26,0,0,0,0,0,0,0,0,0,5,0,16,10,44,929,194,219,533,608,1167,504,102,30,01073
ZCTA5 01074,300,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,179,0,0,58,0,15,0,0,0,01074
ZCTA5 01075,11952,11,0,0,0,0,0,0,13,15,0,100,18,18,95,184,2605,392,510,924,1072,3188,1987,372,448,01075
ZCTA5 01077,6884,57,0,0,0,0,0,0,0,9,0,0,71,30,15,39,1963,259,463,1021,544,1392,935,42,44,01077
ZCTA5 01079,377,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,35,48,26,47,116,0,0,26,01079
ZCTA5 01080,1667,5,0,0,0,0,0,0,0,0,0,17,0,0,0,21,545,108,130,300,212,216,113,0,0,01080
ZCTA5 01081,1280,20,0,0,0,0,0,0,2,16,0,0,0,27,28,20,434,49,80,133,172,163,73,63,0,01081
ZCTA5 01082,7316,165,0,0,0,0,0,0,0,0,0,72,60,13,155,114,2427,384,563,847,730,1160,553,24,49,01082
ZCTA5 01083,1748,27,0,0,0,0,0,0,0,0,0,34,26,0,61,0,693,57,46,226,127,325,126,0,0,01083
ZCTA5 01084,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,4,0,42,11,4,0,01084
ZCTA5 01085,28169,532,0,0,0,13,0,54,0,36,60,141,240,278,305,239,7486,738,2000,3141,3516,5872,2846,309,363,01085
ZCTA5 01088,475,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,18,0,47,155,29,123,47,5,24,01088
ZCTA5 01089,21124,791,12,0,0,0,97,0,18,106,31,255,159,326,359,197,4766,885,1320,2426,2193,4171,2452,418,142,01089
ZCTA5 01092,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,153,155,74,0,246,2,0,0,01092
ZCTA5 01093,193,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,64,0,22,8,6,66,10,9,3,01093
ZCTA5 01094,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,22,0,0,0,0,0,01094
ZCTA5 01095,10474,52,0,0,0,0,0,0,0,3,23,59,22,25,17,219,1971,187,483,1119,872,2981,1860,334,247,01095
ZCTA5 01096,1949,7,0,0,0,0,0,0,2,0,0,10,4,9,1,6,358,47,105,136,198,447,462,39,118,01096
ZCTA5 01097,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,0,4,0,42,0,0,0,01097
ZCTA5 01098,806,4,0,0,0,0,0,0,0,3,0,6,7,0,3,4,179,38,49,73,55,192,154,19,20,01098
ZCTA5 01103,1875,82,0,0,0,0,0,8,0,0,35,0,54,30,23,86,332,147,123,170,162,250,206,108,59,01103
ZCTA5 01104,14933,355,0,0,16,77,129,199,147,191,218,105,467,457,398,360,4657,1043,1036,1475,1444,1265,822,45,27,01104
ZCTA5 01105,6838,421,4,0,0,0,40,37,72,153,66,229,431,121,428,109,2106,464,198,727,488,498,168,44,34,01105
ZCTA5 01106,10899,33,0,0,0,0,0,7,19,0,8,66,39,31,33,119,988,195,379,833,873,3639,2273,853,511,01106
ZCTA5 01107,6851,551,0,0,9,33,40,51,46,145,51,197,366,388,265,139,1647,425,291,482,500,766,294,65,100,01107
ZCTA5 01108,18086,1027,13,0,6,149,127,121,86,44,65,60,199,521,568,658,4470,1337,1381,2457,1322,1758,1071,396,250,01108
ZCTA5 01109,17394,639,20,0,25,0,36,193,132,126,73,217,906,438,952,488,4567,1084,1051,1880,1454,1936,799,167,211,01109
ZCTA5 01118,10456,177,13,0,0,0,14,0,0,0,5,191,103,81,144,244,2552,468,829,1281,932,1780,1230,275,137,01118
ZCTA5 01119,8715,314,0,0,0,0,49,6,74,30,0,92,183,38,233,236,3072,297,563,975,851,1053,478,118,53,01119
