NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,zip code tabulation area
ZCTA5 00659,13338,2193,1484,1353,1386,646,698,873,624,484,741,790,1216,293,273,82,202,00659
ZCTA5 00660,6180,802,687,680,673,555,487,307,257,290,421,423,336,149,45,11,57,00660
ZCTA5 00662,14285,3316,1645,1583,872,1277,801,797,684,480,902,565,714,347,155,78,69,00662
ZCTA5 00664,5277,1264,671,577,383,331,341,342,414,205,207,293,198,0,19,15,17,00664
ZCTA5 00667,8827,2033,1463,1005,841,719,448,423,430,237,580,300,255,64,14,15,0,00667
ZCTA5 00669,10657,3029,1220,1386,1094,853,643,475,311,326,391,443,299,113,0,48,26,00669
ZCTA5 00670,3034,976,412,419,215,217,178,109,92,142,154,58,12,26,16,0,8,00670
ZCTA5 00674,15599,3561,1905,1686,1221,739,1017,841,789,628,749,767,589,533,196,304,74,00674
ZCTA5 00676,13585,2986,2033,1154,907,1005,980,462,556,535,670,582,905,282,281,133,114,00676
ZCTA5 00677,5897,858,839,689,660,367,441,383,258,148,308,224,309,212,98,52,51,00677
ZCTA5 00678,9041,1836,1175,1044,588,716,602,401,528,388,703,332,489,143,15,81,0,00678
ZCTA5 00680,18130,5290,2341,2252,1377,1203,1024,566,642,362,795,928,501,348,163,186,152,00680
ZCTA5 00682,12206,3854,1332,1280,1049,671,597,622,445,336,376,412,427,307,80,170,248,00682
ZCTA5 00683,11218,3073,1535,1391,837,725,550,511,433,234,443,518,403,260,91,148,66,00683
ZCTA5 00685,14790,3695,1927,1685,1253,860,991,737,500,553,879,715,461,259,184,36,55,00685
ZCTA5 00687,10903,2492,1291,761,907,836,671,529,487,445,809,573,544,246,176,59,77,00687
ZCTA5 00688,4043,1261,537,460,291,305,126,182,54,104,165,215,83,124,20,40,76,00688
ZCTA5 00690,2222,351,280,208,214,225,185,143,23,89,157,199,76,53,0,19,0,00690
ZCTA5 00692,13136,2580,1436,1417,1001,944,599,617,563,499,727,739,782,437,289,341,165,00692
ZCTA5 00693,22156,4960,2411,2031,1805,1587,1038,1111,776,1090,1329,1254,1604,485,238,146,291,00693
ZCTA5 00694,68,16,11,28,0,0,0,0,0,0,0,0,0,0,0,0,13,00694
ZCTA5 00698,13070,2729,1726,1282,893,1075,903,718,611,417,906,777,452,311,136,40,94,00698
ZCTA5 00703,9218,2150,876,963,868,746,681,456,383,312,389,363,481,244,121,44,141,00703
ZCTA5 00704,2618,450,479,325,219,269,107,165,117,127,139,80,71,54,16,0,0,00704
ZCTA5 00705,9698,2260,1382,805,962,686,654,380,451,318,425,524,541,95,105,30,80,00705
ZCTA5 00707,4211,1075,628,551,303,128,295,300,138,74,260,295,135,13,0,16,0,00707
ZCTA5 00714,6739,1629,1039,534,495,716,403,385,282,235,292,362,70,127,77,66,27,00714
ZCTA5 00715,905,205,100,136,87,79,146,0,13,32,48,18,41,0,0,0,0,00715
ZCTA5 00716,12525,3880,1229,1070,733,838,654,548,536,284,709,575,522,361,185,216,185,00716
ZCTA5 00717,6779,2848,702,442,409,246,232,250,250,307,252,333,285,136,35,39,13,00717
ZCTA5 00718,8590,1338,978,1095,1114,571,727,552,380,316,625,344,450,0,27,57,16,00718
ZCTA5 00719,9530,2166,1016,1078,1319,527,703,369,397,376,593,283,430,89,26,40,118,00719
ZCTA5 00720,6864,1545,1120,752,577,611,362,412,171,199,418,398,150,45,65,23,16,00720
ZCTA5 00723,6473,1511,850,539,383,631,504,328,279,206,523,372,187,138,0,22,0,00723
ZCTA5 00725,30764,6288,2800,2453,2420,1536,2098,1566,1319,1419,1923,1929,2355,1105,416,579,558,00725
ZCTA5 00727,21429,3063,1970,1804,1531,1355,1222,1350,710,739,1386,1509,1859,928,512,699,792,00727
ZCTA5 00728,13940,3424,1656,1351,991,834,974,533,581,728,731,748,607,314,282,100,86,00728
ZCTA5 00729,17877,2569,1679,1812,1482,1171,1061,1155,822,717,1247,1456,1167,418,410,457,254,00729
ZCTA5 00730,13892,4000,1923,1692,855,902,804,735,398,304,450,805,555,189,97,91,92,00730
ZCTA5 00731,3717,1103,466,380,405,259,62,64,193,46,182,274,137,64,20,37,25,00731
ZCTA5 00735,4444,581,537,486,591,416,213,194,227,136,364,335,139,53,104,24,44,00735
ZCTA5 00736,18720,2993,1887,1688,1534,1265,1211,1202,939,910,1008,1636,870,660,361,282,274,00736
ZCTA5 00738,12573,2343,1449,1466,930,892,854,594,733,385,970,743,654,281,90,96,93,00738
ZCTA5 00739,13007,1950,1177,1148,1328,1010,968,863,602,631,766,845,688,365,234,347,85,00739
ZCTA5 00740,615,222,51,0,0,95,33,24,26,46,29,27,62,0,0,0,0,00740
ZCTA5 00741,1476,151,284,149,102,101,42,179,53,124,108,85,83,0,15,0,0,00741
ZCTA5 00745,17400,3080,1649,1686,1444,1002,885,1005,897,740,1554,1226,1139,646,272,165,10,00745
ZCTA5 00751,8406,1930,1148,819,622,650,529,513,350,241,489,375,407,159,52,51,71,00751
ZCTA5 00754,14006,3143,1526,1583,1102,985,852,877,579,489,654,734,728,354,154,108,138,00754
ZCTA5 00757,7516,1788,691,602,572,581,523,395,237,333,468,300,362,170,142,211,141,00757
ZCTA5 00765,3125,576,418,590,455,313,181,248,24,103,69,50,76,0,0,0,22,00765
ZCTA5 00766,7467,1393,813,909,429,595,486,310,428,381,407,364,311,164,299,73,105,00766
ZCTA5 00767,12366,2507,1615,1229,1299,856,1006,695,684,511,737,576,442,127,21,20,41,00767
ZCTA5 00769,13645,2970,1967,1407,1184,1060,771,621,705,402,799,529,551,300,92,188,99,00769
ZCTA5 00771,13016,2600,1575,1292,1060,474,796,679,640,523,962,699,809,188,414,194,111,00771
ZCTA5 00772,6739,1967,841,773,403,443,412,377,295,129,278,366,252,77,84,42,0,00772
ZCTA5 00773,6966,1483,545,776,799,429,356,485,275,295,405,244,334,188,135,118,99,00773
ZCTA5 00775,524,48,56,52,37,73,34,51,27,23,47,30,38,8,0,0,0,00775
ZCTA5 00777,14720,2350,1475,1287,1043,1222,1098,1045,766,508,933,1054,1193,279,262,157,48,00777
ZCTA5 00778,15836,2214,1222,1314,998,794,519,566,585,682,1116,1727,1505,924,481,541,648,00778
ZCTA5 00780,4789,877,404,384,507,316,276,209,174,274,317,386,331,189,22,37,86,00780
ZCTA5 00782,5879,1570,969,732,423,283,362,208,272,107,378,236,192,79,68,0,0,00782
ZCTA5 00783,11438,2773,1086,1125,920,648,582,724,461,396,687,712,874,250,145,26,29,00783
ZCTA5 00784,15603,4269,1969,1375,1291,860,628,782,727,569,908,712,826,221,251,90,125,00784
ZCTA5 00786,79,32,0,0,0,0,0,0,19,0,28,0,0,0,0,0,0,00786
ZCTA5 00791,18577,2828,2454,1397,1961,1397,1237,1041,895,664,1211,1152,948,466,361,221,344,00791
ZCTA5 00794,9874,2339,854,1023,880,903,570,567,395,395,633,397,384,162,218,116,38,00794
ZCTA5 00795,15582,3539,1708,1310,1325,1141,774,1174,594,547,693,1018,1034,310,199,164,52,00795
ZCTA5 00901,3111,686,222,280,329,60,106,40,120,125,116,97,274,107,122,151,276,00901
ZCTA5 00906,41,16,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,00906
ZCTA5 00907,8730,1066,460,654,475,491,610,432,371,187,272,498,942,559,343,494,876,00907
ZCTA5 00909,2947,836,171,341,206,136,97,91,101,53,103,235,113,160,40,87,177,00909
ZCTA5 00911,3990,554,493,269,179,200,77,142,158,162,231,259,417,132,85,166,466,00911
ZCTA5 00912,2872,582,168,297,82,218,331,119,81,85,70,262,226,95,15,162,79,00912
ZCTA5 00913,3329,1905,333,214,140,143,71,35,41,0,23,99,36,64,31,61,133,00913
ZCTA5 00915,11125,3695,1545,1134,1177,694,575,422,408,257,383,338,249,26,88,41,93,00915
ZCTA5 00917,8252,2421,1129,658,547,528,456,273,271,185,400,424,432,292,113,59,64,00917
ZCTA5 00918,8255,1525,625,660,338,361,369,280,95,217,452,820,642,712,221,393,545,00918
ZCTA5 00920,7184,1344,602,732,470,410,550,305,338,332,577,473,346,316,94,188,107,00920
ZCTA5 00921,14422,3570,1431,1152,1408,768,685,745,484,367,911,943,896,395,161,243,263,00921
ZCTA5 00923,11026,3667,898,876,899,779,587,551,560,297,533,517,367,201,125,110,59,00923
ZCTA5 00924,21364,5531,2019,1320,1533,1845,787,1150,919,977,1256,1596,1281,434,380,229,107,00924
ZCTA5 00925,2608,883,296,366,156,98,178,147,66,51,90,71,64,34,78,30,0,00925
ZCTA5 00926,39310,5800,3062,2514,2348,1934,1720,2036,1939,1441,2151,3527,3815,2407,1293,1407,1916,00926
ZCTA5 00927,6569,866,448,508,490,411,303,317,378,180,476,437,457,361,130,349,458,00927
ZCTA5 00934,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,00934
ZCTA5 00949,26989,3610,1979,2410,2152,2145,1330,1555,1411,1238,2236,2156,2463,815,557,569,363,00949
ZCTA5 00950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00950
ZCTA5 00951,193,36,31,0,64,13,13,13,0,0,6,17,0,0,0,0,0,00951
ZCTA5 00952,3417,854,456,231,284,422,144,62,82,77,200,391,214,0,0,0,0,00952
ZCTA5 00953,24005,3292,1886,1775,2075,1408,1279,1241,1228,763,1557,1988,2558,1384,494,657,420,00953
ZCTA5 00956,26979,4715,2448,2921,1832,1834,1639,1429,1499,1085,1401,2003,1894,1034,553,547,145,00956
ZCTA5 00957,16545,3303,1611,1272,1106,999,1123,758,853,771,1557,942,1035,460,354,191,210,00957
ZCTA5 00959,19761,3746,1585,1786,1410,1031,1034,1078,1024,750,1115,1665,1740,806,289,440,262,00959
ZCTA5 00960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00960
ZCTA5 00961,11855,1571,794,708,634,795,909,575,512,573,859,984,1050,732,319,459,381,00961
ZCTA5 00962,7975,2345,726,762,568,717,345,424,303,239,400,438,358,220,14,91,25,00962
ZCTA5 00965,2138,680,243,184,202,139,180,55,118,94,61,95,35,12,18,11,11,00965
ZCTA5 00966,7582,748,386,475,332,241,253,337,381,294,337,514,751,453,398,881,801,00966
ZCTA5 00968,2005,201,99,61,63,45,89,90,80,87,197,125,281,167,18,171,231,00968
ZCTA5 00969,17031,1836,909,825,612,508,681,968,404,463,1106,1836,1865,1186,987,1060,1785,00969
ZCTA5 00971,10071,1744,777,723,1054,813,505,559,523,202,413,682,843,459,151,245,378,00971
ZCTA5 00976,24648,3103,1720,2108,1753,1296,1287,1081,1258,887,2096,2197,2326,1167,732,783,854,00976
ZCTA5 00979,8002,863,537,563,752,454,406,423,311,410,543,566,869,488,196,213,408,00979
ZCTA5 00982,6150,1052,757,546,467,351,369,403,331,395,314,533,363,148,44,45,32,00982
ZCTA5 00983,13587,1879,1208,1049,968,952,629,693,660,752,1438,882,1376,580,230,157,134,00983
ZCTA5 00985,12877,1898,1134,994,1115,747,686,708,723,551,970,1453,1035,413,211,191,48,00985
ZCTA5 00987,22170,2031,1645,1360,1290,1828,1409,948,962,930,1725,2188,2845,1484,769,388,368,00987
ZCTA5 01001,6920,324,139,85,94,434,307,156,453,251,631,576,664,766,531,761,748,01001
ZCTA5 01002,10320,1117,398,888,274,93,318,198,231,288,580,1007,861,675,585,1054,1753,01002
ZCTA5 01003,44,0,6,0,0,0,0,0,0,0,17,9,0,0,0,0,12,01003
ZCTA5 01005,1863,0,73,0,77,0,56,16,96,28,30,142,248,420,251,270,156,01005
ZCTA5 01007,6140,183,118,218,150,129,262,75,64,142,167,427,835,709,778,1143,740,01007
ZCTA5 01008,579,7,0,0,13,19,16,22,37,14,30,29,125,69,76,87,35,01008
ZCTA5 01009,364,13,17,42,0,62,0,23,16,0,0,66,0,50,29,12,34,01009
ZCTA5 01010,1410,18,31,39,44,19,35,28,59,69,29,79,212,135,110,161,342,01010
ZCTA5 01011,461,0,0,7,16,20,11,19,19,13,34,28,116,63,27,55,33,01011
ZCTA5 01012,146,3,0,0,6,0,0,0,16,0,17,12,27,30,16,10,9,01012
ZCTA5 01013,9734,996,528,482,491,181,391,498,403,343,568,695,1408,904,846,477,523,01013
ZCTA5 01020,13767,563,1035,504,933,590,349,679,332,485,1106,1142,2034,1463,816,985,751,01020
ZCTA5 01022,923,20,44,49,54,57,29,84,58,22,133,88,128,77,32,48,0,01022
ZCTA5 01026,461,21,6,15,22,3,9,9,17,26,31,29,46,43,70,70,44,01026
ZCTA5 01027,8284,212,258,97,391,261,283,379,251,661,535,856,1149,902,369,1045,635,01027
ZCTA5 01028,5923,196,97,78,66,76,113,34,119,135,411,661,740,553,364,843,1437,01028
ZCTA5 01029,247,3,0,0,0,0,3,5,18,10,25,19,19,55,18,17,55,01029
ZCTA5 01030,5059,130,230,159,119,199,157,83,125,124,359,320,654,569,349,888,594,01030
ZCTA5 01031,664,29,32,5,36,91,34,35,22,27,15,49,60,54,26,85,64,01031
ZCTA5 01032,240,10,11,10,0,20,3,4,6,8,4,17,35,52,17,21,22,01032
ZCTA5 01033,2321,35,96,46,72,0,94,80,54,28,57,141,217,260,363,221,557,01033
ZCTA5 01034,971,44,23,26,16,25,36,40,32,20,44,89,121,64,91,155,145,01034
ZCTA5 01035,2282,76,0,35,68,0,16,38,70,41,140,189,279,293,226,242,569,01035
ZCTA5 01036,1945,7,16,35,14,57,52,24,30,22,87,157,410,205,217,179,433,01036
ZCTA5 01037,290,21,21,0,6,41,0,0,0,0,4,55,48,0,29,11,54,01037
ZCTA5 01038,1079,33,49,0,54,22,36,4,16,38,60,87,121,106,150,159,144,01038
ZCTA5 01039,648,3,0,7,36,0,22,13,7,14,20,51,94,77,150,79,75,01039
ZCTA5 01040,15618,1534,1259,1135,595,390,776,373,541,524,1256,1362,1815,1224,762,1287,785,01040
ZCTA5 01050,964,14,11,25,40,7,59,14,18,72,45,48,161,85,82,192,91,01050
ZCTA5 01053,880,6,0,10,0,11,85,112,8,8,32,107,131,120,78,70,102,01053
ZCTA5 01054,712,20,6,7,23,33,36,10,7,18,37,67,65,73,54,114,142,01054
ZCTA5 01056,8504,356,119,158,411,185,286,245,357,97,754,798,1228,793,706,870,1141,01056
ZCTA5 01057,3265,53,127,154,69,63,96,98,191,14,233,173,380,341,379,521,373,01057
ZCTA5 01060,7972,522,349,223,381,425,443,151,115,208,337,730,1022,835,357,777,1097,01060
ZCTA5 01062,4518,152,220,173,122,110,222,183,165,231,118,338,464,477,576,278,689,01062
ZCTA5 01063,59,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,5,01063
ZCTA5 01066,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,01066
ZCTA5 01068,628,5,17,3,13,11,40,13,15,23,26,43,101,60,61,99,98,01068
ZCTA5 01069,3963,192,79,171,183,161,163,28,124,112,201,370,853,312,264,316,434,01069
ZCTA5 01070,227,14,17,5,6,7,8,0,19,13,23,17,28,15,14,22,19,01070
ZCTA5 01071,502,14,31,8,0,2,13,0,2,4,23,48,85,79,44,59,90,01071
ZCTA5 01072,612,7,14,11,7,12,3,8,18,0,39,30,126,87,94,58,98,01072
ZCTA5 01073,2289,15,41,12,37,33,0,38,203,9,105,267,198,197,319,323,492,01073
ZCTA5 01074,161,0,0,0,0,0,0,0,0,0,0,0,113,0,0,48,0,01074
ZCTA5 01075,7210,336,164,87,198,262,249,209,263,258,408,475,819,838,666,727,1251,01075
ZCTA5 01077,3815,65,36,97,60,68,154,35,130,84,194,406,334,398,493,657,604,01077
ZCTA5 01079,208,47,0,0,14,0,0,0,13,0,26,17,30,18,0,0,43,01079
ZCTA5 01080,991,44,58,0,26,22,25,44,8,17,41,139,135,213,124,46,49,01080
ZCTA5 01081,699,13,14,22,45,32,23,11,18,6,30,72,128,77,58,51,99,01081
ZCTA5 01082,4592,156,226,198,173,315,189,114,336,173,270,323,510,427,189,625,368,01082
ZCTA5 01083,1094,133,80,36,26,36,48,0,94,0,75,96,156,44,61,176,33,01083
ZCTA5 01084,54,0,11,0,0,0,0,0,0,0,4,2,22,7,0,0,8,01084
ZCTA5 01085,16112,740,745,393,332,394,444,646,156,232,1182,1526,2400,1821,1450,1623,2028,01085
ZCTA5 01088,325,0,0,8,24,3,10,0,0,83,16,8,64,68,0,12,29,01088
ZCTA5 01089,12732,802,474,559,375,425,266,884,399,812,829,905,1428,1536,963,934,1141,01089
ZCTA5 01092,587,0,0,0,0,42,27,24,36,0,0,236,91,16,22,49,44,01092
ZCTA5 01093,126,0,0,0,0,0,26,3,0,6,3,3,18,11,8,28,20,01093
ZCTA5 01094,13,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,01094
ZCTA5 01095,5302,47,232,72,49,212,140,111,92,150,101,262,602,633,463,827,1309,01095
ZCTA5 01096,1037,8,7,3,15,8,9,4,65,23,17,137,183,141,60,187,170,01096
ZCTA5 01097,55,16,0,0,9,0,0,0,0,0,0,0,9,21,0,0,0,01097
ZCTA5 01098,475,21,10,18,11,12,20,11,16,6,24,40,66,66,34,61,59,01098
ZCTA5 01103,1664,168,340,240,172,17,86,53,0,21,22,215,158,52,36,12,72,01103
ZCTA5 01104,9043,674,1023,405,509,405,407,384,387,319,459,998,982,703,365,662,361,01104
ZCTA5 01105,4973,835,880,440,424,317,176,210,133,275,250,145,314,293,90,138,53,01105
ZCTA5 01106,5748,173,56,52,150,319,102,182,82,122,105,113,362,570,543,544,2273,01106
ZCTA5 01107,4171,512,620,304,284,213,131,232,43,79,126,233,407,460,123,174,230,01107
ZCTA5 01108,10459,763,1009,445,478,427,357,796,553,360,571,1031,1307,1078,538,353,393,01108
ZCTA5 01109,9542,731,926,441,388,463,497,349,449,695,652,1061,813,551,736,370,420,01109
ZCTA5 01118,5563,288,167,111,246,284,114,206,149,82,489,465,840,454,449,686,533,01118
ZCTA5 01119,5120,364,313,188,78,260,164,209,164,375,487,447,530,593,312,287,349,01119
ZCTA5 01128,1022,62,0,11,9,29,8,13,9,29,88,95,155,170,106,85,153,01128
ZCTA5 01129,2548,79,101,39,45,87,19,55,66,84,273,181,297,492,182,243,305,01129
ZCTA5 01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01144
ZCTA5 01151,3601,187,250,198,72,167,67,157,149,258,471,491,355,202,246,159,172,01151
ZCTA5 01201,20143,1106,718,886,783,810,730,989,881,509,1179,2039,2743,2409,1552,1111,1698,01201
ZCTA5 01220,4046,261,201,238,329,199,187,162,121,113,266,341,591,285,300,219,233,01220
ZCTA5 01222,285,11,0,13,25,0,49,0,14,6,6,50,18,13,17,41,22,01222
ZCTA5 01223,1132,138,12,35,39,11,31,33,14,14,92,101,134,97,75,101,205,01223
ZCTA5 01224,89,0,0,0,0,11,0,0,0,12,0,0,44,0,10,0,12,01224
ZCTA5 01225,1515,74,23,26,9,46,179,57,27,67,140,148,167,96,180,127,149,01225
ZCTA5 01226,2907,120,57,143,173,18,110,48,95,58,219,242,480,182,140,410,412,01226
ZCTA5 01229,106,0,0,11,0,0,12,0,0,0,0,0,23,0,0,0,60,01229
ZCTA5 01230,3690,210,22,44,107,133,165,160,199,28,169,347,591,259,226,318,712,01230
ZCTA5 01235,1115,37,18,32,35,35,16,47,78,50,39,113,206,89,69,220,31,01235
ZCTA5 01236,596,11,28,30,0,18,25,0,14,16,11,35,98,24,107,38,141,01236
ZCTA5 01237,1029,19,13,63,11,90,33,29,7,34,55,81,137,134,106,80,137,01237
ZCTA5 01238,2883,53,74,182,150,98,111,66,95,116,198,144,357,271,238,308,422,01238
ZCTA5 01240,2450,106,103,119,15,31,15,39,135,96,142,248,79,188,334,468,332,01240
ZCTA5 01242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01242
ZCTA5 01243,76,4,0,0,0,0,7,2,0,2,1,0,31,3,5,7,14,01243
ZCTA5 01244,124,8,0,0,0,0,11,14,10,4,4,10,12,7,6,14,24,01244
ZCTA5 01245,281,0,0,0,7,7,11,0,22,4,29,2,20,24,17,27,111,01245
ZCTA5 01247,6893,382,675,333,316,453,226,275,411,218,475,702,850,569,216,342,450,01247
ZCTA5 01253,401,10,0,2,14,2,12,6,9,16,6,15,46,68,41,84,70,01253
ZCTA5 01254,443,11,16,0,9,14,4,7,9,8,41,25,43,32,36,34,154,01254
ZCTA5 01255,358,13,3,0,3,27,9,14,11,7,55,20,25,58,43,10,60,01255
ZCTA5 01256,373,33,7,10,4,12,41,22,9,2,38,22,36,31,26,46,34,01256
ZCTA5 01257,906,0,0,34,15,4,0,10,0,26,92,140,129,50,114,167,125,01257
ZCTA5 01258,78,0,0,1,2,1,8,1,0,4,2,7,1,2,14,20,15,01258
ZCTA5 01259,228,0,0,0,4,5,4,0,0,4,23,30,3,22,11,66,56,01259
ZCTA5 01260,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,01260
ZCTA5 01262,693,10,0,24,24,34,0,9,8,0,12,80,92,0,64,76,260,01262
ZCTA5 01264,94,6,2,0,2,4,3,3,10,0,2,2,13,7,0,13,27,01264
ZCTA5 01266,489,22,13,2,6,6,20,13,3,6,27,57,64,60,45,42,103,01266
ZCTA5 01267,3425,157,109,163,52,149,67,96,68,27,140,263,401,300,263,370,800,01267
ZCTA5 01270,432,4,7,0,6,9,8,5,4,0,39,30,32,93,67,46,82,01270
ZCTA5 01301,8271,522,465,387,521,340,310,419,311,311,649,683,1204,765,509,473,402,01301
ZCTA5 01330,855,39,25,72,25,20,3,23,26,44,15,103,153,115,60,63,69,01330
ZCTA5 01331,5396,143,277,135,310,331,280,150,207,92,160,681,1027,345,314,546,398,01331
ZCTA5 01337,1101,26,22,32,4,28,17,51,74,35,91,108,170,132,124,57,130,01337
ZCTA5 01338,61,0,0,0,0,0,0,6,22,0,12,12,0,5,0,0,4,01338
ZCTA5 01339,593,13,37,14,16,24,12,20,44,80,22,32,73,51,32,52,71,01339
ZCTA5 01340,794,41,24,6,32,39,59,9,23,12,24,88,174,49,49,106,59,01340
ZCTA5 01341,717,11,5,3,10,6,17,9,34,44,49,62,112,80,50,134,91,01341
ZCTA5 01342,447,25,0,0,0,0,0,22,0,0,0,64,86,30,39,78,103,01342
ZCTA5 01343,75,3,3,0,0,0,2,10,0,7,9,4,17,4,6,3,7,01343
ZCTA5 01344,715,13,10,6,16,47,26,60,16,7,41,98,107,81,54,95,38,01344
ZCTA5 01346,220,11,3,2,6,0,0,3,9,0,11,9,28,66,26,8,38,01346
ZCTA5 01347,97,0,0,0,0,11,0,0,0,0,0,38,32,0,0,0,16,01347
ZCTA5 01349,359,14,9,19,43,16,12,0,2,15,11,38,67,56,33,15,9,01349
ZCTA5 01350,58,11,8,0,5,0,0,1,1,3,2,2,12,0,0,9,4,01350
ZCTA5 01351,1007,43,16,23,23,52,0,11,97,30,34,69,148,100,171,112,78,01351
ZCTA5 01354,649,17,15,24,7,13,32,10,39,5,60,52,84,68,65,77,81,01354
ZCTA5 01355,383,10,0,6,27,26,6,8,7,21,30,35,65,41,26,26,49,01355
ZCTA5 01360,1313,62,30,33,14,11,67,0,13,25,96,93,166,220,239,126,118,01360
ZCTA5 01364,3082,117,149,193,175,71,377,111,107,133,178,253,418,264,152,251,133,01364
ZCTA5 01366,467,9,0,3,12,2,2,33,24,9,42,31,51,60,47,55,87,01366
ZCTA5 01367,229,7,3,9,6,5,9,15,4,5,11,44,22,47,2,16,24,01367
ZCTA5 01368,520,20,4,12,2,17,12,19,4,4,42,37,71,112,34,72,58,01368
ZCTA5 01370,1736,86,104,22,58,50,79,61,24,43,117,155,344,211,110,150,122,01370
ZCTA5 01373,2342,61,26,26,84,103,36,59,27,34,172,269,179,421,264,166,415,01373
ZCTA5 01375,1695,164,28,0,47,13,47,181,31,85,82,335,215,153,66,98,150,01375
ZCTA5 01376,2340,94,144,161,126,69,122,139,94,56,261,116,296,151,203,222,86,01376
ZCTA5 01378,362,10,8,7,12,13,15,12,6,2,25,41,34,69,27,39,42,01378
ZCTA5 01379,334,24,21,13,7,16,21,8,15,15,29,34,34,22,9,35,31,01379
ZCTA5 01380,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,01380
ZCTA5 01420,16709,652,758,791,670,911,823,643,479,565,753,1591,2420,1223,1677,1436,1317,01420
ZCTA5 01430,2331,23,66,0,48,46,100,53,124,13,58,214,178,335,280,347,446,01430
ZCTA5 01431,1261,5,19,38,6,5,5,60,31,49,43,89,141,237,117,170,246,01431
ZCTA5 01432,3567,124,91,10,34,69,149,117,0,109,256,379,348,333,284,424,840,01432
ZCTA5 01434,260,0,16,4,24,0,0,0,0,39,12,7,0,20,2,23,113,01434
ZCTA5 01436,1327,62,82,41,12,9,32,0,35,215,77,70,194,179,120,115,84,01436
ZCTA5 01438,121,0,0,0,0,7,11,38,0,0,0,0,7,36,0,22,0,01438
ZCTA5 01440,9007,460,570,241,546,242,402,205,436,379,627,841,1152,779,1024,546,557,01440
ZCTA5 01450,3697,151,42,21,47,77,65,22,62,95,141,147,141,293,139,498,1756,01450
